agg1,agg2,agg3,agg4,g_state,i_item_id,s_state
11.0,102.13,938.24,98.04,0,AAAAAAAAAAAABAAA,AL
11.0,102.13,938.24,98.04,1,AAAAAAAAAAAABAAA,
11.0,62.17,0.0,47.24,0,AAAAAAAAAAABAAAA,AL
78.0,31.44,0.0,29.55,0,AAAAAAAAAAABAAAA,SD
44.5,46.805,0.0,38.395,1,AAAAAAAAAAABAAAA,
42.0,74.06,0.0,34.8,0,AAAAAAAAAAABBAAA,TN
42.0,74.06,0.0,34.8,1,AAAAAAAAAAABBAAA,
78.0,105.13,0.0,28.38,0,AAAAAAAAAAADBAAA,SD
78.0,105.13,0.0,28.38,1,AAAAAAAAAAADBAAA,
30.5,67.13,0.0,6.405,0,AAAAAAAAAAAEAAAA,SD
30.5,67.13,0.0,6.405,1,AAAAAAAAAAAEAAAA,
75.0,63.81,0.0,41.47,0,AAAAAAAAAAAEBAAA,TN
75.0,63.81,0.0,41.47,1,AAAAAAAAAAAEBAAA,
98.0,28.72,0.0,19.81,0,AAAAAAAAAAAFAAAA,AL
98.0,28.72,0.0,19.81,1,AAAAAAAAAAAFAAAA,
94.0,49.89,4408.28,49.89,0,AAAAAAAAAAAGBAAA,TN
94.0,49.89,4408.28,49.89,1,AAAAAAAAAAAGBAAA,
63.0,131.87,117.63,2.63,0,AAAAAAAAAAAHAAAA,AL
77.0,66.93,669.9,34.8,0,AAAAAAAAAAAHAAAA,SD
70.0,99.4,393.765,18.715,1,AAAAAAAAAAAHAAAA,
96.0,196.36,0.0,25.52,0,AAAAAAAAAAAHBAAA,AL
46.0,71.465,0.0,50.24,0,AAAAAAAAAAAHBAAA,TN
62.666666666666664,113.09666666666666,0.0,42.0,1,AAAAAAAAAAAHBAAA,
81.0,147.81,0.0,51.73,0,AAAAAAAAAAAIAAAA,AL
66.0,27.0,0.0,21.33,0,AAAAAAAAAAAIAAAA,SD
67.5,70.13,596.98,27.275,0,AAAAAAAAAAAIAAAA,TN
70.5,78.7675,298.49,31.9025,1,AAAAAAAAAAAIAAAA,
50.0,145.235,0.0,73.585,0,AAAAAAAAAAAKAAAA,AL
50.0,145.235,0.0,73.585,1,AAAAAAAAAAAKAAAA,
80.0,43.68,0.0,13.54,0,AAAAAAAAAAALAAAA,AL
80.0,43.68,0.0,13.54,1,AAAAAAAAAAALAAAA,
