ca_state,ca_zip,sum
VT,03994,16.49
ME,04889,138.56
PA,13451,178.96
PA,16098,92.64
VA,28222,80.9
VA,28721,115.22
GA,31087,128.33
GA,32898,1.3
FL,34107,2.84
GA,39303,88.85
IN,40191,0.39
KY,40919,19.78
IN,41933,16.44
OH,44981,2.24
IN,49237,11.84
IA,50411,44.29
MN,52898,124.31
IA,56098,132.21
ND,57057,2.74
MS,58354,11.4
WI,59391,31.43
IL,61933,34.99
MO,61933,58.75
NE,63604,31.29
KS,66614,89.29
IL,68370,32.62
KS,69843,27.81
TX,71087,141.26
OK,75272,228.36
AR,76557,61.47
TX,76867,90.26
NM,81904,17.27
NM,85669,306.03
NV,85669,925.9
ID,88054,39.75
CO,89532,3.38
OR,90499,87.78
CO,,87.06
