ss_customer_sk,sumsales
252,0.0
410,0.0
480,0.0
528,0.0
550,0.0
619,0.0
672,0.0
683,0.0
696,0.0
800,0.0
829,0.0
1414,0.0
1761,0.0
1982,0.0
2072,0.0
2124,0.0
2195,0.0
2388,0.0
2467,0.0
2556,0.0
2620,0.0
2958,0.0
3397,0.0
3586,0.0
4033,0.0
4259,0.0
4446,0.0
4595,0.0
4745,0.0
4775,0.0
4803,0.0
4842,0.0
4931,0.0
5131,0.0
5253,0.0
5276,0.0
5323,0.0
5368,0.0
5423,0.0
5630,0.0
5680,0.0
5803,0.0
6126,0.0
6150,0.0
6432,0.0
6813,0.0
6939,0.0
7012,0.0
7039,0.0
7819,0.0
7909,0.0
8159,0.0
8219,0.0
8696,0.0
8854,0.0
8884,0.0
8989,0.0
9291,0.0
9350,0.0
9390,0.0
9419,0.0
9699,0.0
9971,0.0
10208,0.0
10224,0.0
10228,0.0
10285,0.0
10315,0.0
10582,0.0
10632,0.0
10811,0.0
10861,0.0
10890,0.0
11188,0.0
11382,0.0
11501,0.0
11586,0.0
11623,0.0
11784,0.0
11938,0.0
12301,0.0
12326,0.0
12452,0.0
12655,0.0
12697,0.0
12725,0.0
12840,0.0
13052,0.0
13056,0.0
13144,0.0
13324,0.0
13364,0.0
13534,0.0
14028,0.0
14238,0.0
14733,0.0
14789,0.0
15494,0.0
15780,0.0
15802,0.0
