i_manufact_id,total_sales
767,41733.65
814,42219.52
917,43973.15
702,47122.3
994,50313.64
920,50379.27
935,55518.6
847,55610.16
822,55610.78
675,57149.91
970,59020.83
749,60376.19
788,62026.7
762,64133.73
736,65015.86
785,65153.91
826,66699.72
760,66700.64
740,70404.77
779,72564.29
962,72931.86
766,73017.9
725,73168.58
667,73463.85
969,74411.59
780,74710.41
980,75153.3
778,75469.42
901,75632.64
1000,76448.22
852,77747.84
998,77820.14
685,79465.79
813,79861.98
705,79923.92
925,80589.31
918,80722.69
981,81645.02
669,81780.82
936,81813.17
930,82258.09
861,83739.15
795,83753.43
888,84173.99
804,84644.01
891,84858.86
681,85641.03
909,85668.19
809,85911.25
811,86130.0
819,86769.64
944,87082.54
671,87212.07
964,87562.13
689,88483.21
971,88856.27
715,89093.95
799,89233.25
992,89282.1
770,90119.29
949,90823.93
963,90949.33
754,92799.74
894,92964.2
976,93201.71
968,95037.38
734,95346.62
956,95943.62
912,96015.28
691,96836.39
688,97161.71
997,97340.77
943,97896.98
896,98068.08
839,98654.97
815,98997.31
865,99071.97
965,99133.35
668,99598.1
892,100071.08
713,100447.81
993,100577.9
881,101002.81
845,101643.46
934,101845.37
818,103009.69
747,103907.4
824,104137.64
739,104342.7
900,104703.83
777,104914.08
794,104915.13
886,104967.34
677,105389.78
748,105812.05
837,105813.6
996,105981.4
836,106172.41
695,106344.68
904,106589.99
