channel,currency_rank,item,return_rank,return_ratio
catalog,80,18159,1,0.0
catalog,85,42457,1,0.0
catalog,127,81780,1,0.0
catalog,261,19818,1,0.0
catalog,1,3198,5,0.5252525252525253
catalog,2,80341,6,0.5454545454545454
catalog,3,20586,7,0.55
catalog,4,27876,8,0.56
catalog,5,30633,9,0.5802469135802469
catalog,313,26733,9,0.5802469135802469
catalog,6,35917,12,0.5894736842105263
catalog,7,83340,13,0.5978260869565217
catalog,8,67857,14,0.6041666666666666
catalog,9,3480,15,0.6075949367088608
catalog,10,89049,17,0.62
store,9,33769,1,0.0
store,17,53323,1,0.0
store,60,3990,1,0.0
store,113,41487,1,0.0
store,1,36183,5,0.6185567010309279
store,2,15546,6,0.7070707070707071
store,3,69349,7,0.7157894736842105
store,4,31039,8,0.7252747252747253
store,5,82681,9,0.73
store,6,83361,10,0.7415730337078652
store,7,100461,11,0.7472527472527473
store,8,39822,12,0.75
store,10,72216,13,0.7604166666666666
web,24,34104,1,0.0
web,34,73824,1,0.0
web,55,62469,1,0.0
web,154,86346,1,0.0
web,1,33043,5,0.5408163265306123
web,2,88701,6,0.5463917525773195
web,110,82470,6,0.5463917525773195
web,3,78573,8,0.5844155844155844
web,4,85629,9,0.5853658536585366
web,5,92814,10,0.5967741935483871
web,6,74463,11,0.63
web,7,2157,12,0.6352941176470588
web,7,30043,12,0.6352941176470588
web,9,22284,14,0.6382978723404256
web,10,98523,15,0.6444444444444445
