channel,col_name,d_qoy,d_year,i_category,sales_amt,sales_cnt
catalog,cs_ship_customer_sk,1,1998,Books,94120.26,98
catalog,cs_ship_customer_sk,1,1998,Children,141350.47,122
catalog,cs_ship_customer_sk,1,1998,Electronics,132669.75,107
catalog,cs_ship_customer_sk,1,1998,Home,98266.86,86
catalog,cs_ship_customer_sk,1,1998,Jewelry,101338.98,105
catalog,cs_ship_customer_sk,1,1998,Men,125504.24,98
catalog,cs_ship_customer_sk,1,1998,Music,105758.57,80
catalog,cs_ship_customer_sk,1,1998,Shoes,127728.23,88
catalog,cs_ship_customer_sk,1,1998,Sports,124188.14,101
catalog,cs_ship_customer_sk,1,1998,Women,57662.71,78
catalog,cs_ship_customer_sk,1,1998,,565.5,4
catalog,cs_ship_customer_sk,2,1998,Books,172981.94,121
catalog,cs_ship_customer_sk,2,1998,Children,128506.92,92
catalog,cs_ship_customer_sk,2,1998,Electronics,119403.96,115
catalog,cs_ship_customer_sk,2,1998,Home,111751.94,110
catalog,cs_ship_customer_sk,2,1998,Jewelry,141787.22,115
catalog,cs_ship_customer_sk,2,1998,Men,153520.6,123
catalog,cs_ship_customer_sk,2,1998,Music,152289.5,97
catalog,cs_ship_customer_sk,2,1998,Shoes,151053.73,109
catalog,cs_ship_customer_sk,2,1998,Sports,163551.24,101
catalog,cs_ship_customer_sk,2,1998,Women,89716.38,96
catalog,cs_ship_customer_sk,2,1998,,1855.15,7
catalog,cs_ship_customer_sk,3,1998,Books,255130.37,191
catalog,cs_ship_customer_sk,3,1998,Children,286974.69,200
catalog,cs_ship_customer_sk,3,1998,Electronics,202282.8,173
catalog,cs_ship_customer_sk,3,1998,Home,281774.49,207
catalog,cs_ship_customer_sk,3,1998,Jewelry,207339.79,186
catalog,cs_ship_customer_sk,3,1998,Men,235670.64,198
catalog,cs_ship_customer_sk,3,1998,Music,228163.81,218
catalog,cs_ship_customer_sk,3,1998,Shoes,228265.36,185
catalog,cs_ship_customer_sk,3,1998,Sports,257733.66,200
catalog,cs_ship_customer_sk,3,1998,Women,223341.66,172
catalog,cs_ship_customer_sk,3,1998,,14189.06,3
catalog,cs_ship_customer_sk,4,1998,Books,484045.01,313
catalog,cs_ship_customer_sk,4,1998,Children,389178.55,305
catalog,cs_ship_customer_sk,4,1998,Electronics,457418.26,360
catalog,cs_ship_customer_sk,4,1998,Home,345317.2,321
