i_brand,i_category,i_class,i_product_name,qoh
corpbrand #7,Home,rugs,callybarbaresen st,443.4538310412574
corpbrand #7,,rugs,callybarbaresen st,443.4538310412574
corpbrand #7,,,callybarbaresen st,443.4538310412574
,,,callybarbaresen st,443.4538310412574
importoedu pack #1,Shoes,mens,barn stbarantipri,448.8917322834646
importoedu pack #1,,mens,barn stbarantipri,448.8917322834646
importoedu pack #1,,,barn stbarantipri,448.8917322834646
,,,barn stbarantipri,448.8917322834646
amalgscholar #1,Music,rock,callyableesepriought,449.98011928429423
amalgscholar #1,,rock,callyableesepriought,449.98011928429423
amalgscholar #1,,,callyableesepriought,449.98011928429423
,,,callyableesepriought,449.98011928429423
exportiamalg #1,Women,maternity,eingoughtoughtcallyn st,450.1904761904762
exportiamalg #1,,maternity,eingoughtoughtcallyn st,450.1904761904762
exportiamalg #1,,,eingoughtoughtcallyn st,450.1904761904762
,,,eingoughtoughtcallyn st,450.1904761904762
amalgbrand #7,Jewelry,semi-precious,callyeseeingpriese,451.4853228962818
amalgbrand #7,,semi-precious,callyeseeingpriese,451.4853228962818
amalgbrand #7,,,callyeseeingpriese,451.4853228962818
,,,callyeseeingpriese,451.4853228962818
amalgunivamalg #11,Books,cooking,callyeseationeseese,453.1693548387097
amalgunivamalg #11,,cooking,callyeseationeseese,453.1693548387097
amalgunivamalg #11,,,callyeseationeseese,453.1693548387097
,,,callyeseationeseese,453.1693548387097
corpcorp #3,Jewelry,rings,callycallybareseation,453.25787401574803
corpcorp #3,,rings,callycallybareseation,453.25787401574803
corpcorp #3,,,callycallybareseation,453.25787401574803
,,,callycallybareseation,453.25787401574803
corpbrand #10,Home,rugs,n stcallyeingantically,453.3784860557769
corpbrand #10,,rugs,n stcallyeingantically,453.3784860557769
corpbrand #10,,,n stcallyeingantically,453.3784860557769
,,,n stcallyeingantically,453.3784860557769
edu packexporti #2,Children,school-uniforms,priableeseeingable,453.6456692913386
edu packexporti #2,,school-uniforms,priableeseeingable,453.6456692913386
edu packexporti #2,,,priableeseeingable,453.6456692913386
,,,priableeseeingable,453.6456692913386
maxinameless #8,Sports,optics,ationesepribareing,454.07003891050584
maxinameless #8,,optics,ationesepribareing,454.07003891050584
maxinameless #8,,,ationesepribareing,454.07003891050584
