avg_monthly_sales,cc_name,d_moy,d_year,i_brand,i_category,nsum,psum,sum_sales
26156.0875,California_1,2,2001,importoexporti #2,Children,13239.62,17034.15,11574.49
25404.8525,NY Metro_1,2,2001,importoimporto #2,Men,15494.33,15480.64,11004.82
25518.919166666667,Mid Atlantic_1,1,2001,edu packedu pack #2,Shoes,14577.71,34834.63,11159.45
26254.825,NY Metro_1,6,2001,importoexporti #2,Children,16390.51,16806.95,12073.21
24751.53583333333,NY Metro_1,2,2001,edu packscholar #2,Music,14503.41,15790.74,10651.03
24929.8625,NY Metro,4,2001,exportiedu pack #2,Shoes,13681.0,14316.97,10898.29
24899.8825,Pacific Northwest_1,5,2001,amalgamalg #2,Women,12293.23,16193.39,10975.33
25505.340833333332,Mid Atlantic_1,2,2001,amalgscholar #2,Music,15594.3,12861.09,11642.31
25601.8775,NY Metro,5,2001,edu packexporti #2,Children,15632.37,13468.87,11744.65
25247.7175,California_1,2,2001,edu packedu pack #2,Shoes,14884.3,13750.78,11506.14
26195.033333333333,NY Metro_1,6,2001,amalgscholar #2,Music,16291.27,16551.09,12542.55
25714.3025,Mid Atlantic,2,2001,edu packexporti #2,Children,14344.46,16133.82,12078.16
24316.648333333334,Mid Atlantic_1,2,2001,edu packamalg #2,Women,15490.68,15479.75,10735.07
25602.393333333333,NY Metro_1,3,2001,edu packimporto #2,Men,14354.25,13183.13,12060.75
25329.268333333333,Hawaii/Alaska,2,2001,importoexporti #2,Children,14775.19,14407.14,11807.96
26282.9825,Mid Atlantic_1,2,2001,amalgexporti #2,Children,16672.68,14088.51,12915.7
24257.174166666668,Mid Atlantic,4,2001,amalgamalg #2,Women,12534.79,12696.81,10919.07
24769.496666666666,Mid Atlantic_1,2,2001,edu packexporti #2,Children,14541.65,13022.97,11435.87
25302.82083333333,North Midwest,2,2001,exportiedu pack #2,Shoes,13447.58,13617.72,12004.49
24716.416666666668,Mid Atlantic_1,2,2001,exportiedu pack #2,Shoes,13853.59,14015.26,11426.69
25220.920833333334,Hawaii/Alaska,6,2001,amalgscholar #2,Music,16660.53,14736.53,11975.81
26532.884166666667,Hawaii/Alaska,4,2001,edu packedu pack #2,Shoes,17081.47,15270.28,13289.33
25550.238333333335,North Midwest,2,2001,exportiimporto #2,Men,12674.53,15518.62,12311.42
26282.9825,Mid Atlantic_1,6,2001,amalgexporti #2,Children,15377.82,14793.63,13049.73
24110.093333333334,NY Metro,2,2001,importoscholar #2,Music,11498.73,14402.25,10908.03
