avg_monthly_sales,d_moy,d_year,i_category,nsum,psum,sum_sales
56182.60083333333,2,2001,Men,32026.87,37513.0,26055.51
60428.4825,2,2001,Children,34043.17,40604.63,30304.3
59746.09916666667,2,2001,Shoes,35243.17,38947.27,29624.33
58460.66916666667,2,2001,Men,32351.16,36857.0,28371.18
60156.57833333333,2,2001,Children,36710.87,40576.45,30104.2
60884.89666666667,2,2001,Children,33755.94,41800.01,31159.07
56516.75916666667,2,2001,Men,33448.66,35706.4,26817.0
58802.705,2,2001,Children,31931.78,38443.13,29372.83
57725.63416666667,2,2001,Children,34574.63,39598.4,28376.75
59172.35916666667,2,2001,Music,32178.77,41024.54,30187.6
57181.42833333333,2,2001,Men,33129.84,37183.69,28260.92
57922.87583333333,2,2001,Shoes,33070.89,35146.73,29155.75
59042.07166666667,2,2001,Shoes,34822.68,37437.25,30319.41
60016.433333333334,2,2001,Music,32132.7,39394.43,31341.65
58733.14,3,2001,Shoes,34386.32,31179.1,30070.85
57861.03666666667,2,2001,Men,33453.08,40513.47,29238.57
57813.4525,2,2001,Men,34540.48,39558.74,29221.61
59346.85333333333,2,2001,Shoes,35127.36,34271.93,30776.43
59239.785833333335,2,2001,Men,32113.55,35759.34,30787.63
60429.9175,2,2001,Music,35668.8,38551.34,32100.51
57518.58,2,2001,Music,31783.95,40117.33,29295.41
60884.89666666667,4,2001,Children,36753.79,33755.94,32728.71
55713.214166666665,3,2001,Women,32836.07,29172.87,27572.09
58811.434166666666,7,2001,Children,76408.93,35054.19,30687.64
60016.433333333334,6,2001,Music,36748.86,34831.7,31930.18
58455.01583333333,2,2001,Children,33564.97,39593.6,30469.45
60016.433333333334,3,2001,Music,35368.85,31341.65,32132.7
60156.57833333333,5,2001,Children,37211.15,33647.34,32354.6
58029.41916666667,2,2001,Men,34346.81,38643.4,30280.55
59805.245,3,2001,Children,33191.07,34876.46,32062.2
55297.08833333333,2,2001,Music,30968.36,35478.37,27579.35
56328.67,2,2001,Music,32386.28,35439.18,28684.51
57218.738333333335,2,2001,Shoes,32391.69,34708.98,29575.54
59372.115,2,2001,Shoes,33048.37,42199.14,31777.23
56901.653333333335,3,2001,Women,32504.69,30571.24,29326.95
58733.14,2,2001,Shoes,30070.85,39270.97,31179.1
55375.48166666667,2,2001,Music,30852.77,37867.03,27919.0
55137.215833333335,2,2001,Women,34680.48,35987.88,27768.01
57328.0175,2,2001,Children,32764.75,41889.96,30096.29
57308.275,2,2001,Men,33633.71,35549.7,30086.7
55400.39666666667,2,2001,Women,29997.78,36466.94,28180.69
59042.07166666667,4,2001,Shoes,33721.8,34822.68,31848.46
60884.89666666667,3,2001,Children,32728.71,31159.07,33755.94
59239.785833333335,3,2001,Men,32734.32,30787.63,32113.55
55814.11666666667,2,2001,Women,30322.62,35526.27,28702.08
55182.24166666667,2,2001,Shoes,33626.94,36469.73,28074.7
56146.29083333333,2,2001,Women,34716.38,38716.04,29070.21
57893.2725,5,2001,Men,33973.71,32004.09,30827.84
60429.9175,6,2001,Music,34693.82,35836.12,33415.5
59172.35916666667,3,2001,Music,34549.99,30187.6,32178.77
55454.27166666667,5,2001,Music,31561.39,34310.22,28502.94
58811.434166666666,3,2001,Children,33281.4,33216.78,31877.18
54970.25666666667,2,2001,Music,29720.6,35043.1,28048.18
57499.9125,4,2001,Men,35021.56,35652.4,30622.19
58606.589166666665,6,2001,Children,34812.09,35891.09,31735.03
