b_city,b_street_name,b_street_number,b_zip,c_city,c_street_name,c_street_number,c_zip,cnt,cnt2,cs1_year,cs2_year,product_name,s11,s12,s21,s22,s31,s32,store_name,store_zip
Unionville,Hill Smith,790,71711,Jackson,Fifth ,957,69583,1,1,2000,2001,antiablepriableought,6.23,74.33,9.03,110.0,0.0,0.0,ese,58370
Greenwood,Main Lee,367,48828,Belmont,Cedar Washington,883,80191,1,1,2000,2001,antiablepriableought,,74.33,176.57,110.0,,0.0,ese,58370
Lakeview,Lee ,784,38579,Highland,4th Oak,612,89454,1,1,2000,2001,antiantiableantipri,11.63,16.07,20.35,29.08,0.0,381.11,able,31904
,,215,,Five Forks,Second Williams,498,72293,1,1,2000,2001,antiantiableantipri,46.86,55.19,83.41,83.88,0.0,0.0,ese,39231
Barnes,East Central,112,33788,Woodland,River ,52,74854,1,1,2000,2001,antiantieseoughtese,68.82,2.72,96.34,4.46,0.0,0.0,eing,33604
Highland Park,7th West,678,36534,Georgetown,Central West,823,57057,1,1,2000,2001,antiantieseoughtese,92.18,2.72,152.09,4.46,0.0,0.0,eing,33604
Riverside,River Park,275,69231,,Birch South,,38370,1,1,2000,2001,anticallyanticallyn st,42.65,97.43,56.29,139.32,0.0,1561.9,ation,36098
Five Forks,1st ,111,32293,Oakdale,Green 3rd,480,89584,1,1,2000,2001,antieingbarbarpri,77.21,3.29,145.15,5.16,1188.75,14.79,able,38370
Five Forks,Poplar ,34,62293,Mount Zion,,,,1,1,2000,2001,antieseprioughtation,28.56,4.2,45.41,6.84,0.0,0.0,eing,39231
Warwick,Hill ,943,61398,Jamestown,Hickory Fourth,618,46867,1,1,2000,2001,antin stn stableought,72.66,74.44,122.79,131.01,0.0,0.0,anti,53604
Macedonia,Poplar 13th,629,31087,Jonestown,Church 3rd,429,73607,1,1,2000,2001,antin stn stableought,83.38,21.89,89.21,33.92,0.0,0.0,ought,59231
Mount Vernon,Second Pine,141,48482,Summit,College ,287,70499,1,1,2000,2001,antioughtcallyantically,44.94,37.06,62.91,43.73,0.0,2217.68,bar,33604
Woodlawn,Valley Laurel,278,64098,Pleasant Valley,9th ,23,82477,1,1,2000,2001,antipripriationeing,92.35,62.65,108.97,110.89,0.0,0.0,able,33604
Spring Valley,Green Oak,533,26060,Fairview,7th ,993,45709,1,1,2000,2001,antipriprieingation,83.86,79.41,105.66,135.79,0.0,0.0,able,38370
