brand,brand_id,d_year,sum_agg
namelesscorp #5,6008005,1998,1031.19
importoexporti #1,3002001,1998,937.49
importounivamalg #2,9012002,1998,925.56
importoexporti #2,3002002,1998,758.18
amalgbrand #7,7001007,1998,697.74
exportiimporto #1,2003001,1998,637.89
importoimporto #1,2002001,1998,632.72
univunivamalg #11,9010011,1998,548.99
exportiedu pack #1,4003001,1998,539.97
amalgamalg #2,1001002,1998,522.52
amalgunivamalg #9,9011009,1998,499.93
importoamalg #1,1002001,1998,489.11
maxicorp #2,6009002,1998,472.72
exportiimporto #2,2003002,1998,446.47
amalgexporti #1,3001001,1998,328.96
scholarmaxi #11,9005011,1998,287.89
exportimaxi #11,9003011,1998,285.35
amalgunivamalg #9,9011009,1999,1128.11
amalgexporti #1,3001001,1999,1006.04
univunivamalg #11,9010011,1999,1005.02
importoimporto #1,2002001,1999,956.81
amalgbrand #7,7001007,1999,865.15
importoexporti #2,3002002,1999,863.49
exportiimporto #1,2003001,1999,836.86
importoexporti #1,3002001,1999,782.19
exportiedu pack #1,4003001,1999,780.56
amalgamalg #2,1001002,1999,767.5
namelesscorp #5,6008005,1999,737.48
maxicorp #2,6009002,1999,647.06
exportiimporto #2,2003002,1999,470.41
scholarmaxi #11,9005011,1999,453.71
exportimaxi #11,9003011,1999,400.89
importounivamalg #2,9012002,1999,377.57
importoamalg #1,1002001,1999,325.72
scholarunivamalg #11,9010011,2000,1135.64
scholarmaxi #8,8015008,2000,1054.71
amalgamalg #2,1001002,2000,857.97
amalgbrand #7,7001007,2000,800.93
importoamalg #1,1002001,2000,797.98
importoamalg #2,1002002,2000,779.11
exportiimporto #1,2003001,2000,662.47
exportiimporto #2,2003002,2000,612.52
exportiedu pack #1,4003001,2000,608.34
amalgunivamalg #9,9011009,2000,599.59
maxicorp #2,6009002,2000,575.12
importounivamalg #2,9012002,2000,504.16
importoexporti #2,3002002,2000,459.4
exportibrand #2,6013002,2000,420.66
maxicorp #2,6009002,2001,974.71
importounivamalg #2,9012002,2001,910.65
scholarunivamalg #11,9010011,2001,885.21
importoamalg #2,1002002,2001,804.14
exportimaxi #10,4004001,2001,776.35
exportibrand #2,6013002,2001,744.22
univamalgamalg #4,6010005,2001,643.59
brandnameless #2,2003001,2001,507.12
scholarmaxi #8,8015008,2001,483.34
exportiimporto #2,2003002,2001,451.46
importoexporti #2,3002002,2001,447.07
amalgamalg #2,1001002,2001,394.09
importoexporti #1,8015008,2002,1020.06
exportiimporto #2,2003002,2002,974.44
amalgscholar #1,5001001,2002,835.35
amalgamalg #2,1001002,2002,830.77
amalgamalg #1,1004002,2002,692.1
importounivamalg #2,9012002,2002,662.53
maxibrand #1,2004002,2002,643.01
univamalgamalg #4,6010005,2002,604.87
exportimaxi #10,4004001,2002,547.21
maxicorp #2,6009002,2002,539.38
amalgexporti #1,1002002,2002,538.89
brandnameless #2,2003001,2002,474.46
importoexporti #2,3002002,2002,380.67
importoexporti #1,3002001,2002,345.96
