cd_credit_rating,cd_dep_college_count,cd_dep_count,cd_dep_employed_count,cd_education_status,cd_gender,cd_marital_status,cd_purchase_estimate,cnt1,cnt2,cnt3,cnt4,cnt5,cnt6
Low Risk,3,4,2,2 yr Degree,F,D,2500,1,1,1,1,1,1
Good,4,3,1,4 yr Degree,F,D,8500,1,1,1,1,1,1
Good,0,3,0,Advanced Degree,F,D,7000,1,1,1,1,1,1
Low Risk,2,0,6,Advanced Degree,F,D,8000,1,1,1,1,1,1
Good,2,4,1,College,F,D,3500,1,1,1,1,1,1
Unknown,3,4,4,Primary,F,D,8500,1,1,1,1,1,1
Unknown,0,2,2,Secondary,F,D,1000,1,1,1,1,1,1
Good,4,2,3,Secondary,F,D,9500,1,1,1,1,1,1
Low Risk,6,5,4,Unknown,F,D,3500,1,1,1,1,1,1
Low Risk,1,3,2,Unknown,F,D,10000,1,1,1,1,1,1
High Risk,5,3,3,2 yr Degree,F,M,6500,1,1,1,1,1,1
Good,1,1,2,2 yr Degree,F,M,8000,1,1,1,1,1,1
Low Risk,5,0,0,2 yr Degree,F,M,8000,1,1,1,1,1,1
High Risk,5,6,2,Advanced Degree,F,M,500,1,1,1,1,1,1
Low Risk,1,4,1,Advanced Degree,F,M,1000,1,1,1,1,1,1
Good,1,1,3,College,F,M,6000,1,1,1,1,1,1
High Risk,1,5,3,College,F,M,6000,1,1,1,1,1,1
Unknown,5,4,6,College,F,M,8500,1,1,1,1,1,1
Unknown,2,5,5,College,F,M,10000,1,1,1,1,1,1
Low Risk,4,3,4,Primary,F,M,8500,1,1,1,1,1,1
Unknown,2,2,1,Secondary,F,M,3500,1,1,1,1,1,1
High Risk,0,3,1,Secondary,F,M,5500,1,1,1,1,1,1
High Risk,6,4,0,Secondary,F,M,5500,1,1,1,1,1,1
Good,6,2,1,Secondary,F,M,8500,1,1,1,1,1,1
Good,2,5,0,Unknown,F,M,6000,1,1,1,1,1,1
