curr_yr_cnt,i_brand_id,i_category_id,i_class_id,i_manufact_id,prev_year,prev_yr_cnt,sales_amt_diff,sales_cnt_diff,year
8521.0,4004001,10,4,173,2001,18707.0,-536946.36,-10186.0,2002
8503.0,2001001,10,1,101,2001,18643.0,-385277.61,-10140.0,2002
8759.0,10002006,10,2,49,2001,18834.0,-460622.93,-10075.0,2002
9018.0,10014002,10,14,553,2001,19064.0,-431327.75,-10046.0,2002
8615.0,10007014,10,7,100,2001,17669.0,-383305.63,-9054.0,2002
9420.0,10005010,10,5,285,2001,18254.0,-404448.07,-8834.0,2002
9440.0,10001004,10,1,457,2001,18137.0,-376043.31,-8697.0,2002
9147.0,2003001,10,3,154,2001,17813.0,-333456.88,-8666.0,2002
9776.0,10009008,10,9,555,2001,17812.0,-452781.47,-8036.0,2002
10056.0,1004001,10,4,130,2001,17757.0,-424784.12,-7701.0,2002
9869.0,10013007,10,13,268,2001,17543.0,-287300.48,-7674.0,2002
10622.0,10012006,10,12,170,2001,17609.0,-455235.68,-6987.0,2002
6496.0,10010015,10,10,151,2001,10302.0,-177048.1,-3806.0,2002
7636.0,10001014,10,1,66,2001,11263.0,-128888.03,-3627.0,2002
7721.0,10010016,10,10,39,2001,11124.0,-182506.1,-3403.0,2002
7407.0,10015016,10,15,256,2001,10725.0,-73244.98,-3318.0,2002
7704.0,10008006,10,8,517,2001,11002.0,-149180.52,-3298.0,2002
7505.0,3001001,10,7,148,2001,10742.0,-138182.53,-3237.0,2002
8079.0,10005013,10,5,198,2001,11215.0,-160100.31,-3136.0,2002
7167.0,10012013,10,12,397,2001,10253.0,-148027.81,-3086.0,2002
7629.0,10005015,10,5,234,2001,10690.0,-130457.29,-3061.0,2002
6683.0,10009011,10,9,58,2001,9723.0,-126894.45,-3040.0,2002
6810.0,10008008,10,8,65,2001,9847.0,-175377.53,-3037.0,2002
7765.0,10004003,10,4,275,2001,10728.0,-186707.74,-2963.0,2002
7193.0,10013015,10,2,184,2001,10128.0,-146564.0,-2935.0,2002
16927.0,10005006,10,5,44,2001,19825.0,-67370.98,-2898.0,2002
8194.0,10006003,10,6,23,2001,11069.0,-128359.23,-2875.0,2002
8094.0,10009002,10,9,503,2001,10942.0,-29671.53,-2848.0,2002
8045.0,10005011,10,5,294,2001,10848.0,-238526.71,-2803.0,2002
7165.0,10005006,10,5,112,2001,9958.0,-148428.06,-2793.0,2002
7808.0,7007005,10,7,263,2001,10570.0,-101013.02,-2762.0,2002
7863.0,2003001,10,4,285,2001,10596.0,-160273.38,-2733.0,2002
8852.0,10013004,10,13,536,2001,11539.0,-108071.87,-2687.0,2002
8340.0,6012007,10,12,295,2001,11019.0,-52867.08,-2679.0,2002
8126.0,10015001,10,15,246,2001,10801.0,-167047.05,-2675.0,2002
8467.0,1001001,10,13,343,2001,11139.0,-89644.75,-2672.0,2002
8079.0,10010012,10,2,8,2001,10744.0,-191258.62,-2665.0,2002
7712.0,10007013,10,7,94,2001,10306.0,-76272.9,-2594.0,2002
8035.0,5004001,10,4,373,2001,10605.0,-143571.65,-2570.0,2002
6852.0,10015007,10,15,138,2001,9406.0,-186430.61,-2554.0,2002
8778.0,10008004,10,8,308,2001,11328.0,-81026.83,-2550.0,2002
8273.0,10016002,10,16,319,2001,10822.0,-240617.91,-2549.0,2002
8926.0,10006011,10,6,814,2001,11469.0,-81368.27,-2543.0,2002
7817.0,1002001,10,1,45,2001,10359.0,-155411.82,-2542.0,2002
7117.0,10001008,10,1,620,2001,9646.0,-149760.53,-2529.0,2002
7999.0,10012014,10,12,99,2001,10523.0,-186658.24,-2524.0,2002
8553.0,10006001,10,6,75,2001,11063.0,-167896.51,-2510.0,2002
7691.0,10007013,10,7,647,2001,10200.0,-105720.15,-2509.0,2002
7786.0,10009014,10,9,21,2001,10261.0,-93904.18,-2475.0,2002
7686.0,10014013,10,14,907,2001,10156.0,-38663.37,-2470.0,2002
7978.0,10008008,10,8,647,2001,10427.0,-160632.57,-2449.0,2002
6949.0,10012013,10,12,602,2001,9397.0,-171161.85,-2448.0,2002
7949.0,10005003,10,5,347,2001,10393.0,-61694.54,-2444.0,2002
7873.0,1001001,10,1,101,2001,10301.0,-103122.41,-2428.0,2002
8633.0,10003012,10,3,298,2001,11059.0,-146280.75,-2426.0,2002
8245.0,1004001,10,2,181,2001,10671.0,-134995.99,-2426.0,2002
8147.0,8009009,10,5,588,2001,10568.0,-168433.59,-2421.0,2002
7558.0,10012010,10,12,564,2001,9968.0,-124717.27,-2410.0,2002
7047.0,10013007,10,13,385,2001,9444.0,-167996.87,-2397.0,2002
7599.0,10010011,10,10,765,2001,9995.0,-94625.18,-2396.0,2002
8192.0,10002008,10,2,211,2001,10573.0,-54146.95,-2381.0,2002
7024.0,10001010,10,9,313,2001,9403.0,-69243.52,-2379.0,2002
7914.0,10006011,10,6,190,2001,10283.0,-72189.11,-2369.0,2002
8065.0,10009005,10,9,14,2001,10434.0,-36487.81,-2369.0,2002
7452.0,10010012,10,2,237,2001,9819.0,-175586.79,-2367.0,2002
8128.0,10010013,10,7,45,2001,10483.0,-29774.93,-2355.0,2002
8023.0,10002003,10,2,795,2001,10363.0,-44678.29,-2340.0,2002
7803.0,10004001,10,4,98,2001,10137.0,-144893.2,-2334.0,2002
