gross_margin,i_category,i_class,lochierarchy,rank_within_parent
-0.4330563467237651,,,2,1
-0.43670663195992404,Women,,1,1
-0.4342339452686141,Books,,1,2
-0.4338343986447871,Sports,,1,3
-0.43371098774879513,Electronics,,1,4
-0.4335706008819024,,,1,5
-0.43304445512942347,Shoes,,1,6
-0.4328866100382756,Children,,1,7
-0.4324925815397924,Jewelry,,1,8
-0.43239249438130745,Men,,1,9
-0.4314135577614194,Music,,1,10
-0.42988969404439037,Home,,1,11
-0.4567931662859412,Books,computers,0,1
-0.440353068519604,Books,arts,0,2
-0.4397005046417978,Books,self-help,0,3
-0.4392387823742343,Books,sports,0,4
-0.43647987476762384,Books,parenting,0,5
-0.4363239422739774,Books,entertainments,0,6
-0.4359792645189583,Books,reference,0,7
-0.43537298214249537,Books,home repair,0,8
-0.4347576022980532,Books,cooking,0,9
-0.432214592605348,Books,science,0,10
-0.4319814512716687,Books,history,0,11
-0.4293388532663468,Books,mystery,0,12
-0.4275613220567634,Books,travel,0,13
-0.4260075720589741,Books,fiction,0,14
-0.42269411934643364,Books,romance,0,15
-0.42051184882223863,Books,,0,16
-0.4184340925160506,Books,business,0,17
-0.49440536667572177,Children,,0,1
-0.43684364857001207,Children,infants,0,2
-0.43625535859395204,Children,newborn,0,3
-0.4293084742245095,Children,toddlers,0,4
-0.4284237236585751,Children,school-uniforms,0,5
-0.4452375034166257,Electronics,memory,0,1
-0.4425657514320369,Electronics,personal,0,2
-0.4424949496936988,Electronics,musical,0,3
-0.43898733672333884,Electronics,camcorders,0,4
-0.438098262828288,Electronics,portable,0,5
-0.43757165716585733,Electronics,monitors,0,6
-0.4374537067578876,Electronics,dvd/vcr players,0,7
-0.43593666840283996,Electronics,wireless,0,8
-0.4348719903363041,Electronics,scanners,0,9
-0.4338226490986927,Electronics,karoke,0,10
-0.4325306809548645,Electronics,stereo,0,11
-0.42979309906697527,Electronics,televisions,0,12
-0.4296973576282738,Electronics,cameras,0,13
-0.42547546067352054,Electronics,audio,0,14
-0.42328595963508675,Electronics,disk drives,0,15
-0.4219089377396288,Electronics,,0,16
-0.41269079976251116,Electronics,automotive,0,17
-0.44488338397003446,Home,bedding,0,1
-0.4383107376813158,Home,flatware,0,2
-0.437462788325934,Home,kids,0,3
-0.43576472596313776,Home,curtains/drapes,0,4
-0.4354140624515748,Home,lighting,0,5
-0.4344429950638816,Home,accent,0,6
-0.431278940161818,Home,glassware,0,7
-0.43014709257702743,Home,rugs,0,8
-0.43002829476220317,Home,tables,0,9
-0.4287680250772762,Home,blinds/shades,0,10
-0.4278435856299207,Home,decor,0,11
-0.4256507564806875,Home,wallpaper,0,12
-0.4240551509632065,Home,furniture,0,13
-0.41980808171714107,Home,bathroom,0,14
-0.41960162854881816,Home,mattresses,0,15
-0.41826096355022085,Home,paint,0,16
-0.37757466428048947,Home,,0,17
-0.4484582090507201,Jewelry,consignment,0,1
-0.4441908433332635,Jewelry,estate,0,2
-0.4377110485893502,Jewelry,semi-precious,0,3
-0.4373114181492382,Jewelry,birdal,0,4
-0.43641249997763476,Jewelry,bracelets,0,5
-0.4359966191238746,Jewelry,loose stones,0,6
-0.43391561775906856,Jewelry,,0,7
-0.4329944090353598,Jewelry,diamonds,0,8
-0.43113551855826215,Jewelry,custom,0,9
-0.4293817281904891,Jewelry,earings,0,10
-0.42906969688444846,Jewelry,pendants,0,11
-0.4284786235087862,Jewelry,jewelry boxes,0,12
-0.42813250811780035,Jewelry,costume,0,13
-0.428051154560244,Jewelry,rings,0,14
-0.4263280445647726,Jewelry,womens watch,0,15
-0.4259526835442627,Jewelry,mens watch,0,16
-0.4200937678711487,Jewelry,gold,0,17
-0.4343751045369089,Men,accessories,0,1
-0.43240249140252845,Men,pants,0,2
-0.432226367253824,Men,shirts,0,3
-0.4306969742537801,Men,sports-apparel,0,4
-0.4128500338235339,Men,,0,5
-0.4343493379499909,Music,pop,0,1
-0.43225070059107884,Music,classical,0,2
-0.4298861789359376,Music,rock,0,3
-0.42966185611490565,Music,country,0,4
-0.36176898222058423,Music,,0,5
-0.43679912629479273,Shoes,athletic,0,1
-0.43374262391579843,Shoes,womens,0,2
-0.43258456863480793,Shoes,kids,0,3
-0.4293493450778466,Shoes,mens,0,4
-0.3930366280554292,Shoes,,0,5
