d_week_seq,i_item_desc,no_promo,promo,total_cnt,w_warehouse_name
5322,"Actual teachers tolerate then categories. More direct groups can pay. Feet see home french interests; much happy dreams comply. Yet extra attempts would come pounds. Men exist annually close, litera",0,3,3,Both obvious tic
5322,Conditions used to eat very in a ,0,3,3,"Male, recent towns"
5322,Conditions used to eat very in a ,0,3,3,Together current liv
5304,En,0,3,3,Modestly diff
5304,En,0,3,3,Today safe co
5318,"Hot, strong changes silence no longer linguistic complaints. Various profits sell even in the ",0,3,3,"Male, recent towns"
5322,"In short poor stages might level to a times; different champions might count approximately. Still separate lands must want however. Activities might show; secondary, concerned times would work. Poor",0,3,3,Famous skills enact.
5302,Plain conditions obtain. Downhill recent insects lay. Still inadequate operations visit in the ,0,3,3,Both obvious tic
5322,Swiss banks should not wipe ago friends. Stars take maybe members. Black changes use also through a volumes.,0,3,3,Only soluti
5304,"Terms drive generously senior, practical method",0,3,3,Odd arts will wonde
5304,,0,3,3,Odd arts will wonde
5302,"Able funds shall improve on a characters; young others collaborate difficulties. New months should need difficult, british ",0,2,2,About slight way
5317,"Able parents may not get perfectly tall figures. Arms will not order national, evolutionary workers. Often certain gentlemen believe maybe. Able, traditio",0,2,2,Famous skills enact.
5303,Acceptable results say again large models. Here physical boots must follow very. New pa,0,2,2,About slight way
5318,Accurate stairs shall replace now beautiful building,0,2,2,Famous skills enact.
5322,Acids add suddenly s,0,2,2,Together current liv
5320,"Additional, actual languages sign police. Much keen prisoners would alter. Grey, new representatives come more than kilometres. Flowers might not",0,2,2,Famous skills enact.
5308,Advisers would n,0,2,2,About slight way
5300,"Again clear circumstances raise computers. Fresh, italian years decline orders; small british activities represent overall future, co",0,2,2,Famous skills enact.
5296,Again other cases recognise systems. Seats dry international men. Personnel visit lines. Also good relations fall with the children. Again industrial agencie,0,2,2,Modestly diff
5303,"Ago psychological animals shall not wait very now other supporters. Reasonable ways jump thus dead, new relatives. Large worlds cannot establish later. Other meals say relations. Male doors punish",0,2,2,Famous skills enact.
5318,Ahead arbitrary demands get. Industries make with the models. Alone similar workers set beyond in the symbols. Bad candidates would see slowly other parties. ,0,2,2,About slight way
5318,Ahead arbitrary demands get. Industries make with the models. Alone similar workers set beyond in the symbols. Bad candidates would see slowly other parties. ,0,2,2,Today safe co
5318,Ahead arbitrary demands get. Industries make with the models. Alone similar workers set beyond in the symbols. Bad candidates would see slowly other parties. ,0,2,2,Together current liv
5316,Al,0,2,2,Together current liv
5278,Alleged delegates might not change to a examples. Children should worry so open powers. Shares take additional conservatives,0,2,2,Today safe co
5321,Almost fine voices diminish automatically small seeds. Strange patients would not win just sons; little unhappy,0,2,2,Both obvious tic
5315,Almost patient programmes matter in addition only maximum areas. Less domestic friends ought to follow in a clothes;,0,2,2,Both obvious tic
5302,Almost social,0,2,2,Together current liv
5322,Already british councillors spend now fast foreign books. Total abilities should combat well public articles. Bitter gifts will keep probably. Patients shall ti,0,2,2,"Male, recent towns"
5322,Already british councillors spend now fast foreign books. Total abilities should combat well public articles. Bitter gifts will keep probably. Patients shall ti,0,2,2,Odd arts will wonde
5288,"Already ordinary sons say normal, beautiful years. Common couples shall not address ",0,2,2,Odd arts will wonde
5319,"Already wide firms shall not drop. Proper, other assumptions appreciate most sufficient suggestions. New shareholders wou",0,2,2,"Male, recent towns"
5308,Also educational couples will cut. Ambit,0,2,2,Famous skills enact.
5308,Also educational couples will cut. Ambit,0,2,2,Modestly diff
5308,Also educational couples will cut. Ambit,0,2,2,Odd arts will wonde
5301,Also large events will exist completely to a days. Greatly only losses ,0,2,2,Only soluti
5285,Also similar services can examine. Mad laws participate only drugs. Loyal maps arise limited observations; phases lead,0,2,2,Famous skills enact.
5285,Also similar services can examine. Mad laws participate only drugs. Loyal maps arise limited observations; phases lead,0,2,2,"Male, recent towns"
5285,Also similar services can examine. Mad laws participate only drugs. Loyal maps arise limited observations; phases lead,0,2,2,Normal facili
5303,Always low years used to realise then from a links. Then marine measur,0,2,2,About slight way
5303,Always low years used to realise then from a links. Then marine measur,0,2,2,Today safe co
5316,"American, pregnant troops get large, civil years. More legal activities say. Other benefits keep. Used plans include perh",0,2,2,Both obvious tic
5301,"Animals may draw either others. Black, important lovers may trade particularly now de",0,2,2,"Male, recent towns"
5316,Animals start hard views. Other recommendatio,0,2,2,About slight way
5318,Annual sessions can play. Then ,0,2,2,"Male, recent towns"
5320,Anxiou,0,2,2,Only soluti
5281,"Appropriate months may give light, medical letters. Presidential cells might not mean mech",0,2,2,About slight way
5307,Areas combine either. Valid messages must encourage complete days; today good shar,0,2,2,Famous skills enact.
5293,"Arms enter of course right, various questions. Familiar times may win either too good terms. ",0,2,2,Both obvious tic
5303,"Artificial, proper terms help. Now american conclusions conceive thereby clear areas. Favorable students will recover responsible, mad l",0,2,2,Only soluti
5312,"As british cities wear really other,",0,2,2,Famous skills enact.
5311,As different examples might advise growing indu,0,2,2,Normal facili
5320,As it were following minutes carry really by a ways. Police ,0,2,2,About slight way
5307,"As large advantages pay then future priests. Museums would not make most. Details used to pursue. Busy applications describe sometimes good results; respective, empty ye",0,2,2,About slight way
5301,"As military lives hold then from a technologies. Most severe interests shall make good, logical expenses. In",0,2,2,About slight way
5301,"As military lives hold then from a technologies. Most severe interests shall make good, logical expenses. In",0,2,2,Odd arts will wonde
5320,Aspects must apply reasonably to the pupils. Direc,0,2,2,Modestly diff
5322,"Assessments become problems. Political, annual fields ought to last simply linear workers. Very successful words ought to can",0,2,2,About slight way
5320,"As specific products offer sales. Lucky, general controls consider however in the animals. Important prices make and so on feder",0,2,2,Odd arts will wonde
5312,"At least general sounds must observe well students. Single, international measures would not talk even. Nurses must require finally in a skills. Rational paintings cannot go ",0,2,2,Normal facili
5281,At least novel newspapers ought,0,2,2,"Male, recent towns"
5316,"Aware prices expect more capitalist users. Details ought to pay. Hard commercial events move usually in the accounts. Other seconds ought to discover fully yellow, subsequen",0,2,2,Normal facili
5315,"Aware, significant eyes can",0,2,2,About slight way
5307,"Bad, existing differences acknowledge liv",0,2,2,About slight way
5319,"Beautiful, responsible stores will convey american locations. Responsible, expensive conditions would not alleviate very offices. Also real situations exercise again. Arms hurt very still en",0,2,2,"Male, recent towns"
5308,Behind french communities delegate,0,2,2,Odd arts will wonde
5320,"Big, ethnic examples respond to a directors. High sources can provide most about a thanks. Good, running officers get just marked terms. Insufficient, public homes used to test less great, presidenti",0,2,2,Today safe co
5321,"Black, alive industries ought to join necessaril",0,2,2,Famous skills enact.
5304,Black novels must not replace in a groups. Bitterly active spirits investigate well just future provisions; financial authoriti,0,2,2,Famous skills enact.
5317,Blind households should give new times. Only possible weekends will not,0,2,2,Today safe co
5318,"Bright, national banks want in an pat",0,2,2,Today safe co
5316,"British children top for example bright practices. Happy expectations will concentrate always. Lines feel too. Modern, average functions will not see now physical, special thousa",0,2,2,Normal facili
5316,"British children top for example bright practices. Happy expectations will concentrate always. Lines feel too. Modern, average functions will not see now physical, special thousa",0,2,2,Odd arts will wonde
5318,"British, constant police m",0,2,2,Normal facili
5295,British lists result parts; indeed social conditions win now also french ye,0,2,2,Both obvious tic
5295,British lists result parts; indeed social conditions win now also french ye,0,2,2,Normal facili
5318,British proteins cannot like just,0,2,2,Modestly diff
5307,"Broad, suitable firms could mean then awkward ties; impressive looks assure cultural, military bombs. At all aware fees keep most into a years. Early nurses would push positively",0,2,2,Today safe co
5271,By now like plates shall get finally specific publications. Happy molecules ought to think further for a others. Different colours might review for a sports. Even awful,0,2,2,Odd arts will wonde
5322,"Calculations may not expect much general affairs. Senior, thick stages used to know rightly areas. Jointly specific su",0,2,2,Famous skills enact.
5320,"Carefully severe societies may finish special hands. Other, right measures allow finally radical materials. Powers write safely despite a steps",0,2,2,Today safe co
5317,"Cars go at length too appointed programmes. Cultural bars recover roughly only major points. Big, young architects use in a pounds. Rich, new details know mean, lovely me",0,2,2,Both obvious tic
5321,Cars rid la,0,2,2,Both obvious tic
5321,Cars rid la,0,2,2,Together current liv
5321,Cars will overcome especially appropriate boundarie,0,2,2,Normal facili
5319,Case,0,2,2,Normal facili
5278,"Cattle should not come since cameras. Long-term, necessary leaders must know yesterday. Even cultural years might not afford between the develope",0,2,2,Normal facili
5304,Cells should not include just. Economic,0,2,2,Today safe co
5282,Centra,0,2,2,Odd arts will wonde
5300,"Central, estimated techniques used to pay fairly damp preparations. Great, different tonnes ought to keep endless churches; thoro",0,2,2,"Male, recent towns"
5300,"Central, estimated techniques used to pay fairly damp preparations. Great, different tonnes ought to keep endless churches; thoro",0,2,2,Odd arts will wonde
5307,Central mater,0,2,2,Together current liv
5302,"Central, new ministers come previously to a personnel. Railways go even poor flames. Necessary ",0,2,2,Together current liv
5321,"Centres send indeed centres. Drinks shall not take leading, tiny islands. Financial studies could",0,2,2,Both obvious tic
5315,"Changes assume tonight years. Alike common houses might apologize far controversial good items. Major, upper causes may not manage that is usually actual days. New repu",0,2,2,Famous skills enact.
5307,Characters assist today new questions. For example empty elections could intervene deliberately prof,0,2,2,Famous skills enact.
5317,Characters could not propose still by the proceedings; yet other s,0,2,2,Only soluti
5322,Cheap little ,0,2,2,Modestly diff
5305,"Cheap, local hours give now subsequent players. Systems",0,2,2,Famous skills enact.
