ca_zip,sum
30026,513.47
30059,7414.47
30069,8132.42
30128,211.93
30141,413.76
30150,7996.28
30162,7447.89
30164,477.47
30169,11035.23
30191,9936.4
30194,2276.3
30216,250.4
30262,431.39
30268,1170.06
30296,399.89
30302,2055.06
30399,9335.17
30408,2935.57
30411,9783.63
30451,545.3
30481,150.92
30492,279.18
30499,9146.89
30519,90.09
30526,311.87
30534,6250.74
30573,573.75
30584,975.17
30587,9175.92
30589,1691.29
30618,238.28
30634,616.86
30635,612.9
30725,830.76
30732,807.46
30744,1811.86
30766,2099.36
30852,371.01
30854,963.49
30894,1198.53
30913,2344.74
30919,557.66
30965,1795.49
30986,451.18
31075,1538.81
31083,305.32
31087,12597.01
31143,799.15
31147,580.59
31206,361.13
31218,240.81
31229,895.47
31289,10314.95
31387,7691.47
31398,1220.56
31409,1356.59
31521,9412.24
31529,880.01
31545,2288.03
31669,1505.57
31675,16621.17
31686,233.29
31711,8000.31
31732,568.09
31749,6157.53
31757,9395.9
31821,348.48
31824,2673.04
31904,9625.58
31933,8639.09
31934,979.36
31952,7284.47
32033,798.91
32106,982.08
32123,407.82
32150,211.73
32205,617.88
32244,412.75
32284,1496.82
32293,8114.39
32297,1524.99
32324,434.92
32455,453.79
32477,9615.77
32503,948.43
32562,443.14
32565,1288.82
32629,260.12
32686,483.45
32738,1706.71
32808,4293.69
32812,5739.16
32898,4706.6
33003,10011.83
33075,791.07
33199,677.68
33298,1323.58
33342,630.71
33360,2917.0
33394,12799.21
