brand,brand_id,ext_price,t_hour,t_minute
amalgamalg #1,1001001,,17,0
edu packexporti #2,1001001,,19,23
amalgamalg #2,1001002,,9,0
amalgamalg #2,1001002,,18,31
edu packbrand #6,1002001,,19,41
corpunivamalg #5,1004001,,19,27
namelessnameless #3,1004001,,17,8
edu packexporti #2,1004001,,18,22
edu packamalg #2,1004002,,19,51
amalgimporto #2,2001002,,17,24
amalgimporto #2,2001002,,17,12
amalgimporto #2,2001002,,8,36
amalgmaxi #7,2003001,,18,52
exportiimporto #1,2003001,,17,59
edu packimporto #1,2004001,,19,55
importoimporto #2,3001001,,9,29
amalgexporti #2,3001002,,7,47
importoexporti #2,3002002,,8,15
importounivamalg #13,3003001,,8,44
exportiexporti #2,3003002,,18,26
edu packexporti #2,3004002,,17,22
importoedu pack #2,4002002,,18,15
importoedu pack #2,4002002,,18,39
exportiedu pack #2,4003002,,17,20
exportiedu pack #2,4003002,,9,17
edu packedu pack #1,4004001,,9,21
edu packexporti #1,4004001,,17,53
importoscholar #2,5002002,,19,10
exportischolar #2,5003002,,17,24
exportischolar #2,5003002,,18,18
edu packscholar #2,5004002,,18,38
edu packscholar #2,5004002,,9,13
amalgexporti #1,6004008,,8,35
amalgexporti #1,6004008,,9,30
importomaxi #8,6007001,,17,5
corpunivamalg #7,6009002,,19,57
importobrand #6,6012006,,9,19
amalgcorp #4,6015003,,18,14
scholarbrand #6,6015006,,9,21
amalgbrand #8,7001008,,18,3
edu packbrand #6,7004006,,18,21
scholarbrand #7,7005007,,17,42
scholarbrand #8,7005008,,8,32
maxibrand #1,7009001,,18,16
importoexporti #1,7009003,,17,51
amalgmaxi #7,7009005,,8,49
importoimporto #1,7011004,,19,6
amalgedu pack #1,7014005,,9,12
scholarnameless #10,7015010,,9,19
amalgscholar #2,8006003,,8,7
namelessnameless #7,8008007,,18,35
exportiamalgamalg #17,8011003,,18,47
importomaxi #8,8012008,,19,56
exportimaxi #10,8013010,,17,42
amalgimporto #1,8015010,,19,36
scholarunivamalg #10,8016001,,9,41
exportibrand #5,8016009,,18,8
edu packmaxi #2,9004002,,19,30
brandmaxi #1,9007001,,18,9
maximaxi #1,9009001,,17,2
univunivamalg #2,9010002,,9,45
univunivamalg #2,9010002,,18,39
amalgscholar #1,9011012,,18,32
corpnameless #1,9012005,,19,14
scholarunivamalg #1,9015001,,9,21
scholarunivamalg #7,9015007,,8,32
importounivamalg #16,10002016,,17,11
corpunivamalg #8,10006008,,8,47
brandunivamalg #15,10007015,,9,16
importoamalgamalg #9,10012009,,9,7
edu packamalgamalg #5,10014005,,19,5
edu packamalgamalg #13,10014013,,8,18
