d_date,item_sk,store_cumulative,store_sales,web_cumulative,web_sales
1998-01-16,4,22.28,,76.18,76.18
1998-02-05,4,266.14,266.14,268.93,268.93
1998-02-09,4,322.94,,420.23,420.23
1998-02-10,4,322.94,,481.74,481.74
1998-02-23,4,362.57,362.57,481.74,
1998-02-24,4,362.57,,528.42,528.42
1998-02-25,4,362.57,,558.83,558.83
1998-03-08,4,508.96,508.96,558.83,
1998-03-11,4,537.03,537.03,558.83,
1998-03-15,4,537.03,,612.98,612.98
1998-03-17,4,547.84,547.84,612.98,
1998-03-21,4,547.84,,628.14,628.14
1998-03-29,4,585.52,585.52,628.14,
1998-02-15,13,108.84,,129.74,129.74
1998-01-20,22,23.19,23.19,24.44,24.44
1998-01-05,25,2.86,2.86,63.86,
1998-01-06,25,36.25,36.25,63.86,
1998-01-10,34,19.0,19.0,53.94,
1998-01-10,43,38.22,,48.72,48.72
1998-01-14,43,41.57,41.57,48.72,
1998-01-19,43,146.75,,180.31,180.31
1998-01-09,44,42.16,42.16,96.39,
1998-01-21,44,42.16,,157.98,157.98
1998-01-30,44,42.16,,199.78,199.78
1998-02-11,44,42.16,,200.43,200.43
1998-02-18,44,122.26,122.26,200.43,
1998-02-19,44,122.26,,203.06,203.06
1998-02-24,44,153.27,153.27,203.06,
1998-02-28,44,189.4,189.4,203.06,
1998-03-03,44,189.4,,362.06,362.06
1998-03-06,44,220.86,220.86,362.06,
1998-03-09,44,249.74,249.74,362.06,
1998-03-20,44,253.29,253.29,362.06,
1998-03-24,44,253.29,,511.08,511.08
1998-03-25,44,300.46,300.46,511.08,
1998-04-05,44,322.15,322.15,511.08,
1998-04-09,44,388.35,388.35,511.08,
1998-05-11,44,397.58,397.58,511.08,
1998-05-12,44,424.49,424.49,511.08,
1998-05-13,44,433.86,433.86,511.08,
1998-05-18,44,433.86,433.86,556.13,556.13
1998-05-31,44,433.86,,556.8,556.8
1998-06-02,44,445.24,445.24,556.8,
1998-06-05,44,445.24,,685.37,685.37
1998-06-07,44,445.53,445.53,685.37,
1998-06-12,44,505.62,505.62,685.37,
1998-06-17,44,583.04,583.04,685.37,
1998-06-27,44,583.76,583.76,685.37,
1998-07-07,44,650.02,650.02,685.37,
1998-07-08,44,650.75,650.75,685.37,
1998-07-12,44,653.92,653.92,685.37,
1998-07-17,44,671.06,671.06,685.37,
1998-08-02,44,688.58,,736.12,736.12
1998-08-03,44,703.2,703.2,736.12,
1998-01-09,49,31.87,31.87,56.35,
1998-01-11,49,37.06,37.06,56.35,
1998-01-12,49,53.16,53.16,56.35,
1998-01-21,52,19.78,19.78,154.03,154.03
1998-01-27,52,91.03,91.03,154.03,
1998-01-28,52,110.17,110.17,154.03,
1998-01-30,52,112.21,112.21,154.03,
1998-02-13,52,216.55,,341.67,341.67
1998-02-20,52,256.97,256.97,341.67,
1998-02-22,52,271.35,271.35,341.67,
1998-02-26,52,272.69,272.69,341.67,
1998-02-28,52,274.92,274.92,341.67,
1998-03-06,52,274.92,,369.25,369.25
1998-03-11,52,304.06,304.06,369.25,
1998-03-15,52,314.51,314.51,369.25,
1998-03-23,52,345.39,345.39,369.25,
1998-03-31,52,415.03,,439.61,439.61
1998-04-13,52,462.1,,506.66,506.66
1998-01-11,56,2.3,2.3,22.76,
1998-01-12,56,11.72,11.72,22.76,
1998-01-15,56,11.72,,23.87,23.87
1998-02-03,64,4.62,,33.77,33.77
1998-02-13,64,4.62,,116.57,116.57
1998-02-20,64,30.13,30.13,116.57,
1998-02-22,64,42.75,42.75,116.57,
1998-02-25,64,42.75,,116.57,116.57
1998-02-27,64,52.72,52.72,116.57,
1998-03-03,64,95.41,95.41,116.57,
1998-03-15,64,109.98,109.98,123.36,123.36
1998-03-16,64,109.98,109.98,123.36,
1998-03-21,64,117.2,117.2,215.37,215.37
1998-03-27,64,118.79,118.79,215.37,
1998-04-01,64,138.53,138.53,215.37,
1998-04-04,64,143.47,143.47,374.13,374.13
1998-04-14,64,189.42,189.42,374.13,
1998-04-15,64,314.3,314.3,374.13,
1998-04-17,64,330.73,330.73,374.13,
1998-04-26,64,343.4,343.4,374.13,
1998-05-03,64,343.4,,412.4,412.4
1998-05-11,64,343.4,,429.2,429.2
1998-05-16,64,416.69,416.69,429.2,
1998-01-09,68,16.0,,158.71,158.71
1998-01-13,68,16.0,,176.58,176.58
1998-01-22,68,81.45,81.45,176.58,
1998-01-27,68,82.2,82.2,176.58,
1998-01-28,68,95.67,95.67,176.58,
