brand,brand_id,ext_price,i_manufact,i_manufact_id
scholarcorp #2,6005002,71102.13,oughtcally,61
scholarnameless #4,8005004,70694.68,ablen stable,191
edu packedu pack #2,4004002,69031.79,ableableable,222
amalgimporto #2,2001002,68102.37,barbarpri,300
amalgscholar #2,5001002,67632.2,antiantiese,455
edu packscholar #2,8006001,67179.02,ablepriought,132
importomaxi #10,8012010,65613.18,n stpri,39
amalgscholar #2,5001002,65190.3,oughtableeing,821
importoamalgamalg #3,6016007,64166.29,n stprieing,839
exportischolar #2,7004003,63926.32,prieingpri,383
edu packedu pack #2,4004002,61208.71,antin st,346
namelessmaxi #2,9008002,60839.74,callycally,66
amalgimporto #2,2001002,59902.87,prioughtable,213
edu packamalgamalg #8,10014008,59872.29,antieseable,364
importoamalg #2,1002002,59360.99,callyablepri,326
importoimporto #2,2002002,59245.86,antioughtpri,637
amalgimporto #2,2001002,59065.14,callyeseanti,546
amalgimporto #2,4001001,58752.31,pricallypri,318
edu packscholar #2,5004002,58305.46,callyoughtought,173
amalgamalg #2,6007007,58098.48,callyought,16
importomaxi #8,2003001,57911.07,barationese,470
namelessnameless #6,8008006,57907.18,oughtbarought,101
importoamalg #2,1002002,57785.23,ationablepri,327
exportinameless #2,7013002,57168.42,ableableable,222
amalgamalgamalg #4,3003001,56928.75,esen st,94
edu packamalg #2,1004002,56770.88,ationbarpri,307
edu packimporto #2,2004002,56550.83,priese,43
exportiedu pack #2,4003002,56448.71,priableought,123
importoamalg #2,1002002,56216.76,n stcallyought,169
exportiamalg #2,6016005,56155.82,barantiought,150
importonameless #4,9010011,55688.79,ationoughtable,217
importoedu pack #2,4002002,55505.35,oughtoughtpri,311
importoexporti #2,3002002,55261.14,antieingable,285
importoamalg #2,1002002,55227.62,ese,993
amalgmaxi #6,9001006,54940.06,ationprically,637
edu packmaxi #6,8014006,54715.56,ablen stought,192
scholarbrand #2,7005002,54615.78,eingought,164
importonameless #8,2002001,54531.66,priationable,139
importoscholar #2,8008007,54469.32,ableableation,722
amalgmaxi #10,8011010,54003.51,callyationable,65
corpunivamalg #10,9016010,53967.75,eseableought,124
exportiedu pack #2,9004003,53962.87,ationbareing,807
exportischolar #2,5003002,53746.98,oughtese,41
importoscholar #2,5002002,53609.39,pripriought,133
exportiunivamalg #8,9013008,53553.92,ableought,12
amalgexporti #2,3001002,53202.57,ationesen st,947
amalgamalg #2,1001001,53100.31,barableese,420
amalgimporto #2,2001002,53069.34,esen stought,194
exportinameless #8,8003008,53063.12,n stn stought,199
edu packnameless #2,8004002,52938.2,esebaration,704
exportischolar #2,5003002,52826.65,barableought,120
amalgbrand #4,8014009,52786.12,antiantiable,479
edu packmaxi #6,8014006,52549.8,antioughtpri,315
edu packimporto #2,7001009,52393.52,callycallyable,266
corpbrand #2,10005017,52351.96,eseoughtcally,614
corpbrand #6,6016006,52316.38,callyantiought,156
scholarcorp #6,9013005,52236.29,callyablepri,326
namelessbrand #2,7008002,52142.05,oughtoughtable,211
importocorp #4,8014007,51930.51,priantiese,453
edu packunivamalg #8,9014008,51839.75,priationought,173
edu packimporto #2,2004002,51700.52,ationpriought,137
importoexporti #2,3002002,51565.22,ableesepri,342
exportiunivamalg #16,9004009,51551.45,barpripri,28
edu packexporti #2,10016008,51526.44,n stantiable,259
importonameless #10,8002010,51479.02,ation,7
edu packscholar #2,5004002,51472.86,oughtbarpri,301
exportibrand #10,7003010,51407.57,ablecally,62
corpmaxi #6,6006001,51254.04,n stantiese,459
edu packscholar #2,5004002,51222.73,ableoughtanti,512
amalgimporto #2,2001002,51094.71,callyeingation,786
edu packedu pack #2,4004002,50880.24,callyought,16
maxicorp #8,6009008,50859.07,ablepriable,232
importoexporti #2,1004001,50763.94,ationesepri,347
importomaxi #10,3003001,50716.37,barablepri,320
scholarmaxi #2,9005002,50626.41,esepriought,134
exportiimporto #2,8005005,50592.69,n stprically,639
corpbrand #4,7006004,50557.69,bareseanti,540
amalgunivamalg #12,10012001,50304.46,eseeseation,744
importoscholar #2,5002002,50229.63,baroughtcally,610
corpbrand #10,7006010,50214.72,ationcallyese,467
namelessbrand #8,7008008,50175.14,antioughtable,215
exportiexporti #2,3001001,50089.45,n stn stanti,659
importoamalg #2,2002001,50085.1,antieingought,185
amalgscholar #2,10007014,49995.67,callyeing,86
exportiimporto #2,1003001,49763.83,ationcally,67
exportibrand #2,6013002,49578.71,oughtablepri,939
amalgedu pack #2,4001002,49574.53,oughtablepri,191
exportiexporti #2,7014005,49561.92,ationeingese,487
namelessunivamalg #6,10008006,49485.83,barationable,183
edu packexporti #2,2003001,49446.3,n steingeing,889
corpbrand #4,4002001,49422.47,eingation,254
importocorp #2,6002002,49404.16,antioughtable,215
exportimaxi #4,1003001,49374.58,eseoughtought,114
scholarmaxi #2,9005002,49306.19,ableantiable,252
importoscholar #2,5002002,49224.37,barationought,196
scholarnameless #8,9016011,49175.7,eseeing,84
exportischolar #2,3001001,48906.68,antibarable,205
importoimporto #2,7006003,48836.78,prioughtought,246
importoexporti #2,3002002,48782.47,ableeingese,482
importoexporti #2,3002002,48756.6,eingantiought,158
