p_brand,p_size,p_type,supplier_cnt
Brand#21,31,ECONOMY BRUSHED BRASS,603
Brand#41,33,LARGE BURNISHED BRASS,588
Brand#12,33,ECONOMY BURNISHED STEEL,584
Brand#54,36,LARGE BURNISHED STEEL,584
Brand#34,13,SMALL POLISHED BRASS,580
Brand#21,36,PROMO POLISHED TIN,579
Brand#25,33,PROMO BURNISHED NICKEL,579
Brand#54,13,PROMO BRUSHED NICKEL,576
Brand#25,36,ECONOMY POLISHED BRASS,575
Brand#12,36,MEDIUM BURNISHED STEEL,572
Brand#13,33,SMALL BURNISHED COPPER,572
Brand#14,41,SMALL PLATED NICKEL,572
Brand#24,41,PROMO BURNISHED BRASS,572
Brand#51,36,SMALL PLATED STEEL,572
Brand#34,13,STANDARD BURNISHED TIN,571
Brand#15,36,SMALL ANODIZED STEEL,570
Brand#35,31,STANDARD ANODIZED COPPER,568
Brand#21,41,ECONOMY ANODIZED STEEL,565
Brand#34,41,PROMO ANODIZED STEEL,564
Brand#42,13,PROMO BRUSHED STEEL,564
Brand#43,44,SMALL POLISHED TIN,564
Brand#25,46,LARGE ANODIZED STEEL,563
Brand#51,44,ECONOMY PLATED COPPER,563
Brand#54,36,PROMO BRUSHED COPPER,563
Brand#22,13,STANDARD BRUSHED BRASS,560
Brand#41,36,PROMO BRUSHED STEEL,560
Brand#43,44,STANDARD BURNISHED BRASS,560
Brand#12,46,SMALL POLISHED STEEL,556
Brand#22,43,STANDARD ANODIZED TIN,556
Brand#25,43,STANDARD ANODIZED BRASS,556
Brand#42,41,PROMO BURNISHED STEEL,556
Brand#45,41,MEDIUM POLISHED BRASS,556
Brand#35,33,STANDARD POLISHED NICKEL,555
Brand#53,43,LARGE PLATED COPPER,555
Brand#24,31,STANDARD PLATED TIN,553
Brand#12,31,LARGE PLATED TIN,552
Brand#13,31,PROMO BRUSHED TIN,552
Brand#22,46,ECONOMY POLISHED STEEL,552
Brand#22,36,SMALL POLISHED NICKEL,552
Brand#23,43,ECONOMY POLISHED NICKEL,552
Brand#23,13,PROMO ANODIZED NICKEL,552
Brand#43,13,LARGE ANODIZED TIN,552
Brand#22,44,LARGE POLISHED BRASS,551
Brand#43,13,ECONOMY PLATED NICKEL,551
Brand#35,33,STANDARD PLATED TIN,550
Brand#11,43,ECONOMY PLATED STEEL,548
Brand#11,13,STANDARD ANODIZED STEEL,548
Brand#12,31,STANDARD ANODIZED TIN,548
Brand#13,36,MEDIUM ANODIZED NICKEL,548
Brand#21,31,ECONOMY BURNISHED TIN,548
Brand#23,36,SMALL POLISHED BRASS,548
Brand#23,43,STANDARD BRUSHED TIN,548
Brand#31,31,MEDIUM PLATED STEEL,548
Brand#31,31,PROMO PLATED COPPER,548
Brand#31,33,STANDARD POLISHED STEEL,548
Brand#35,43,ECONOMY BURNISHED COPPER,548
Brand#41,33,STANDARD BRUSHED TIN,548
Brand#43,33,PROMO POLISHED TIN,548
Brand#45,46,MEDIUM PLATED STEEL,548
Brand#52,31,LARGE ANODIZED TIN,548
Brand#54,13,STANDARD POLISHED TIN,548
Brand#12,43,SMALL ANODIZED TIN,547
Brand#14,46,PROMO BURNISHED TIN,547
Brand#25,31,ECONOMY BRUSHED NICKEL,547
Brand#41,44,MEDIUM POLISHED COPPER,547
Brand#52,31,MEDIUM ANODIZED TIN,547
Brand#53,33,LARGE PLATED STEEL,547
Brand#42,41,MEDIUM BURNISHED NICKEL,545
Brand#12,41,STANDARD POLISHED BRASS,544
Brand#13,44,MEDIUM BRUSHED BRASS,544
Brand#13,46,SMALL POLISHED STEEL,544
Brand#14,13,LARGE POLISHED TIN,544
Brand#14,46,PROMO POLISHED NICKEL,544
Brand#21,46,SMALL ANODIZED TIN,544
Brand#21,31,SMALL BURNISHED TIN,544
Brand#22,46,ECONOMY BRUSHED BRASS,544
Brand#22,36,MEDIUM BRUSHED NICKEL,544
Brand#23,44,PROMO POLISHED COPPER,544
Brand#31,41,ECONOMY POLISHED STEEL,544
Brand#33,44,STANDARD POLISHED BRASS,544
Brand#35,41,STANDARD BRUSHED STEEL,544
Brand#44,43,ECONOMY BURNISHED NICKEL,544
Brand#44,46,STANDARD BRUSHED COPPER,544
Brand#51,33,SMALL BRUSHED STEEL,544
Brand#52,33,LARGE BURNISHED BRASS,544
Brand#55,44,STANDARD ANODIZED TIN,544
Brand#14,36,PROMO PLATED STEEL,543
Brand#31,13,STANDARD BURNISHED TIN,543
Brand#35,31,MEDIUM BURNISHED STEEL,543
Brand#35,44,PROMO POLISHED STEEL,543
Brand#51,31,SMALL BRUSHED TIN,543
Brand#33,44,MEDIUM POLISHED STEEL,542
Brand#35,33,ECONOMY BURNISHED COPPER,542
Brand#11,13,SMALL BURNISHED STEEL,540
Brand#13,41,SMALL BURNISHED BRASS,540
Brand#13,43,SMALL PLATED STEEL,540
Brand#13,13,STANDARD BRUSHED TIN,540
Brand#14,36,PROMO BURNISHED BRASS,540
Brand#21,44,MEDIUM ANODIZED NICKEL,540
Brand#22,31,SMALL BRUSHED COPPER,540
Brand#23,36,ECONOMY ANODIZED COPPER,540
Brand#23,31,LARGE ANODIZED COPPER,540
Brand#23,36,STANDARD PLATED COPPER,540
Brand#25,31,LARGE BURNISHED NICKEL,540
Brand#31,43,LARGE ANODIZED BRASS,540
Brand#31,41,LARGE PLATED NICKEL,540
Brand#31,44,STANDARD BURNISHED NICKEL,540
Brand#33,36,ECONOMY POLISHED STEEL,540
Brand#33,13,MEDIUM ANODIZED STEEL,540
Brand#34,33,MEDIUM ANODIZED COPPER,540
Brand#42,31,ECONOMY POLISHED TIN,540
Brand#42,46,SMALL BRUSHED TIN,540
Brand#44,13,PROMO POLISHED TIN,540
Brand#45,36,ECONOMY BURNISHED COPPER,540
Brand#45,41,ECONOMY PLATED NICKEL,540
Brand#45,13,LARGE ANODIZED TIN,540
Brand#51,46,LARGE PLATED TIN,540
Brand#54,43,PROMO ANODIZED STEEL,540
Brand#55,13,SMALL ANODIZED STEEL,540
Brand#55,44,STANDARD POLISHED NICKEL,540
Brand#15,44,ECONOMY PLATED TIN,539
Brand#23,13,STANDARD BRUSHED NICKEL,539
Brand#25,46,LARGE BURNISHED BRASS,539
Brand#34,31,LARGE ANODIZED NICKEL,539
Brand#44,31,ECONOMY BURNISHED COPPER,539
Brand#51,41,MEDIUM POLISHED BRASS,539
Brand#53,41,MEDIUM POLISHED TIN,539
Brand#24,44,SMALL BURNISHED NICKEL,538
Brand#33,13,SMALL ANODIZED TIN,538
Brand#55,44,STANDARD POLISHED TIN,538
Brand#11,46,LARGE PLATED STEEL,536
Brand#12,41,MEDIUM POLISHED COPPER,536
Brand#13,44,LARGE POLISHED TIN,536
Brand#14,36,LARGE PLATED BRASS,536
Brand#14,41,SMALL POLISHED COPPER,536
Brand#15,43,MEDIUM ANODIZED STEEL,536
Brand#21,31,LARGE BURNISHED STEEL,536
Brand#21,41,SMALL BRUSHED BRASS,536
Brand#23,41,LARGE PLATED TIN,536
Brand#24,13,PROMO BURNISHED STEEL,536
Brand#24,13,SMALL BURNISHED STEEL,536
Brand#31,43,ECONOMY PLATED BRASS,536
Brand#35,43,ECONOMY BRUSHED NICKEL,536
Brand#35,33,MEDIUM BURNISHED BRASS,536
Brand#41,13,ECONOMY PLATED BRASS,536
Brand#42,43,PROMO BRUSHED TIN,536
Brand#42,36,SMALL PLATED NICKEL,536
Brand#42,36,STANDARD BURNISHED COPPER,536
Brand#43,33,PROMO PLATED NICKEL,536
Brand#44,33,MEDIUM BURNISHED NICKEL,536
Brand#44,33,MEDIUM PLATED TIN,536
Brand#45,41,LARGE ANODIZED STEEL,536
Brand#52,46,ECONOMY BRUSHED BRASS,536
Brand#52,43,LARGE POLISHED BRASS,536
Brand#53,43,PROMO BRUSHED COPPER,536
Brand#54,36,STANDARD PLATED COPPER,536
Brand#55,36,MEDIUM BRUSHED STEEL,536
Brand#12,44,ECONOMY ANODIZED STEEL,535
Brand#35,46,PROMO ANODIZED COPPER,535
Brand#42,43,PROMO POLISHED COPPER,535
Brand#44,41,LARGE ANODIZED BRASS,535
Brand#45,13,ECONOMY PLATED STEEL,535
Brand#52,31,PROMO POLISHED COPPER,535
Brand#55,46,STANDARD BRUSHED STEEL,535
Brand#11,46,SMALL PLATED COPPER,532
Brand#12,44,MEDIUM BRUSHED STEEL,532
Brand#13,36,STANDARD BURNISHED COPPER,532
Brand#13,41,STANDARD BURNISHED COPPER,532
Brand#13,36,STANDARD PLATED TIN,532
Brand#15,13,LARGE POLISHED BRASS,532
Brand#15,36,SMALL PLATED NICKEL,532
Brand#21,31,MEDIUM BURNISHED NICKEL,532
Brand#21,31,MEDIUM PLATED BRASS,532
Brand#22,31,SMALL ANODIZED STEEL,532
Brand#22,33,STANDARD PLATED STEEL,532
Brand#23,33,ECONOMY PLATED TIN,532
Brand#24,36,ECONOMY ANODIZED STEEL,532
Brand#24,36,SMALL BURNISHED NICKEL,532
Brand#24,46,SMALL POLISHED NICKEL,532
Brand#25,31,ECONOMY BURNISHED NICKEL,532
Brand#33,41,ECONOMY ANODIZED TIN,532
Brand#33,44,LARGE BURNISHED COPPER,532
Brand#33,44,PROMO POLISHED STEEL,532
Brand#33,36,STANDARD BRUSHED TIN,532
Brand#33,31,STANDARD POLISHED NICKEL,532
Brand#35,43,ECONOMY PLATED TIN,532
Brand#35,43,STANDARD BURNISHED STEEL,532
Brand#41,41,PROMO ANODIZED STEEL,532
Brand#42,33,ECONOMY BRUSHED TIN,532
Brand#42,13,STANDARD BURNISHED STEEL,532
Brand#43,33,MEDIUM PLATED BRASS,532
Brand#45,44,ECONOMY POLISHED TIN,532
Brand#45,43,LARGE PLATED BRASS,532
Brand#45,44,MEDIUM ANODIZED NICKEL,532
Brand#45,33,MEDIUM POLISHED COPPER,532
Brand#51,44,LARGE POLISHED COPPER,532
Brand#51,33,SMALL POLISHED TIN,532
Brand#51,13,STANDARD BRUSHED TIN,532
Brand#52,36,ECONOMY BURNISHED TIN,532
Brand#53,46,MEDIUM BRUSHED STEEL,532
Brand#12,31,ECONOMY BURNISHED STEEL,531
Brand#13,44,ECONOMY ANODIZED NICKEL,531
Brand#14,33,ECONOMY POLISHED BRASS,531
Brand#25,33,ECONOMY ANODIZED NICKEL,531
Brand#31,46,STANDARD POLISHED TIN,531
Brand#34,46,MEDIUM PLATED TIN,531
Brand#42,31,SMALL BURNISHED TIN,531
Brand#44,36,STANDARD BRUSHED TIN,531
Brand#21,13,PROMO BRUSHED COPPER,530
Brand#33,43,LARGE POLISHED STEEL,530
Brand#42,36,STANDARD POLISHED NICKEL,530
Brand#44,31,STANDARD BRUSHED BRASS,530
Brand#11,41,SMALL BRUSHED STEEL,528
Brand#12,31,ECONOMY PLATED STEEL,528
Brand#12,36,SMALL ANODIZED STEEL,528
Brand#14,44,ECONOMY POLISHED NICKEL,528
Brand#14,13,SMALL POLISHED BRASS,528
Brand#14,36,STANDARD BRUSHED TIN,528
Brand#15,46,SMALL ANODIZED COPPER,528
Brand#15,13,STANDARD POLISHED BRASS,528
Brand#21,46,MEDIUM POLISHED STEEL,528
Brand#21,31,PROMO BRUSHED TIN,528
Brand#22,31,ECONOMY ANODIZED STEEL,528
Brand#22,43,ECONOMY ANODIZED TIN,528
Brand#22,44,ECONOMY BRUSHED TIN,528
Brand#23,13,ECONOMY POLISHED TIN,528
Brand#25,33,MEDIUM BURNISHED BRASS,528
Brand#31,36,MEDIUM POLISHED COPPER,528
Brand#33,44,ECONOMY POLISHED STEEL,528
Brand#33,31,PROMO PLATED COPPER,528
Brand#33,33,SMALL ANODIZED BRASS,528
Brand#34,44,ECONOMY POLISHED STEEL,528
Brand#34,31,STANDARD BURNISHED STEEL,528
Brand#35,31,STANDARD BRUSHED COPPER,528
Brand#41,46,SMALL BURNISHED COPPER,528
Brand#41,44,STANDARD PLATED NICKEL,528
Brand#42,36,SMALL PLATED TIN,528
Brand#42,33,SMALL POLISHED STEEL,528
Brand#42,44,STANDARD PLATED STEEL,528
Brand#43,43,ECONOMY PLATED TIN,528
Brand#51,36,LARGE ANODIZED TIN,528
Brand#51,41,PROMO BRUSHED BRASS,528
Brand#52,13,ECONOMY BRUSHED BRASS,528
Brand#52,33,PROMO BRUSHED BRASS,528
Brand#52,13,SMALL BRUSHED STEEL,528
Brand#52,31,SMALL PLATED BRASS,528
