nation,o_year,sum_profit
ALGERIA,1998.0,8204670424.0571
ALGERIA,1997.0,13980755589.145
ALGERIA,1996.0,14018818869.9326
ALGERIA,1995.0,13951796158.6691
ALGERIA,1994.0,13968456582.5532
ALGERIA,1993.0,13935301209.017
ALGERIA,1992.0,13989178655.354
ARGENTINA,1998.0,8193102045.6579
ARGENTINA,1997.0,13969308120.1857
ARGENTINA,1996.0,14050122081.1681
ARGENTINA,1995.0,13934280281.0336
ARGENTINA,1994.0,13988281280.7572
ARGENTINA,1993.0,14041904319.7228
ARGENTINA,1992.0,14011083113.3435
BRAZIL,1998.0,8186482001.5661
BRAZIL,1997.0,13987450027.4768
BRAZIL,1996.0,14032563490.1745
BRAZIL,1995.0,13973693159.142
BRAZIL,1994.0,13957881797.0936
BRAZIL,1993.0,14005745463.3029
BRAZIL,1992.0,14038048027.087
CANADA,1998.0,8251146902.3061
CANADA,1997.0,14045112426.5282
CANADA,1996.0,14068578853.1702
CANADA,1995.0,14004139630.0237
CANADA,1994.0,13997122002.9834
CANADA,1993.0,14050877283.3815
CANADA,1992.0,14099282989.6092
CHINA,1998.0,8218965431.2663
CHINA,1997.0,13989026534.406
CHINA,1996.0,14086438929.0057
CHINA,1995.0,14018613810.084
CHINA,1994.0,13936318413.4831
CHINA,1993.0,13992395647.6469
CHINA,1992.0,14052305087.7674
EGYPT,1998.0,8201955799.2429
EGYPT,1997.0,14000999026.3194
EGYPT,1996.0,14083477397.717
EGYPT,1995.0,14033747065.4806
EGYPT,1994.0,13998568270.5754
EGYPT,1993.0,14023627334.1729
EGYPT,1992.0,14073032065.9033
ETHIOPIA,1998.0,8248132506.8065
ETHIOPIA,1997.0,14013008552.0317
ETHIOPIA,1996.0,14058005750.3462
ETHIOPIA,1995.0,14056453777.1772
ETHIOPIA,1994.0,14012168649.0005
ETHIOPIA,1993.0,14043915709.9619
ETHIOPIA,1992.0,14033604985.1996
FRANCE,1998.0,8236677878.2541
FRANCE,1997.0,14064423239.7302
FRANCE,1996.0,14039470095.7728
FRANCE,1995.0,14051109631.6294
FRANCE,1994.0,14015533897.0451
FRANCE,1993.0,14038053743.186
FRANCE,1992.0,14072055263.5441
GERMANY,1998.0,8244802162.8636
GERMANY,1997.0,14055344289.208
GERMANY,1996.0,14062146612.1698
GERMANY,1995.0,13995771100.1426
GERMANY,1994.0,14020974277.5048
GERMANY,1993.0,14027811811.8522
GERMANY,1992.0,14112678369.5101
INDIA,1998.0,8211145454.5463
INDIA,1997.0,14045199229.2211
INDIA,1996.0,14114864108.123
INDIA,1995.0,14051798714.6178
INDIA,1994.0,14053955151.7012
INDIA,1993.0,14029265339.4399
INDIA,1992.0,14066987764.7315
INDONESIA,1998.0,8205184386.0604
INDONESIA,1997.0,13986737840.0177
INDONESIA,1996.0,14023386548.8548
INDONESIA,1995.0,14000458229.7522
INDONESIA,1994.0,13976575768.0933
INDONESIA,1993.0,13999121623.3547
INDONESIA,1992.0,13990783818.6201
IRAN,1998.0,8200117926.9848
IRAN,1997.0,13975103060.7302
IRAN,1996.0,13976887569.2174
IRAN,1995.0,13969639351.9372
IRAN,1994.0,13954642419.0918
IRAN,1993.0,13970631777.5144
IRAN,1992.0,14059718090.9259
IRAQ,1998.0,8206914423.7597
IRAQ,1997.0,13984060380.7648
IRAQ,1996.0,14009329034.1842
IRAQ,1995.0,13980742291.4572
IRAQ,1994.0,13987234957.7043
IRAQ,1993.0,13939588144.59
IRAQ,1992.0,14016559682.7254
JAPAN,1998.0,8139050231.0558
JAPAN,1997.0,13864711884.3556
JAPAN,1996.0,13919920526.9354
JAPAN,1995.0,13880054454.5729
JAPAN,1994.0,13885863014.8173
JAPAN,1993.0,13882129776.7608
JAPAN,1992.0,13916553498.7891
JORDAN,1998.0,8188782947.0509
JORDAN,1997.0,13941411472.9115
JORDAN,1996.0,13953863441.3698
JORDAN,1995.0,13959253883.4189
JORDAN,1994.0,13953402436.7138
JORDAN,1993.0,13939047801.1324
JORDAN,1992.0,13992508335.7525
KENYA,1998.0,8143279222.3524
KENYA,1997.0,13881933697.4429
KENYA,1996.0,13956714261.8573
KENYA,1995.0,13922099550.5629
KENYA,1994.0,13964252579.8308
KENYA,1993.0,13937151947.2209
KENYA,1992.0,13925890958.4445
MOROCCO,1998.0,8211188313.9288
MOROCCO,1997.0,14031790721.7861
MOROCCO,1996.0,14025726847.5981
MOROCCO,1995.0,13976045699.572
MOROCCO,1994.0,14021384590.1943
MOROCCO,1993.0,14047946904.835
MOROCCO,1992.0,14042722642.4948
MOZAMBIQUE,1998.0,8208632690.5754
MOZAMBIQUE,1997.0,13947552201.4005
MOZAMBIQUE,1996.0,14055358310.3965
MOZAMBIQUE,1995.0,13945373063.5578
MOZAMBIQUE,1994.0,13981702688.2036
MOZAMBIQUE,1993.0,13972075960.2384
MOZAMBIQUE,1992.0,14016218178.4302
PERU,1998.0,8187674137.1406
PERU,1997.0,14009879104.7448
PERU,1996.0,13976352037.9009
PERU,1995.0,13929749912.8638
PERU,1994.0,13979605112.4705
PERU,1993.0,13955608587.5019
PERU,1992.0,14000161508.213
ROMANIA,1998.0,8216705904.3706
ROMANIA,1997.0,14039556644.4883
ROMANIA,1996.0,14064384115.8034
ROMANIA,1995.0,14069915185.5855
ROMANIA,1994.0,14020041907.0461
ROMANIA,1993.0,14032638286.0045
ROMANIA,1992.0,14096541594.8835
RUSSIA,1998.0,8156013098.9098
RUSSIA,1997.0,13974290236.8391
RUSSIA,1996.0,13970319650.7125
RUSSIA,1995.0,13941369004.6204
RUSSIA,1994.0,13922202156.7264
RUSSIA,1993.0,13971103836.6041
RUSSIA,1992.0,13947161814.2919
SAUDI ARABIA,1998.0,8225498747.7356
SAUDI ARABIA,1997.0,14090621263.9792
SAUDI ARABIA,1996.0,14122666522.1621
SAUDI ARABIA,1995.0,14019473634.323
SAUDI ARABIA,1994.0,14052989415.1168
SAUDI ARABIA,1993.0,14067215640.7398
SAUDI ARABIA,1992.0,14048786411.0396
UNITED KINGDOM,1998.0,8237508762.9296
UNITED KINGDOM,1997.0,14062059546.0353
UNITED KINGDOM,1996.0,14144412588.6952
UNITED KINGDOM,1995.0,14080589105.4347
UNITED KINGDOM,1994.0,14102681071.105
UNITED KINGDOM,1993.0,14117216165.3142
UNITED KINGDOM,1992.0,14109484755.3404
UNITED STATES,1998.0,8214532228.8804
UNITED STATES,1997.0,13976825020.3917
UNITED STATES,1996.0,14005728835.8447
UNITED STATES,1995.0,13967869520.7465
UNITED STATES,1994.0,13988804015.094
UNITED STATES,1993.0,14007661539.9103
UNITED STATES,1992.0,14029495539.3443
VIETNAM,1998.0,8222331106.2119
VIETNAM,1997.0,14052197301.1378
VIETNAM,1996.0,14059165784.6156
VIETNAM,1995.0,13986615321.1506
VIETNAM,1994.0,13998649551.3785
VIETNAM,1993.0,14026151943.3295
VIETNAM,1992.0,14038588531.0994
