p_brand,p_size,p_type,supplier_cnt
Brand#34,44,MEDIUM POLISHED COPPER,4785
Brand#41,33,PROMO ANODIZED STEEL,4754
Brand#51,36,MEDIUM ANODIZED TIN,4754
Brand#43,44,STANDARD BRUSHED STEEL,4716
Brand#34,13,SMALL POLISHED BRASS,4711
Brand#14,41,SMALL PLATED NICKEL,4709
Brand#54,44,STANDARD POLISHED STEEL,4708
Brand#43,13,LARGE POLISHED NICKEL,4706
Brand#41,41,MEDIUM ANODIZED TIN,4700
Brand#45,43,STANDARD BURNISHED STEEL,4698
Brand#11,13,MEDIUM BRUSHED BRASS,4696
Brand#15,41,MEDIUM ANODIZED BRASS,4695
Brand#21,31,MEDIUM PLATED BRASS,4691
Brand#15,44,SMALL PLATED BRASS,4685
Brand#54,41,LARGE PLATED STEEL,4683
Brand#45,31,STANDARD BRUSHED STEEL,4681
Brand#43,31,STANDARD PLATED COPPER,4679
Brand#44,44,MEDIUM PLATED COPPER,4679
Brand#23,36,MEDIUM BRUSHED TIN,4675
Brand#51,43,SMALL PLATED STEEL,4674
Brand#54,46,STANDARD BRUSHED BRASS,4673
Brand#41,43,ECONOMY POLISHED TIN,4672
Brand#34,44,MEDIUM BRUSHED COPPER,4670
Brand#22,36,PROMO ANODIZED COPPER,4666
Brand#52,43,LARGE BURNISHED COPPER,4664
Brand#43,44,ECONOMY BRUSHED TIN,4663
Brand#13,44,SMALL BURNISHED NICKEL,4661
Brand#43,33,ECONOMY BURNISHED COPPER,4659
Brand#45,13,STANDARD PLATED STEEL,4659
Brand#53,43,PROMO BRUSHED COPPER,4658
Brand#42,46,LARGE POLISHED BRASS,4657
Brand#53,44,STANDARD ANODIZED STEEL,4657
Brand#25,31,MEDIUM PLATED COPPER,4655
Brand#15,33,ECONOMY POLISHED STEEL,4653
Brand#15,46,PROMO BURNISHED TIN,4646
Brand#51,31,SMALL ANODIZED BRASS,4644
Brand#13,36,LARGE PLATED TIN,4643
Brand#22,44,ECONOMY BRUSHED TIN,4643
Brand#53,44,PROMO POLISHED TIN,4643
Brand#24,33,PROMO BRUSHED BRASS,4642
Brand#33,43,ECONOMY ANODIZED TIN,4642
Brand#14,31,PROMO POLISHED TIN,4641
Brand#34,13,SMALL BURNISHED STEEL,4641
Brand#11,41,STANDARD BURNISHED TIN,4640
Brand#33,43,STANDARD ANODIZED BRASS,4640
Brand#13,31,ECONOMY BRUSHED BRASS,4639
Brand#25,43,MEDIUM POLISHED NICKEL,4639
