nation,o_year,sum_profit
ALGERIA,1998.0,27367573603.4444
ALGERIA,1997.0,46703300325.3605
ALGERIA,1996.0,46743337889.7195
ALGERIA,1995.0,46609056362.1795
ALGERIA,1994.0,46601243183.0727
ALGERIA,1993.0,46620710706.6475
ALGERIA,1992.0,46789794865.9194
ARGENTINA,1998.0,27240736324.1674
ARGENTINA,1997.0,46466126759.3021
ARGENTINA,1996.0,46706294740.4328
ARGENTINA,1995.0,46477831117.7288
ARGENTINA,1994.0,46600341949.0335
ARGENTINA,1993.0,46538949029.7671
ARGENTINA,1992.0,46608356739.3612
BRAZIL,1998.0,27272111333.3837
BRAZIL,1997.0,46501988683.4477
BRAZIL,1996.0,46573231701.6298
BRAZIL,1995.0,46494769155.4623
BRAZIL,1994.0,46415871709.6695
BRAZIL,1993.0,46455960049.5099
BRAZIL,1992.0,46578249089.5534
CANADA,1998.0,27520123749.2205
CANADA,1997.0,46894096762.0803
CANADA,1996.0,47127635666.6292
CANADA,1995.0,46880924624.0433
CANADA,1994.0,46898106903.4354
CANADA,1993.0,46956028170.7904
CANADA,1992.0,47001996520.4284
CHINA,1998.0,27362985661.0475
CHINA,1997.0,46709130559.7508
CHINA,1996.0,46769008654.7648
CHINA,1995.0,46616049342.7165
CHINA,1994.0,46614806345.2852
CHINA,1993.0,46668291768.2431
CHINA,1992.0,46735142590.3557
EGYPT,1998.0,27478342744.81
EGYPT,1997.0,46814694079.1608
EGYPT,1996.0,46934296722.1393
EGYPT,1995.0,46813383178.1152
EGYPT,1994.0,46791732089.3488
EGYPT,1993.0,46868902550.9241
EGYPT,1992.0,46977031493.5998
ETHIOPIA,1998.0,27348104208.2585
ETHIOPIA,1997.0,46570412592.4011
ETHIOPIA,1996.0,46770198993.3606
ETHIOPIA,1995.0,46631527135.9196
ETHIOPIA,1994.0,46592997214.4745
ETHIOPIA,1993.0,46614472463.1991
ETHIOPIA,1992.0,46762592378.5715
FRANCE,1998.0,27212064459.013
FRANCE,1997.0,46542437423.9233
FRANCE,1996.0,46654502853.4214
FRANCE,1995.0,46579216140.1658
FRANCE,1994.0,46529014981.7486
FRANCE,1993.0,46526913617.652
FRANCE,1992.0,46601944477.4189
GERMANY,1998.0,27272437162.8439
GERMANY,1997.0,46526835043.7344
GERMANY,1996.0,46703299914.3149
GERMANY,1995.0,46533666091.2179
GERMANY,1994.0,46493735514.0358
GERMANY,1993.0,46502537407.0134
GERMANY,1992.0,46615320600.3775
INDIA,1998.0,27324029062.8344
INDIA,1997.0,46577781203.4433
INDIA,1996.0,46652109126.1869
INDIA,1995.0,46587210430.0573
INDIA,1994.0,46564838499.6065
INDIA,1993.0,46570799742.486
INDIA,1992.0,46695164727.3237
INDONESIA,1998.0,27367010851.1083
INDONESIA,1997.0,46633352918.8676
INDONESIA,1996.0,46743551082.1847
INDONESIA,1995.0,46577794661.9096
INDONESIA,1994.0,46660010206.3116
INDONESIA,1993.0,46662949961.052
INDONESIA,1992.0,46717486323.6011
IRAN,1998.0,27363859460.7361
IRAN,1997.0,46713774634.2707
IRAN,1996.0,46798834311.3474
IRAN,1995.0,46704722709.0333
IRAN,1994.0,46716995821.6439
IRAN,1993.0,46691061001.5708
IRAN,1992.0,46797265288.0624
IRAQ,1998.0,27381296588.7868
IRAQ,1997.0,46685357976.9938
IRAQ,1996.0,46862535910.7455
IRAQ,1995.0,46678874356.8639
IRAQ,1994.0,46791674902.4894
IRAQ,1993.0,46776637513.273
IRAQ,1992.0,46847140543.7274
JAPAN,1998.0,27274020128.6544
JAPAN,1997.0,46450279851.8376
JAPAN,1996.0,46715260763.0193
JAPAN,1995.0,46494079281.8392
JAPAN,1994.0,46473506285.3832
JAPAN,1993.0,46494136948.9646
JAPAN,1992.0,46663571634.7955
JORDAN,1998.0,27334148958.9782
JORDAN,1997.0,46619460802.9319
JORDAN,1996.0,46692797635.3079
JORDAN,1995.0,46663647966.7918
JORDAN,1994.0,46599894523.0621
JORDAN,1993.0,46633796892.6946
JORDAN,1992.0,46745268276.0606
KENYA,1998.0,27303098673.5627
KENYA,1997.0,46559551740.1853
KENYA,1996.0,46652468211.8458
KENYA,1995.0,46582837624.0725
KENYA,1994.0,46550890080.2703
KENYA,1993.0,46549542611.9984
KENYA,1992.0,46634482470.2267
MOROCCO,1998.0,27434189039.8555
MOROCCO,1997.0,46714892824.2527
MOROCCO,1996.0,46834973714.6759
MOROCCO,1995.0,46745538062.8615
MOROCCO,1994.0,46681602451.7785
MOROCCO,1993.0,46648420555.7453
MOROCCO,1992.0,46918577322.0794
MOZAMBIQUE,1998.0,27396369269.3399
MOZAMBIQUE,1997.0,46817199690.9399
MOZAMBIQUE,1996.0,46966343957.9286
MOZAMBIQUE,1995.0,46730963340.9462
MOZAMBIQUE,1994.0,46713803364.0777
MOZAMBIQUE,1993.0,46763983319.196
MOZAMBIQUE,1992.0,46861780303.4209
PERU,1998.0,27363969535.092
PERU,1997.0,46661594198.6594
PERU,1996.0,46815895442.7781
PERU,1995.0,46710184758.456
PERU,1994.0,46630270721.5098
PERU,1993.0,46637130302.0194
PERU,1992.0,46836684390.3026
ROMANIA,1998.0,27318335271.4733
ROMANIA,1997.0,46649070997.0042
ROMANIA,1996.0,46776269520.0488
ROMANIA,1995.0,46684733765.0682
ROMANIA,1994.0,46654813153.3709
ROMANIA,1993.0,46635739771.0494
ROMANIA,1992.0,46724913696.9939
RUSSIA,1998.0,27341220442.1346
RUSSIA,1997.0,46699454452.2372
RUSSIA,1996.0,46781738590.9431
RUSSIA,1995.0,46687037394.0275
RUSSIA,1994.0,46645333051.2732
RUSSIA,1993.0,46693885004.1063
RUSSIA,1992.0,46823619512.8502
SAUDI ARABIA,1998.0,27431205088.768
SAUDI ARABIA,1997.0,46704667031.3138
SAUDI ARABIA,1996.0,46899160341.0662
SAUDI ARABIA,1995.0,46827156368.6664
SAUDI ARABIA,1994.0,46777513926.121
SAUDI ARABIA,1993.0,46828666421.2261
SAUDI ARABIA,1992.0,46887493261.8507
UNITED KINGDOM,1998.0,27331206782.6664
UNITED KINGDOM,1997.0,46667288396.9133
UNITED KINGDOM,1996.0,46735815561.935
UNITED KINGDOM,1995.0,46621102125.517
UNITED KINGDOM,1994.0,46675925942.0256
UNITED KINGDOM,1993.0,46661712047.0907
UNITED KINGDOM,1992.0,46816158384.6467
UNITED STATES,1998.0,27375298465.5682
UNITED STATES,1997.0,46717789868.598
UNITED STATES,1996.0,46789830190.1348
UNITED STATES,1995.0,46741568413.4184
UNITED STATES,1994.0,46648912051.5519
UNITED STATES,1993.0,46667817336.1652
UNITED STATES,1992.0,46786647356.1152
VIETNAM,1998.0,27343239468.1568
VIETNAM,1997.0,46764924212.3766
VIETNAM,1996.0,46757506499.8169
VIETNAM,1995.0,46714880031.3525
VIETNAM,1994.0,46654690572.1205
VIETNAM,1993.0,46692245668.6258
VIETNAM,1992.0,46796450961.2436
