cd_credit_rating,cd_dep_college_count,cd_dep_count,cd_dep_employed_count,cd_education_status,cd_gender,cd_marital_status,cd_purchase_estimate,cnt1,cnt2,cnt3,cnt4,cnt5,cnt6
High Risk,6,3,0,2 yr Degree,F,D,500,1,1,1,1,1,1
Unknown,6,4,5,2 yr Degree,F,D,500,1,1,1,1,1,1
Good,6,3,4,2 yr Degree,F,D,1000,1,1,1,1,1,1
Good,1,6,5,2 yr Degree,F,D,1000,1,1,1,1,1,1
Unknown,6,1,0,2 yr Degree,F,D,1500,1,1,1,1,1,1
High Risk,2,1,6,2 yr Degree,F,D,2000,1,1,1,1,1,1
Low Risk,6,4,1,2 yr Degree,F,D,2000,1,1,1,1,1,1
High Risk,6,4,2,2 yr Degree,F,D,2500,1,1,1,1,1,1
Good,5,0,6,2 yr Degree,F,D,3000,1,1,1,1,1,1
Good,2,5,2,2 yr Degree,F,D,3000,1,1,1,1,1,1
Low Risk,5,3,4,2 yr Degree,F,D,3000,1,1,1,1,1,1
Unknown,3,4,2,2 yr Degree,F,D,3500,1,1,1,1,1,1
Good,5,5,6,2 yr Degree,F,D,4000,1,1,1,1,1,1
Good,2,6,2,2 yr Degree,F,D,4000,1,1,1,1,1,1
High Risk,5,1,2,2 yr Degree,F,D,4000,1,1,1,1,1,1
High Risk,6,1,0,2 yr Degree,F,D,4500,1,1,1,1,1,1
Low Risk,4,0,1,2 yr Degree,F,D,4500,1,1,1,1,1,1
Unknown,6,4,5,2 yr Degree,F,D,4500,1,1,1,1,1,1
High Risk,2,0,0,2 yr Degree,F,D,5000,1,1,1,1,1,1
High Risk,2,2,0,2 yr Degree,F,D,5000,1,1,1,1,1,1
High Risk,2,5,6,2 yr Degree,F,D,5500,1,1,1,1,1,1
Low Risk,1,4,5,2 yr Degree,F,D,5500,1,1,1,1,1,1
Unknown,1,5,3,2 yr Degree,F,D,5500,1,1,1,1,1,1
Good,5,1,5,2 yr Degree,F,D,6000,1,1,1,1,1,1
