i_manufact_id,total_sales
917,589543.83
936,599994.97
888,637582.18
988,643981.45
847,670992.56
671,681988.77
814,683098.7
728,704060.63
702,704879.16
873,713168.92
891,723704.47
849,727162.56
762,741806.8
880,742252.23
826,742366.95
1000,747478.52
675,755283.54
856,768912.87
811,778404.26
674,780219.6
720,785799.78
725,790838.26
994,793707.02
734,794980.82
894,797612.25
763,799877.09
918,799920.61
904,805092.52
866,809933.41
768,814265.24
825,815249.12
992,816774.3
716,819986.17
862,824700.27
673,825152.51
691,828073.92
846,828166.62
706,829797.11
943,830211.05
980,833185.92
839,834919.29
969,835434.43
903,837449.27
680,849108.23
970,849456.93
816,851998.54
689,852192.06
668,853863.58
857,859484.34
899,860396.54
844,860949.01
742,861223.06
840,862729.76
790,864639.29
748,864990.85
885,865691.68
998,866374.58
700,876263.0
767,881146.33
962,882558.46
715,885711.27
935,887164.06
681,888070.75
809,889717.18
730,893213.1
852,894713.19
882,897161.64
669,903181.96
749,906027.02
993,906185.33
956,907059.35
777,909593.86
986,912066.59
786,913787.65
920,913935.15
940,919575.67
838,920286.74
693,921670.2
772,924871.68
928,927436.82
886,927945.56
726,928831.88
780,929076.75
961,930602.46
863,931383.0
779,931414.0
736,932821.81
964,935816.0
701,936336.96
770,939174.62
824,941812.0
981,941977.61
751,943434.61
760,948885.12
788,950812.41
834,956114.8
963,956949.97
750,961511.93
836,961763.97
983,962492.95
