channel,id,profit,returns,sales
catalog channel,catalog_pageAAAAAAAAAAABAAAA,-1575.73,2728.93,0.0
catalog channel,catalog_pageAAAAAAAAAAACAAAA,-388456.72,615.0,3430077.78
catalog channel,catalog_pageAAAAAAAAAABCAAAA,-252009.61,0.0,1594938.53
catalog channel,catalog_pageAAAAAAAAAAFBAAAA,-171.77,91.26,0.0
catalog channel,catalog_pageAAAAAAAAAAGBAAAA,-1636.06,3322.98,0.0
catalog channel,catalog_pageAAAAAAAAAALBAAAA,-136819.69,223972.3,0.0
catalog channel,catalog_pageAAAAAAAAAAMBAAAA,-643947.41,35596.95,5187407.04
catalog channel,catalog_pageAAAAAAAAAANBAAAA,-16784.95,22736.92,0.0
catalog channel,catalog_pageAAAAAAAAAAOAAAAA,-19222.45,26092.57,0.0
catalog channel,catalog_pageAAAAAAAAAAOBAAAA,-14987.48,20533.52,0.0
catalog channel,catalog_pageAAAAAAAAAAPBAAAA,-2929.09,6267.32,0.0
catalog channel,catalog_pageAAAAAAAAABABAAAA,-4536.92,7593.8,0.0
catalog channel,catalog_pageAAAAAAAAABACAAAA,-398532.45,8359.19,3083340.18
catalog channel,catalog_pageAAAAAAAAABLBAAAA,-181523.96,290797.73,0.0
catalog channel,catalog_pageAAAAAAAAABMBAAAA,-515971.6,25132.64,5205744.35
catalog channel,catalog_pageAAAAAAAAABNBAAAA,-12134.84,18209.4,0.0
catalog channel,catalog_pageAAAAAAAAABOAAAAA,-12004.34,19423.33,0.0
catalog channel,catalog_pageAAAAAAAAABOBAAAA,-10042.22,11045.68,0.0
catalog channel,catalog_pageAAAAAAAAABPBAAAA,-2629.98,5033.95,0.0
catalog channel,catalog_pageAAAAAAAAACABAAAA,-5341.94,8531.33,0.0
catalog channel,catalog_pageAAAAAAAAACACAAAA,-291704.05,19.35,3402004.14
catalog channel,catalog_pageAAAAAAAAACLBAAAA,-144178.53,214306.98,0.0
catalog channel,catalog_pageAAAAAAAAACMBAAAA,-650530.59,37441.29,5196431.39
catalog channel,catalog_pageAAAAAAAAACNBAAAA,-12391.27,23714.22,0.0
catalog channel,catalog_pageAAAAAAAAACOAAAAA,-7336.41,13184.73,0.0
catalog channel,catalog_pageAAAAAAAAACOBAAAA,-10795.16,12989.74,0.0
catalog channel,catalog_pageAAAAAAAAACPBAAAA,-1960.08,4906.6,0.0
catalog channel,catalog_pageAAAAAAAAADACAAAA,-459731.44,3280.15,3230755.02
catalog channel,catalog_pageAAAAAAAAADLBAAAA,-1129155.34,73787.21,10319689.79
catalog channel,catalog_pageAAAAAAAAADMBAAAA,-475960.01,15189.83,5392426.95
catalog channel,catalog_pageAAAAAAAAADNBAAAA,-4990.01,5013.74,0.0
catalog channel,catalog_pageAAAAAAAAADOAAAAA,-5269.85,11510.35,0.0
catalog channel,catalog_pageAAAAAAAAADOBAAAA,-12805.43,31122.95,0.0
catalog channel,catalog_pageAAAAAAAAADPBAAAA,-6071.63,8895.77,0.0
catalog channel,catalog_pageAAAAAAAAAEACAAAA,-292215.09,3234.33,3635056.6
catalog channel,catalog_pageAAAAAAAAAELBAAAA,-1195318.65,85722.88,9700199.88
catalog channel,catalog_pageAAAAAAAAAEMBAAAA,-702400.55,49916.33,5022303.71
catalog channel,catalog_pageAAAAAAAAAENBAAAA,-12602.2,28885.74,0.0
catalog channel,catalog_pageAAAAAAAAAEOAAAAA,-3480.49,4691.01,0.0
catalog channel,catalog_pageAAAAAAAAAEOBAAAA,-5798.66,11508.99,0.0
