apr_net,apr_sales,apr_sales_per_sq_foot,aug_net,aug_sales,aug_sales_per_sq_foot,dec_net,dec_sales,dec_sales_per_sq_foot,feb_net,feb_sales,feb_sales_per_sq_foot,jan_net,jan_sales,jan_sales_per_sq_foot,jul_net,jul_sales,jul_sales_per_sq_foot,jun_net,jun_sales,jun_sales_per_sq_foot,mar_net,mar_sales,mar_sales_per_sq_foot,may_net,may_sales,may_sales_per_sq_foot,nov_net,nov_sales,nov_sales_per_sq_foot,oct_net,oct_sales,oct_sales_per_sq_foot,sep_net,sep_sales,sep_sales_per_sq_foot,ship_carriers,w_city,w_country,w_county,w_state,w_warehouse_name,w_warehouse_sq_ft,year
740722043.96,511177786.57,1048.2773760961045,1658977071.93,1145366579.29,2348.814647175352,2561094828.53,1778509639.35,3647.2074238776463,699159158.75,493729897.34,1012.4968159446801,796498303.19,560173936.39,1148.754268327195,738879666.43,510534462.36,1046.9581047338588,709197404.71,488397743.54,1001.5621150612342,720455796.95,492836407.31,1010.6645270447628,720400217.85,496222988.21,1017.60942221247,2427578097.15,1684761085.19,3454.9563305211263,1760991643.8,1222502626.65,2506.998307446538,1653425255.51,1139036452.36,2335.8333928586076,"GREAT EASTERN,BARIAN",Pleasant Valley,United States,Williamson County,TN,About slight way,487636,2001
685883811.18,477030379.98,4530.934528651349,1627043916.8,1126345658.13,10698.267128881205,2592484357.16,1773238946.52,16842.595162751822,678359468.79,476413961.06,4525.079652555493,768424251.23,530735077.07,5041.032997444981,758306984.94,528710058.7,5021.7989485481985,746431937.09,514538789.94,4887.19726774503,697397655.28,485108738.46,4607.664470617288,790389910.08,554469406.98,5266.46663734886,2508029763.83,1749906020.4,16620.974140174578,1744324936.47,1205211829.65,11447.354555341319,1640215151.36,1138689374.18,10815.510331012603,"GREAT EASTERN,BARIAN",New Hope,United States,Daviess County,MO,Both obvious tic,105283,2001
723427419.76,502998921.55,2461.6867805178854,1663689492.33,1155392684.4,5654.514901801489,2562254319.22,1774334047.14,8683.626308000254,712119269.07,502173952.52,2457.6493655881877,779309967.9,542866032.67,2656.7972195604193,718664810.11,504680582.46,2469.916862639541,705064814.92,488555693.03,2391.00133132026,691322926.12,485921438.33,2378.109236141359,750660877.69,520542430.67,2547.5450649681156,2480992938.55,1744837490.5,8539.269569962464,1667433242.54,1164242200.79,5697.824611977625,1692289833.08,1176871052.54,5759.63046498084,"GREAT EASTERN,BARIAN",Union,United States,Daviess County,MO,Especially oversea,204331,2001
704065307.72,488947914.3,2204.841763429999,1651051235.33,1140966155.32,5145.0262008198015,2552799731.09,1769931172.48,7981.25537168393,628451672.71,434526603.63,1959.4365268464699,758916841.26,529505424.69,2387.730145020991,731539803.71,516309028.27,2328.222853747954,749928460.99,516777024.43,2330.3332165258994,749833962.39,525754944.65,2370.817883442084,762071433.62,527141909.95,2377.072208143001,2480682055.52,1716898771.74,7742.11322883645,1665135106.42,1167535169.27,5264.835427645077,1630562501.58,1147207883.42,5173.17239469519,"GREAT EASTERN,BARIAN",Oak Grove,United States,Barrow County,GA,Famous skills enact.,221761,2001
721389194.67,510723870.59,1584.6422871832106,1667291686.03,1161784561.97,3604.7129408059673,2555448700.22,1791408913.23,5558.272250446794,657850077.4,449377998.91,1394.3021288194702,785107104.08,531831093.34,1650.132466242212,725693124.94,497788227.94,1544.5063790428674,733468220.01,518744586.25,1609.5284652927744,720960424.83,500202806.65,1551.998183812396,777190310.57,533315111.64,1654.736986000447,2482099585.83,1731851550.5,5373.481366507806,1754889432.8,1210125519.99,3754.702261244322,1664083632.16,1147260573.86,3559.6488130786606,"GREAT EASTERN,BARIAN",Liberty,United States,Ziebach County,SD,Full cards mi,322296,2001
686339085.3,475794099.32,676.6907156825516,1645697699.87,1146355426.23,1630.386074377168,2467653635.33,1718386901.62,2443.9488928901083,693430645.23,474219338.87,674.4510372639625,766215718.59,534752484.68,760.5433570704248,703691146.37,489050863.64,695.5449413826109,738373728.66,506839415.74,720.8444313693699,742427096.8,526114966.54,748.2587819984952,749698238.81,520048372.93,739.6306641265561,2415819387.26,1682541277.26,2392.9680143190553,1685324554.72,1162407167.63,1653.2154125119646,1664991622.95,1164514328.99,1656.2122897973175,"GREAT EASTERN,BARIAN",Pleasant Valley,United States,Luce County,MI,"Good, comprehens",703119,2001
750909229.17,519791899.55,576.6744950691233,1608368034.29,1107854694.25,1229.0910015520974,2601041737.19,1811900386.74,2010.182808819108,649958532.44,454804526.84,504.57533312402023,768114206.87,536937147.17,595.6960054517557,722718005.26,500792145.19,555.5955329662588,713931021.53,489355131.4,542.9069278568742,698081103.35,488344836.1,541.7860725059105,698921045.41,492929932.61,546.8729317221402,2428638792.82,1699655908.31,1885.655035341001,1695374164.11,1178674221.72,1307.6605507893064,1641370934.71,1126464814.25,1249.7376902816961,"GREAT EASTERN,BARIAN",Oakland,United States,Williamson County,TN,"Important, careful",901361,2001
689720969.62,482114909.59,511.93676177359737,1641232260.65,1153467591.71,1224.8168475291134,2597305114.63,1816586861.31,1928.9542321982444,666972372.45,459414030.92,487.831690379688,728775908.88,506760048.45,538.106358130156,719791204.89,502953526.66,534.06437892555,761948146.72,531691347.34,564.5798153219496,698095601.37,479365221.13,509.0169877153843,784540272.91,554901635.28,589.2258061666244,2482311119.39,1727436117.75,1834.288952075239,1676579472.66,1166357928.61,1238.5045331814172,1600796934.94,1097727758.62,1165.6291537111347,"GREAT EASTERN,BARIAN",Midway,United States,Daviess County,MO,Long areas expect ,941747,2001
740506484.44,507286320.38,535.4148763224777,1682995396.46,1172870251.88,1237.9048194759907,2553438430.99,1777480525.29,1876.0401717532275,633016155.61,431066009.14,454.9682195207417,744902997.32,515799955.3,544.4005844021515,765567172.47,517002527.19,545.669837788032,774440317.03,536241491.39,565.9755847082316,739372606.1,523702065.13,552.7408588927917,757565962.43,524119075.21,553.1809917949389,2446187896.87,1702417929.63,1796.8154247865882,1700669055.48,1191974930.01,1258.0688342881629,1654913304.91,1125825505.69,1188.251485745105,"GREAT EASTERN,BARIAN",Pleasant Valley,United States,Daviess County,MO,"Male, recent towns",947464,2001
711524819.74,489154210.92,1120.8284892145675,1694130110.87,1184872968.53,2714.9707588755837,2578103297.28,1809849850.82,4147.017911150217,642506184.45,441049772.98,1010.6038948082361,790693216.38,546781264.87,1252.8728269198161,727953955.58,500848748.41,1147.624886944288,742697232.95,514222237.38,1178.268367268378,717529286.16,496956283.24,1138.7058471846058,759082645.07,519259144.38,1189.8097354853787,2382680961.61,1644121761.44,3767.2751635802047,1741206431.43,1226200914.34,2809.6679689383213,1665918749.09,1151189017.92,2637.788695162022,"GREAT EASTERN,BARIAN",Pleasant Valley,United States,Barrow County,GA,Modestly diff,436422,2001
