ss_customer_sk,sumsales
14,0.0
159,0.0
170,0.0
219,0.0
250,0.0
380,0.0
423,0.0
483,0.0
499,0.0
584,0.0
591,0.0
616,0.0
663,0.0
712,0.0
800,0.0
843,0.0
930,0.0
1052,0.0
1083,0.0
1218,0.0
1437,0.0
1748,0.0
1844,0.0
1869,0.0
1890,0.0
1962,0.0
2232,0.0
2267,0.0
2279,0.0
2420,0.0
2459,0.0
2509,0.0
2623,0.0
2630,0.0
2697,0.0
2776,0.0
3229,0.0
3231,0.0
3359,0.0
3380,0.0
3543,0.0
3544,0.0
3597,0.0
3910,0.0
3968,0.0
4010,0.0
4051,0.0
4154,0.0
4297,0.0
4395,0.0
4440,0.0
4524,0.0
4665,0.0
4707,0.0
4935,0.0
4970,0.0
5084,0.0
5140,0.0
5160,0.0
5182,0.0
5212,0.0
5218,0.0
5281,0.0
5329,0.0
5336,0.0
5381,0.0
5453,0.0
5608,0.0
5725,0.0
5828,0.0
5899,0.0
5943,0.0
5948,0.0
5974,0.0
6057,0.0
6094,0.0
6150,0.0
6213,0.0
6237,0.0
6391,0.0
6485,0.0
6576,0.0
6619,0.0
6668,0.0
6829,0.0
6832,0.0
7039,0.0
7247,0.0
7271,0.0
7298,0.0
7396,0.0
7660,0.0
7667,0.0
7722,0.0
7869,0.0
7923,0.0
7999,0.0
8004,0.0
8066,0.0
8069,0.0
