ca_zip,sum
30001,4137.77
30008,4461.27
30026,5099.44
30056,308.8
30059,94685.88
30069,91418.97
30116,1858.47
30141,4251.3
30150,74968.69
30162,102753.43
30164,5822.71
30169,93968.71
30191,85779.41
30194,4182.96
30216,4016.94
30238,1510.84
30262,1801.3
30268,3387.79
30278,426.44
30296,5323.19
30297,409.9
30302,3390.05
30309,6644.57
30311,329.73
30319,4024.85
30325,482.27
30344,3070.4
30348,413.95
30369,2163.91
30399,82279.0
30408,4330.48
30411,94754.5
30418,2650.39
30419,3020.99
30451,5317.98
30481,1076.16
30492,3083.17
30499,85728.18
30519,1833.62
30525,1060.76
30534,82929.43
30540,2485.0
30573,2064.85
30580,659.28
30584,589.13
30587,85254.75
30589,3197.15
30618,3223.11
30631,3132.8
30634,5030.24
30635,2207.03
30647,388.45
30663,264.31
30681,202.89
30689,663.06
30725,4133.06
30732,3524.09
30744,4576.32
30765,764.19
30766,5584.91
30844,298.57
30852,2287.51
30854,5825.42
30894,3779.79
30899,5540.93
30913,5117.61
30919,2228.04
30965,11955.86
30974,508.7
31075,5081.87
31083,3904.12
31087,97110.17
31103,789.71
31140,798.12
31143,1547.73
31147,9715.45
31160,2266.12
31185,389.61
31187,1137.25
31201,1923.99
31204,5291.08
31206,8101.11
31209,4271.64
31216,1772.13
31218,6434.0
31229,8255.66
31289,73985.25
31294,1341.2
31327,889.7
31373,600.6
31383,311.08
31387,99310.03
31398,6507.77
31409,5011.75
31423,2883.73
31495,291.51
31521,69886.88
31529,5745.16
31545,3064.94
31639,1932.37
