avg_quarterly_sales,i_manufact_id,sum_sales
4320.425,728,2326.5
4320.425,728,2385.16
4320.425,728,4788.54
4320.425,728,7781.5
4379.85,822,2025.86
4379.85,822,2268.72
4379.85,822,8692.24
4381.37,674,2268.94
4381.37,674,2881.81
4381.37,674,8421.57
4425.9225,783,2660.49
4425.9225,783,2872.8
4425.9225,783,5858.84
4425.9225,783,6311.56
4456.76,918,1901.31
4456.76,918,2770.97
4456.76,918,8480.4
4485.6075,955,1575.83
4485.6075,955,3106.6
4485.6075,955,5046.81
4485.6075,955,8213.19
4506.39,855,1964.33
4506.39,855,2897.72
4506.39,855,5138.5
4506.39,855,8025.01
4519.8575,956,2211.45
4519.8575,956,3070.07
4519.8575,956,5223.41
4519.8575,956,7574.5
4544.0725,871,2721.87
4544.0725,871,3020.06
4544.0725,871,5396.69
4544.0725,871,7037.67
4550.1375,978,2225.32
4550.1375,978,2377.28
4550.1375,978,8920.01
4566.395,834,2396.09
4566.395,834,2813.73
4566.395,834,5260.1
4566.395,834,7795.66
4578.66,720,2480.83
4578.66,720,3020.05
4578.66,720,3586.68
4578.66,720,9227.08
4588.1775,721,2842.39
4588.1775,721,3206.5
4588.1775,721,7964.98
4593.42,796,2333.57
4593.42,796,2497.38
4593.42,796,8596.08
4603.3275,756,2189.87
4603.3275,756,2748.28
4603.3275,756,8804.65
4614.37,684,2110.65
4614.37,684,2303.38
4614.37,684,5230.24
4614.37,684,8813.21
4627.345,770,2428.46
4627.345,770,2888.89
4627.345,770,5426.0
4627.345,770,7766.03
4639.3425,367,2465.3
4639.3425,367,2494.96
4639.3425,367,5635.14
4639.3425,367,7961.97
4647.9525,917,2949.34
4647.9525,917,3063.34
4647.9525,917,7556.36
4649.795,963,2679.51
4649.795,963,2785.26
4649.795,963,5946.71
4649.795,963,7187.7
4650.415,718,1648.83
4650.415,718,2869.45
4650.415,718,6919.49
4650.415,718,7163.89
4657.0675,836,2068.66
4657.0675,836,2993.88
4657.0675,836,6042.76
4657.0675,836,7522.97
4677.975,931,1847.93
4677.975,931,3147.54
4677.975,931,5277.34
4677.975,931,8439.09
4686.6775,879,2367.97
4686.6775,879,2694.2
4686.6775,879,8797.43
4688.25,972,2417.0
4688.25,972,2705.31
4688.25,972,9038.55
4697.7825,776,2593.7
4697.7825,776,2910.52
4697.7825,776,8568.66
4722.8125,560,2189.8
4722.8125,560,2276.09
4722.8125,560,9293.19
4726.055,994,2652.27
4726.055,994,2758.93
4726.055,994,5303.82
4726.055,994,8189.2
