avg_monthly_sales,d_moy,i_brand,i_category,i_class,s_company_name,s_store_name,sum_sales
384548.5808333333,2,amalgimporto #2,Men,accessories,Unknown,able,208277.13
381930.2375,2,edu packamalg #2,Women,swimwear,Unknown,able,206338.09
381930.2375,6,edu packamalg #2,Women,swimwear,Unknown,able,209686.0
383745.24083333334,2,amalgimporto #2,Men,accessories,Unknown,ese,211631.04
375700.2108333333,2,amalgscholar #2,Music,rock,Unknown,able,203671.92
372722.595,2,amalgscholar #2,Music,rock,Unknown,ese,201778.01
367239.1583333333,2,edu packamalg #2,Women,swimwear,Unknown,cally,196677.42
378749.2766666667,2,edu packamalg #2,Women,swimwear,Unknown,bar,208849.47
374092.67833333334,2,amalgscholar #2,Music,rock,Unknown,bar,204395.1
381628.68333333335,2,amalgimporto #2,Men,accessories,Unknown,bar,211976.3
378749.2766666667,6,edu packamalg #2,Women,swimwear,Unknown,bar,210073.3
368384.7733333333,2,amalgimporto #2,Men,accessories,Unknown,eing,200563.63
381930.2375,7,edu packamalg #2,Women,swimwear,Unknown,able,214489.04
374092.67833333334,6,amalgscholar #2,Music,rock,Unknown,bar,206764.36
384548.5808333333,4,amalgimporto #2,Men,accessories,Unknown,able,217234.76
369197.2675,2,amalgimporto #2,Men,accessories,Unknown,cally,202050.08
384548.5808333333,6,amalgimporto #2,Men,accessories,Unknown,able,217620.2
372722.595,6,amalgscholar #2,Music,rock,Unknown,ese,206216.39
383745.24083333334,4,amalgimporto #2,Men,accessories,Unknown,ese,218073.1
376433.27,2,edu packamalg #2,Women,swimwear,Unknown,ese,210842.3
375700.2108333333,4,amalgscholar #2,Music,rock,Unknown,able,210742.56
381930.2375,3,edu packamalg #2,Women,swimwear,Unknown,able,217091.92
376433.27,4,edu packamalg #2,Women,swimwear,Unknown,ese,211704.53
367458.86666666664,2,edu packamalg #2,Women,swimwear,Unknown,eing,203366.0
381628.68333333335,6,amalgimporto #2,Men,accessories,Unknown,bar,219072.49
384548.5808333333,7,amalgimporto #2,Men,accessories,Unknown,able,222164.25
381930.2375,4,edu packamalg #2,Women,swimwear,Unknown,able,219869.63
378749.2766666667,3,edu packamalg #2,Women,swimwear,Unknown,bar,216729.54
381628.68333333335,3,amalgimporto #2,Men,accessories,Unknown,bar,220109.93
375700.2108333333,6,amalgscholar #2,Music,rock,Unknown,able,214221.25
381628.68333333335,4,amalgimporto #2,Men,accessories,Unknown,bar,220305.11
383745.24083333334,6,amalgimporto #2,Men,accessories,Unknown,ese,222479.99
383745.24083333334,7,amalgimporto #2,Men,accessories,Unknown,ese,222582.21
367458.86666666664,4,edu packamalg #2,Women,swimwear,Unknown,eing,206454.05
376433.27,6,edu packamalg #2,Women,swimwear,Unknown,ese,215907.43
375700.2108333333,3,amalgscholar #2,Music,rock,Unknown,able,215243.74
378749.2766666667,4,edu packamalg #2,Women,swimwear,Unknown,bar,218612.7
369197.2675,4,amalgimporto #2,Men,accessories,Unknown,cally,209218.72
359519.8325,2,amalgscholar #2,Music,rock,Unknown,cally,199919.6
381930.2375,5,edu packamalg #2,Women,swimwear,Unknown,able,222567.66
361665.9141666667,4,amalgscholar #2,Music,rock,Unknown,eing,202540.32
367239.1583333333,6,edu packamalg #2,Women,swimwear,Unknown,cally,208263.0
361665.9141666667,2,amalgscholar #2,Music,rock,Unknown,eing,203978.38
376433.27,3,edu packamalg #2,Women,swimwear,Unknown,ese,218817.84
381628.68333333335,7,amalgimporto #2,Men,accessories,Unknown,bar,224128.08
369197.2675,6,amalgimporto #2,Men,accessories,Unknown,cally,211822.2
367458.86666666664,7,edu packamalg #2,Women,swimwear,Unknown,eing,210102.51
381628.68333333335,5,amalgimporto #2,Men,accessories,Unknown,bar,224282.23
