avg1,avg2,avg3,col1
41.2,701.602,56.874,Did not fit
36.0,1788.615,32.24,Did not get it on ti
15.8,644.054,50.426,Did not like the col
26.0,314.24333333333334,32.23,Did not like the mak
13.0,555.4425,41.69,Did not like the mod
30.5,338.3466666666667,61.365,Did not like the war
23.444444444444443,421.80333333333334,65.82555555555555,Does not work with a
13.0,108.97,29.425,duplicate purchase
11.0,98.285,28.995,Found a better exten
26.75,656.5175,51.3475,Found a better price
21.6,400.498,64.426,Gift exchange
48.333333333333336,139.18666666666667,46.96,it is a girl
22.666666666666668,540.866,45.946666666666665,its is a boy
21.8,313.82,40.32,Lost my job
28.5,708.4325,54.455,No service location 
54.0,420.76,61.99,Not the product that
16.0,318.29,41.07333333333333,Package was damaged
27.0,153.84666666666666,63.86333333333334,Parts missing
21.571428571428573,180.22142857142856,36.97428571428571,reason 23
24.333333333333332,796.3233333333334,37.46666666666667,reason 24
35.0,500.635,26.2325,reason 25
28.9,603.232,36.14,reason 26
19.0,980.2875,43.9825,reason 27
46.5,823.31,52.87,reason 28
21.666666666666668,462.8883333333333,65.10666666666667,reason 29
38.875,515.60875,43.13375,reason 31
10.0,334.525,89.6,reason 32
33.75,930.4275,54.0575,reason 33
55.0,1105.085,57.83,reason 34
21.75,150.725,41.785,reason 35
10.5,231.49,51.095,reason 36
2.0,109.61,25.54,reason 37
30.0,644.8685714285714,67.04285714285714,reason 38
22.8,268.612,64.662,reason 39
25.2,351.32,53.578,reason 40
32.75,1223.235,58.395,reason 41
20.666666666666668,286.2633333333333,52.95666666666666,reason 42
38.666666666666664,1167.4366666666667,66.405,reason 43
10.5,251.355,46.615,reason 44
53.0,613.67,57.29,reason 45
11.25,330.87,47.0225,reason 46
43.6,730.068,39.712,reason 47
22.5,733.145,96.82,reason 49
38.0,482.22,23.5,reason 50
29.333333333333332,133.32666666666665,39.50666666666667,reason 51
25.6,340.034,53.526,reason 52
24.6,335.042,52.0,reason 53
15.0,224.465,60.795,reason 54
41.6,883.476,65.548,reason 55
25.0,641.3466666666667,68.68666666666667,Stopped working
9.5,202.75,58.34,unauthoized purchase
7.5,127.275,41.695,Wrong size
