channel,col_name,d_qoy,d_year,i_category,sales_amt,sales_cnt
catalog,cs_ship_customer_sk,1,1998,Books,1173220.01,1005
catalog,cs_ship_customer_sk,1,1998,Children,1594539.55,1049
catalog,cs_ship_customer_sk,1,1998,Electronics,1093729.67,1001
catalog,cs_ship_customer_sk,1,1998,Home,1426511.1,1022
catalog,cs_ship_customer_sk,1,1998,Jewelry,1216541.25,996
catalog,cs_ship_customer_sk,1,1998,Men,1222323.61,1027
catalog,cs_ship_customer_sk,1,1998,Music,1168964.83,1001
catalog,cs_ship_customer_sk,1,1998,Shoes,1249587.32,1007
catalog,cs_ship_customer_sk,1,1998,Sports,1230470.46,1016
catalog,cs_ship_customer_sk,1,1998,Women,1419147.82,1063
catalog,cs_ship_customer_sk,1,1998,,18108.76,18
catalog,cs_ship_customer_sk,2,1998,Books,1295863.39,1052
catalog,cs_ship_customer_sk,2,1998,Children,1287458.0,983
catalog,cs_ship_customer_sk,2,1998,Electronics,1252174.74,1048
catalog,cs_ship_customer_sk,2,1998,Home,1221352.64,1009
catalog,cs_ship_customer_sk,2,1998,Jewelry,1405828.31,1064
catalog,cs_ship_customer_sk,2,1998,Men,1219154.06,1070
catalog,cs_ship_customer_sk,2,1998,Music,1280123.08,1069
catalog,cs_ship_customer_sk,2,1998,Shoes,1370295.53,1041
catalog,cs_ship_customer_sk,2,1998,Sports,1260262.7,1021
catalog,cs_ship_customer_sk,2,1998,Women,1504357.18,976
catalog,cs_ship_customer_sk,2,1998,,26373.43,24
catalog,cs_ship_customer_sk,3,1998,Books,2320480.92,1932
catalog,cs_ship_customer_sk,3,1998,Children,2582744.79,2019
catalog,cs_ship_customer_sk,3,1998,Electronics,2548676.64,1951
catalog,cs_ship_customer_sk,3,1998,Home,2398650.35,1882
catalog,cs_ship_customer_sk,3,1998,Jewelry,2328075.93,1883
catalog,cs_ship_customer_sk,3,1998,Men,2412466.41,2026
catalog,cs_ship_customer_sk,3,1998,Music,2563841.74,1903
catalog,cs_ship_customer_sk,3,1998,Shoes,2461901.69,1960
