d_week_seq1,rnd1,rnd2,rnd3,rnd4,rnd5,rnd6,rnd7
5270,3.43,1.8,1.85,1.62,3.42,3.41,3.49
5270,3.43,1.8,1.85,1.62,3.42,3.41,3.49
5270,3.43,1.8,1.85,1.62,3.42,3.41,3.49
5270,3.43,1.8,1.85,1.62,3.42,3.41,3.49
5270,3.43,1.8,1.85,1.62,3.42,3.41,3.49
5270,3.43,1.8,1.85,1.62,3.42,3.41,3.49
5270,3.43,1.8,1.85,1.62,3.42,3.41,3.49
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5271,1.0,1.01,1.02,1.0,1.02,1.01,0.99
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5272,1.0,1.0,1.0,1.01,1.0,0.99,1.0
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5273,0.99,0.99,1.0,0.99,1.01,1.0,0.98
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
5274,1.01,1.0,1.01,0.99,1.02,1.01,1.01
