d_date,item_sk,store_cumulative,store_sales,web_cumulative,web_sales
1998-01-19,1,357.65,,368.19,368.19
1998-01-20,1,361.37,361.37,368.19,
1998-01-21,1,361.37,,441.46,441.46
1998-01-24,1,369.97,369.97,441.46,
1998-01-26,1,430.63,430.63,441.46,
1998-01-31,1,546.92,,754.57,754.57
1998-02-02,1,546.92,,762.37,762.37
1998-02-03,1,578.74,578.74,762.37,
1998-02-04,1,624.54,624.54,762.37,
1998-02-06,1,636.29,636.29,762.37,
1998-02-07,1,636.29,,784.58,784.58
1998-02-10,1,678.59,678.59,807.29,807.29
1998-02-14,1,678.59,,812.01,812.01
1998-02-15,1,681.48,681.48,956.21,956.21
1998-02-16,1,695.67,695.67,956.21,
1998-02-17,1,722.69,722.69,956.21,
1998-02-18,1,722.69,,980.67,980.67
1998-02-19,1,734.96,734.96,980.67,
1998-02-21,1,734.96,,1050.88,1050.88
1998-02-22,1,885.67,885.67,1209.57,1209.57
1998-02-24,1,905.16,905.16,1209.57,
1998-02-26,1,1080.65,1080.65,1209.57,
1998-02-27,1,1080.65,,1212.17,1212.17
1998-02-28,1,1173.54,1173.54,1212.17,
1998-03-01,1,1173.54,,1221.03,1221.03
1998-03-03,1,1243.18,1243.18,1306.45,1306.45
1998-03-05,1,1260.33,1260.33,1306.45,
1998-03-07,1,1261.55,1261.55,1306.45,
1998-03-12,1,1261.55,,1334.24,1334.24
1998-03-13,1,1261.55,,1366.15,1366.15
1998-03-14,1,1353.49,1353.49,1366.15,
1998-01-06,4,251.59,251.59,254.59,254.59
1998-01-03,16,147.86,147.86,206.21,206.21
1998-01-04,16,151.51,151.51,206.21,
1998-01-05,16,176.74,176.74,206.21,
1998-01-19,16,504.17,,523.27,523.27
1998-01-22,16,504.27,504.27,523.27,
1998-02-11,20,1173.44,1173.44,1175.23,1175.23
1998-02-15,20,1256.3,,1342.22,1342.22
1998-02-17,20,1312.58,1312.58,1357.37,1357.37
1998-01-06,26,1.14,1.14,322.97,
1998-01-07,26,12.03,12.03,322.97,
1998-01-08,26,37.89,37.89,322.97,
1998-01-10,26,69.13,69.13,332.22,332.22
1998-01-12,26,138.02,138.02,332.22,
1998-01-13,26,138.02,,435.77,435.77
1998-01-14,26,138.02,,507.49,507.49
1998-01-15,26,151.86,151.86,507.49,
1998-01-17,26,151.86,,512.12,512.12
1998-01-18,26,151.86,151.86,512.12,
1998-01-19,26,171.25,171.25,512.12,
1998-01-20,26,171.25,,599.55,599.55
1998-01-21,26,288.03,288.03,599.55,
1998-01-22,26,333.03,333.03,599.55,
1998-01-24,26,425.33,425.33,599.55,
1998-01-25,26,428.24,428.24,599.55,
1998-01-29,26,442.89,442.89,599.55,
1998-01-30,26,516.73,516.73,599.55,
1998-01-31,26,554.15,554.15,599.55,
1998-02-05,26,648.77,648.77,731.46,731.46
1998-02-07,26,848.55,848.55,891.4,891.4
1998-02-08,26,848.55,,896.95,896.95
1998-02-13,26,870.03,870.03,896.95,
1998-02-14,26,885.8,885.8,896.95,
1998-01-14,28,456.22,456.22,484.12,484.12
1998-01-15,28,474.13,474.13,485.52,485.52
1998-01-17,28,480.65,480.65,485.52,
1998-01-19,28,540.98,,587.97,587.97
1998-01-21,28,573.45,573.45,587.97,
1998-01-22,28,573.45,,683.95,683.95
1998-01-23,28,582.5,582.5,683.95,
1998-01-25,28,586.87,586.87,683.95,
1998-01-27,28,606.83,606.83,683.95,
1998-01-28,28,649.73,649.73,683.95,
1998-01-03,37,87.24,87.24,105.37,105.37
1998-01-02,38,14.46,14.46,110.92,110.92
1998-01-03,38,18.85,18.85,110.92,
1998-01-05,38,52.93,52.93,110.92,
1998-01-06,38,72.2,72.2,110.92,
1998-01-07,38,128.18,128.18,146.58,146.58
1998-01-13,40,142.17,,218.58,218.58
1998-01-14,40,157.77,157.77,218.58,
1998-01-02,52,6.29,6.29,8.78,8.78
1998-01-04,64,2.9,2.9,58.5,
1998-01-05,64,48.88,48.88,58.5,
1998-01-05,70,25.18,,66.17,66.17
1998-01-06,70,29.97,29.97,66.17,
1998-01-07,70,46.24,46.24,66.17,
1998-01-08,70,48.43,48.43,66.17,
1998-01-09,70,66.16,66.16,66.17,
1998-01-10,70,117.96,117.96,159.1,159.1
1998-01-23,73,291.97,,359.43,359.43
1998-01-24,73,302.11,302.11,359.43,
1998-01-29,73,402.2,,556.52,556.52
1998-01-30,73,426.13,426.13,556.52,
1998-02-01,73,473.25,473.25,556.52,
1998-02-02,73,532.69,532.69,556.52,
1998-01-04,80,112.68,112.68,232.76,232.76
1998-01-06,80,185.81,185.81,232.76,
1998-01-07,80,196.34,196.34,321.75,321.75
