30 days,31-60,61-90,91-120,>120 days,s_city,s_company_id,s_county,s_state,s_store_name,s_street_name,s_street_number,s_street_type,s_suite_number,s_zip
313,266,154,135,316,Bethel,1,Williamson County,TN,able,Elm ,170,Pkwy,Suite 340,35281
309,262,164,157,308,Five Points,1,Luce County,MI,able,Locust Ridge,212,Ln,Suite K,46098
300,238,135,152,318,Pleasant Hill,1,Ziebach County,SD,able,9th 12th,244,Blvd,Suite 490,53604
346,229,163,181,320,Mount Pleasant,1,Williamson County,TN,able,Maple Spring,251,Parkway,Suite J,31933
315,231,180,148,299,Oak Grove,1,Richland County,OH,able,Jackson 5th,257,Ave,Suite 320,48370
351,243,170,146,331,Bethel,1,Walker County,AL,able,Pine ,269,Ave,Suite A,35281
334,254,165,164,320,Centerville,1,Franklin Parish,LA,able,Spring ,327,Street,Suite 80,70059
327,235,172,162,313,Liberty,1,Walker County,AL,able,Elm ,369,Cir.,Suite 450,33451
300,227,174,166,328,Union,1,Ziebach County,SD,able,Fifth 1st,518,Wy,Suite S,58721
320,282,169,152,315,Midway,1,Barrow County,GA,able,East Seventh,519,Ln,Suite 390,31904
312,233,175,128,313,Shady Grove,1,Franklin Parish,LA,able,14th ,526,Ave,Suite 260,72812
338,273,143,157,301,Greenwood,1,Luce County,MI,able,Spruce ,535,Lane,Suite 50,48828
362,278,178,173,305,Five Points,1,Barrow County,GA,able,Park Pine,540,RD,Suite 230,36098
285,222,145,145,297,Bethel,1,Daviess County,MO,able,Elm ,566,Road,Suite 400,65281
313,279,149,139,278,Midway,1,Williamson County,TN,able,Sycamore ,582,Ln,Suite 180,31904
341,277,161,173,320,Midway,1,Ziebach County,SD,able,Ash Laurel,641,ST,Suite 490,51904
344,232,171,159,335,Midway,1,Daviess County,MO,able,Main ,649,Parkway,Suite 430,61904
340,259,169,139,300,Centerville,1,Franklin Parish,LA,able,4th ,681,Lane,Suite 30,70059
347,271,132,148,298,Shady Grove,1,Williamson County,TN,able,Main ,699,RD,Suite 0,32812
365,265,161,135,331,Bethel,1,Walker County,AL,able,Williams 9th,708,Street,Suite 270,35281
338,262,159,171,304,Mount Pleasant,1,Daviess County,MO,able,3rd ,740,Parkway,Suite 320,61933
323,208,158,156,292,Centerville,1,Barrow County,GA,able,Hill ,751,Pkwy,Suite 370,30059
327,227,156,158,315,Liberty,1,Franklin Parish,LA,able,Third Washington,817,Ave,Suite O,73451
310,246,153,167,324,Shady Grove,1,Barrow County,GA,able,Madison ,824,Way,Suite 430,32812
296,270,148,179,322,Liberty,1,Williamson County,TN,able,3rd Second,883,Boulevard,Suite 350,33451
315,258,159,176,304,New Hope,1,Franklin Parish,LA,able,Cedar ,890,ST,Suite U,79431
333,238,152,153,290,Greenwood,1,Williamson County,TN,able,13th ,975,ST,Suite 200,38828
316,280,151,171,314,Pleasant Grove,1,Richland County,OH,anti,14th River,438,RD,Suite 200,44136
328,220,147,148,310,New Hope,1,Franklin Parish,LA,anti,Sixth ,578,Street,Suite 240,79431
364,242,158,165,321,Oakland,1,Ziebach County,SD,anti,Highland 2nd,59,Road,Suite K,59843
318,244,160,140,314,Pleasant Grove,1,Fairfield County,SC,anti,Main First,6,Way,Suite U,24136
334,272,187,145,298,Midway,1,Walker County,AL,anti,Cherry Mill,632,Lane,Suite 250,31904
322,262,162,147,304,Liberty,1,Barrow County,GA,anti,5th ,645,Wy,Suite 130,33451
292,228,188,161,335,Oakland,1,Richland County,OH,anti,Woodland ,703,Ct.,Suite 60,49843
325,219,157,161,320,Pleasant Valley,1,Walker County,AL,anti,Lincoln Railroad,736,Lane,Suite Y,32477
309,266,163,145,317,Shady Grove,1,Walker County,AL,anti,Twelfth ,762,Avenue,Suite J,32812
290,239,142,150,316,Pleasant Valley,1,Ziebach County,SD,anti,College ,818,Way,Suite M,52477
314,210,152,150,305,New Hope,1,Ziebach County,SD,anti,8th Woodland,923,Ln,Suite 300,59431
309,243,153,151,328,Mount Pleasant,1,Walker County,AL,anti,4th Park,953,Blvd,Suite 10,31933
305,224,146,160,304,Midway,1,Walker County,AL,anti,Laurel ,974,Parkway,Suite Q,31904
320,229,146,164,307,Salem,1,Franklin Parish,LA,ation,Davis Center,116,Road,Suite M,78048
343,244,160,156,301,Oakland,1,Franklin Parish,LA,ation,Lincoln 11th,130,Court,Suite C,79843
309,271,171,168,324,Midway,1,Richland County,OH,ation,Ash Williams,196,Boulevard,Suite 290,41904
326,248,145,177,345,Fairview,1,Williamson County,TN,ation,Jefferson ,364,Road,Suite 80,35709
327,238,190,156,310,Oak Grove,1,Fairfield County,SC,ation,Central ,420,Ct.,Suite 270,28370
