ca_county,d_year,store_q1_q2_increase,store_q2_q3_increase,web_q1_q2_increase,web_q2_q3_increase
Las Animas County,2002,0.913368559888528,2.0276441979355826,1.0897548074705914,2.1587259315959244
Gallia County,2002,1.0402424534626855,1.6927373361080618,1.087867143024011,1.7681782559305335
Rockbridge County,2002,1.045716076685684,1.6910293117168176,1.1530449912191085,1.8127732127538834
Lamar County,2002,0.9919180747967258,1.9035977775097515,1.0356456542310528,1.9700289131006434
Wetzel County,2002,0.9551605139203898,1.6489885974842782,1.0588668792499156,1.9284281973313635
Racine County,2002,0.894026885095466,1.7796087019239462,0.992458104955872,2.13904734391221
Angelina County,2002,0.9741828362674773,1.755383296891838,1.1842253679578996,1.8269814826692239
Rhea County,2002,0.8709332533409052,1.8144640252610762,1.0589143160435972,1.8343304701457352
Schoolcraft County,2002,0.95976495944507,1.6729069416195865,1.1671324223262454,1.8427220453292041
Pickaway County,2002,0.8836194269320885,1.767847405387086,1.009812147056352,1.9273679566673747
Guilford County,2002,0.8510240448920698,1.7905401613006973,0.8990321990191634,1.847794390094154
Ray County,2002,0.912609948553131,1.6664083019923872,0.9690169295259797,2.056764282641753
Geneva County,2002,0.7990667017818125,1.9325160909908692,1.0705125036615717,1.9859129741509738
Berkeley County,2002,0.8294203550344119,2.108732629833496,0.9056746690902662,2.3752993381514043
Douglas County,2002,0.9559520299161912,1.819937822462366,0.9598200929609172,1.9501740665997511
Hill County,2002,0.9498513228110703,1.7392667677738145,1.2689610931630935,1.8965523874034291
Karnes County,2002,1.0297202455920602,1.6773572067325646,1.300849228304805,1.938983062565257
Ozark County,2002,0.8726779045827128,1.902482993744874,0.8832363970709421,1.9777158675180573
Muskegon County,2002,0.9067751921209866,2.0156557164300604,0.9630409813234885,2.069557721896994
Rawlins County,2002,1.0585423455861112,1.7612101829168159,1.0608546923998452,2.0279255266682332
Vernon Parish,2002,0.8928594775274893,1.676376547339003,1.1550567351556456,1.826236253382017
Waynesboro city,2002,0.9417357782805118,1.823250842363966,1.102905053026656,2.0385927276930946
Plumas County,2002,0.75209691473685,1.9414172665068354,0.9137045802256494,2.1456643401717153
Harlan County,2002,0.9115223442122992,1.9695578940674179,1.1132247421976267,1.9757013219824375
Macoupin County,2002,0.8318951055553356,1.6799809482614274,0.9452222134109259,1.997697458974612
