brand,brand_id,d_year,ext_price
importoscholar #2,5002002,2000,6114708.88
importoedu pack #2,4002002,2000,5990853.07
exportiedu pack #2,4003002,2000,5293485.47
amalgexporti #2,3001002,2000,4567407.97
edu packimporto #2,2004002,2000,4543007.09
exportiimporto #1,2003001,2000,4518056.96
exportiexporti #2,3003002,2000,4418165.12
edu packamalg #1,1004001,2000,4390342.03
amalgamalg #2,1001002,2000,4370472.38
edu packedu pack #2,4004002,2000,4215505.41
importoexporti #2,3002002,2000,3829996.84
edu packamalg #2,1004002,2000,3675302.02
amalgscholar #2,5001002,2000,3566149.16
exportiimporto #2,2003002,2000,3560009.79
edu packscholar #2,5004002,2000,3548993.94
exportischolar #2,5003002,2000,3432688.29
edu packexporti #2,3004002,2000,3352903.23
amalgimporto #1,2001001,2000,3293232.67
importoimporto #2,2002002,2000,3253183.71
amalgamalg #1,1001001,2000,3179167.24
importoamalg #2,1002002,2000,3159040.25
edu packedu pack #1,4004001,2000,3097867.8
importoedu pack #1,4002001,2000,3068197.14
exportiedu pack #1,4003001,2000,3022113.48
amalgscholar #1,5001001,2000,3005636.79
exportiamalg #2,1003002,2000,2967424.85
edu packimporto #1,2004001,2000,2899340.32
amalgimporto #2,2001002,2000,2780630.51
exportiexporti #1,3003001,2000,2603157.05
amalgedu pack #2,4001002,2000,2413133.71
amalgedu pack #1,4001001,2000,2393514.95
importoscholar #1,5002001,2000,2318622.28
edu packexporti #1,3004001,2000,2256180.16
edu packscholar #1,5004001,2000,2040681.14
amalgexporti #1,3001001,2000,1879427.97
exportiamalg #1,1003001,2000,1774556.4
importoimporto #1,2002001,2000,1717699.52
importoexporti #1,3002001,2000,1589103.43
exportischolar #1,5003001,2000,1331764.5
importoamalg #1,1002001,2000,1227032.13
corpmaxi #6,8016006,2000,979770.82
amalgmaxi #8,9001008,2000,972462.38
maximaxi #9,9009009,2000,914127.23
edu packmaxi #2,9004002,2000,871509.58
amalgunivamalg #3,9011003,2000,847005.88
edu packbrand #2,6014002,2000,840620.75
corpunivamalg #9,9016009,2000,743525.57
scholarcorp #8,6005008,2000,728049.53
corpmaxi #2,9006002,2000,681684.66
namelesscorp #6,6008006,2000,651269.67
scholarnameless #10,7015010,2000,643056.14
exportibrand #6,6013006,2000,642550.55
amalgunivamalg #2,9011002,2000,642060.44
namelessbrand #4,7008004,2000,636673.15
maxibrand #5,7009005,2000,630909.08
corpnameless #4,8006004,2000,622508.14
edu packbrand #8,7004008,2000,608107.37
brandmaxi #8,9007008,2000,605050.86
scholarbrand #1,6015001,2000,602022.31
brandmaxi #3,9007003,2000,585222.47
amalgunivamalg #8,9011008,2000,576579.81
amalgbrand #6,6011006,2000,576199.99
importounivamalg #2,9012002,2000,574878.92
importomaxi #8,8012008,2000,570146.44
corpbrand #3,6016003,2000,568408.84
corpbrand #4,6016004,2000,555879.72
exportiunivamalg #9,9013009,2000,553101.63
brandnameless #1,8007001,2000,544097.81
scholarnameless #7,8005007,2000,543734.08
edu packmaxi #4,8014004,2000,540518.92
amalgmaxi #3,9001003,2000,540309.98
scholarnameless #3,8005003,2000,534358.79
maxiunivamalg #9,10009009,2000,534227.78
edu packamalgamalg #1,10014001,2000,525741.8
edu packcorp #5,6004005,2000,523783.23
maximaxi #2,9009002,2000,522207.79
scholarmaxi #8,9005008,2000,522000.6
importomaxi #3,9002003,2000,520148.22
importounivamalg #8,9012008,2000,516895.4
importobrand #6,6012006,2000,510552.98
exportinameless #10,8003010,2000,506241.35
exportimaxi #9,9003009,2000,504932.76
maxicorp #8,6009008,2000,493928.29
edu packmaxi #6,9004006,2000,493709.31
importonameless #3,8002003,2000,492889.3
exportimaxi #10,8013010,2000,488913.13
edu packnameless #4,7014004,2000,486676.86
corpmaxi #3,9006003,2000,483491.43
corpbrand #5,6016005,2000,483145.5
scholarnameless #5,7015005,2000,477201.55
importomaxi #2,9002002,2000,476579.9
brandcorp #2,6007002,2000,475759.49
univamalgamalg #6,10010006,2000,474854.93
corpbrand #2,7006002,2000,470964.33
amalgunivamalg #14,10001014,2000,468961.36
amalgmaxi #5,8011005,2000,463570.76
importonameless #2,7012002,2000,461270.44
corpunivamalg #11,10006011,2000,460987.92
edu packunivamalg #12,9014012,2000,454975.48
maxibrand #1,7009001,2000,449591.51
