avg_monthly_sales,cc_name,d_moy,d_year,i_brand,i_category,nsum,psum,sum_sales
208050.495,Pacific Northwest,2,2001,importoexporti #2,Children,121187.82,123723.45,103850.14
200018.815,Pacific Northwest_1,2,2001,amalgimporto #2,Men,114998.32,122274.06,96995.93
207596.94666666666,North Midwest_2,3,2001,importoexporti #2,Children,121975.55,115346.69,105047.77
193941.70916666667,NY Metro,2,2001,importoamalg #2,Women,109515.82,116853.84,91842.16
200779.93083333335,California,2,2001,edu packamalg #2,Women,117465.6,120573.32,99251.41
208405.05666666667,Mid Atlantic_1,2,2001,importoexporti #2,Children,119104.05,128723.2,107585.72
208757.13333333333,North Midwest,2,2001,importoexporti #2,Children,120183.67,121753.1,108003.75
202200.36333333334,Pacific Northwest_1,2,2001,amalgscholar #2,Music,111407.54,119183.27,101788.62
198723.5725,North Midwest_2,2,2001,edu packimporto #2,Men,115537.51,116827.05,98490.94
203414.84333333332,Hawaii/Alaska,2,2001,importoedu pack #2,Shoes,120502.7,120569.66,103615.67
201627.51916666667,North Midwest,2,2001,edu packexporti #2,Children,119620.63,115159.33,102150.43
194832.545,Mid Atlantic,2,2001,exportischolar #2,Music,110318.71,112447.36,95658.43
202912.27833333332,California,2,2001,amalgscholar #2,Music,108418.39,115745.27,103749.41
211082.6575,Mid Atlantic_2,2,2001,importoexporti #2,Children,122808.78,124459.86,111993.28
194441.745,NY Metro,2,2001,exportiexporti #2,Children,115973.84,111854.46,95785.38
199790.84,California,2,2001,amalgamalg #2,Women,113782.74,121126.73,101231.12
198909.36416666667,NY Metro,2,2001,exportiimporto #2,Men,115270.28,116812.99,100423.94
201178.43,Mid Atlantic_2,2,2001,exportiimporto #2,Men,110685.51,118727.84,102696.88
199466.71,California_1,2,2001,exportiedu pack #2,Shoes,113842.02,120004.24,101044.65
207606.94583333333,Hawaii/Alaska,2,2001,importoexporti #2,Children,122634.65,124114.27,109521.3
203950.4025,California,2,2001,exportiedu pack #2,Shoes,122393.7,118676.75,105981.06
201306.32583333334,NY Metro,2,2001,amalgexporti #2,Children,118728.65,120767.23,103549.75
198361.27416666667,Pacific Northwest,2,2001,edu packedu pack #2,Shoes,111784.32,115507.29,100742.32
204249.69833333333,California,2,2001,importoedu pack #2,Shoes,114329.12,121268.23,106716.57
198300.3625,Pacific Northwest_1,2,2001,edu packedu pack #2,Shoes,109913.7,111400.05,100794.9
199006.9575,NY Metro,2,2001,exportiedu pack #2,Shoes,115823.25,114500.22,101651.88
194514.85333333333,Mid Atlantic_2,2,2001,importoamalg #2,Women,109442.19,123101.06,97222.49
208675.07333333333,Hawaii/Alaska_1,2,2001,importoexporti #2,Children,123477.38,127022.97,111447.11
202427.28,Pacific Northwest,2,2001,exportiedu pack #2,Shoes,116534.58,120034.25,105263.69
201453.51583333334,Mid Atlantic_1,2,2001,edu packimporto #2,Men,113481.99,113369.61,104343.4
205244.5175,NY Metro,2,2001,importoedu pack #2,Shoes,121074.32,124958.25,108266.59
199701.2075,Mid Atlantic,2,2001,edu packimporto #2,Men,109867.0,121435.95,102784.66
204792.34333333332,North Midwest_1,2,2001,importoedu pack #2,Shoes,115316.46,125715.06,107908.05
199903.84333333332,North Midwest,2,2001,exportiimporto #2,Men,118120.75,113875.5,103046.35
195389.93083333335,Mid Atlantic_1,2,2001,edu packscholar #2,Music,115184.01,113507.33,98565.27
205064.28083333332,NY Metro_2,2,2001,importoedu pack #2,Shoes,119393.79,125555.78,108258.11
197131.3975,California,2,2001,exportischolar #2,Music,115762.34,119029.35,100378.55
203075.87,NY Metro_1,2,2001,amalgexporti #2,Children,117175.75,120424.13,106449.56
199307.90583333332,NY Metro,2,2001,amalgimporto #2,Men,115170.45,120539.41,102709.16
200410.92,NY Metro_1,2,2001,amalgimporto #2,Men,116290.15,121821.09,103856.84
210873.47083333333,California,2,2001,importoexporti #2,Children,118715.34,123630.15,114360.57
199189.61083333334,California,2,2001,edu packexporti #2,Children,116491.9,124929.14,102732.77
203139.77333333335,North Midwest,2,2001,amalgscholar #2,Music,117774.65,120790.03,106751.75
195111.23333333334,Mid Atlantic_2,2,2001,edu packscholar #2,Music,114098.1,110099.97,98751.61
197717.655,North Midwest_1,2,2001,amalgamalg #2,Women,113906.71,122270.91,101427.44
