numwait,s_name
22,Supplier#000086709
22,Supplier#000091676
21,Supplier#000092336
21,Supplier#000098089
20,Supplier#000009887
20,Supplier#000040846
20,Supplier#000046250
20,Supplier#000071641
20,Supplier#000094373
19,Supplier#000004929
19,Supplier#000019858
19,Supplier#000021158
19,Supplier#000026714
19,Supplier#000026965
19,Supplier#000033996
19,Supplier#000045703
19,Supplier#000046601
19,Supplier#000072055
19,Supplier#000087363
19,Supplier#000090691
19,Supplier#000095509
18,Supplier#000009216
18,Supplier#000013852
18,Supplier#000016682
18,Supplier#000017230
18,Supplier#000020399
18,Supplier#000020818
18,Supplier#000022256
18,Supplier#000022706
18,Supplier#000024811
18,Supplier#000026891
18,Supplier#000027491
18,Supplier#000028404
18,Supplier#000028544
18,Supplier#000028565
18,Supplier#000028653
18,Supplier#000029585
18,Supplier#000032310
18,Supplier#000045102
18,Supplier#000050650
18,Supplier#000052804
18,Supplier#000053843
18,Supplier#000061009
18,Supplier#000064887
18,Supplier#000073140
18,Supplier#000073752
18,Supplier#000077330
18,Supplier#000077933
18,Supplier#000078255
18,Supplier#000078961
18,Supplier#000081678
18,Supplier#000081713
18,Supplier#000084483
18,Supplier#000084633
18,Supplier#000088318
18,Supplier#000095727
17,Supplier#000003920
17,Supplier#000004643
17,Supplier#000008807
17,Supplier#000011231
17,Supplier#000013816
17,Supplier#000015522
17,Supplier#000016697
17,Supplier#000016756
17,Supplier#000017975
17,Supplier#000020326
17,Supplier#000024661
17,Supplier#000026434
17,Supplier#000029473
17,Supplier#000030231
17,Supplier#000034172
17,Supplier#000034305
17,Supplier#000037350
17,Supplier#000041351
17,Supplier#000041799
17,Supplier#000042634
17,Supplier#000045478
17,Supplier#000048353
17,Supplier#000051166
17,Supplier#000051564
17,Supplier#000056242
17,Supplier#000056788
17,Supplier#000057557
17,Supplier#000058281
17,Supplier#000060064
17,Supplier#000060107
17,Supplier#000067257
17,Supplier#000067825
17,Supplier#000067851
17,Supplier#000070051
17,Supplier#000071217
17,Supplier#000074533
17,Supplier#000078137
17,Supplier#000078684
17,Supplier#000080677
17,Supplier#000080871
17,Supplier#000081807
17,Supplier#000082766
17,Supplier#000088203
17,Supplier#000091097
