p_brand,p_size,p_type,supplier_cnt
Brand#12,31,ECONOMY ANODIZED STEEL,100
Brand#12,13,STANDARD ANODIZED TIN,100
Brand#11,41,ECONOMY POLISHED COPPER,99
Brand#11,46,SMALL POLISHED BRASS,96
Brand#23,13,PROMO BURNISHED COPPER,96
Brand#41,33,SMALL POLISHED STEEL,96
Brand#44,44,ECONOMY ANODIZED STEEL,96
Brand#44,46,MEDIUM POLISHED TIN,96
Brand#45,31,MEDIUM BRUSHED BRASS,96
Brand#53,36,PROMO BURNISHED BRASS,96
Brand#13,33,ECONOMY PLATED STEEL,92
Brand#13,46,SMALL BRUSHED COPPER,92
Brand#22,46,ECONOMY ANODIZED TIN,92
Brand#25,46,STANDARD ANODIZED NICKEL,92
Brand#34,41,SMALL BRUSHED STEEL,92
Brand#35,13,SMALL BRUSHED COPPER,92
Brand#45,33,MEDIUM POLISHED COPPER,92
Brand#22,33,SMALL BURNISHED BRASS,91
Brand#11,36,LARGE ANODIZED COPPER,88
Brand#12,33,STANDARD BRUSHED COPPER,88
Brand#13,46,ECONOMY BRUSHED TIN,88
Brand#13,33,STANDARD PLATED COPPER,88
Brand#15,46,STANDARD POLISHED TIN,88
Brand#24,46,LARGE POLISHED TIN,88
Brand#25,46,LARGE BURNISHED BRASS,88
Brand#25,41,PROMO BRUSHED NICKEL,88
Brand#31,36,ECONOMY ANODIZED TIN,88
Brand#33,46,STANDARD ANODIZED BRASS,88
Brand#35,41,PROMO POLISHED NICKEL,88
Brand#35,44,STANDARD PLATED TIN,88
Brand#41,36,ECONOMY BRUSHED NICKEL,88
Brand#41,33,SMALL BURNISHED COPPER,88
Brand#44,43,LARGE BURNISHED STEEL,88
Brand#44,36,STANDARD PLATED NICKEL,88
Brand#45,43,ECONOMY POLISHED BRASS,88
Brand#52,36,STANDARD ANODIZED TIN,88
Brand#53,44,PROMO POLISHED TIN,88
Brand#54,43,LARGE BURNISHED TIN,88
Brand#45,31,PROMO BURNISHED BRASS,87
Brand#54,43,STANDARD POLISHED BRASS,87
Brand#11,41,LARGE ANODIZED BRASS,84
Brand#11,33,PROMO ANODIZED NICKEL,84
Brand#11,46,SMALL PLATED BRASS,84
Brand#12,33,PROMO ANODIZED NICKEL,84
Brand#12,36,STANDARD BRUSHED TIN,84
Brand#13,33,ECONOMY ANODIZED STEEL,84
Brand#13,31,STANDARD PLATED NICKEL,84
Brand#14,33,PROMO PLATED STEEL,84
Brand#22,33,LARGE PLATED STEEL,84
Brand#22,46,STANDARD BRUSHED TIN,84
Brand#23,31,PROMO ANODIZED STEEL,84
Brand#24,41,ECONOMY BRUSHED TIN,84
Brand#25,43,MEDIUM ANODIZED COPPER,84
Brand#25,44,MEDIUM ANODIZED COPPER,84
Brand#25,31,SMALL BURNISHED BRASS,84
Brand#31,31,SMALL PLATED STEEL,84
Brand#33,13,PROMO ANODIZED COPPER,84
Brand#33,31,PROMO POLISHED NICKEL,84
Brand#35,31,STANDARD BRUSHED COPPER,84
Brand#41,13,LARGE BURNISHED BRASS,84
Brand#41,41,LARGE POLISHED TIN,84
Brand#41,44,STANDARD BRUSHED TIN,84
Brand#41,43,STANDARD POLISHED NICKEL,84
Brand#42,33,STANDARD ANODIZED BRASS,84
Brand#43,13,PROMO BURNISHED NICKEL,84
Brand#43,31,SMALL BRUSHED COPPER,84
Brand#44,13,ECONOMY ANODIZED COPPER,84
Brand#44,43,LARGE POLISHED NICKEL,84
Brand#45,41,STANDARD BURNISHED NICKEL,84
Brand#51,44,ECONOMY BURNISHED BRASS,84
Brand#51,46,ECONOMY BURNISHED TIN,84
Brand#51,44,PROMO BRUSHED STEEL,84
Brand#51,43,PROMO BURNISHED STEEL,84
Brand#52,13,ECONOMY PLATED COPPER,84
Brand#52,46,SMALL POLISHED STEEL,84
Brand#53,46,MEDIUM BRUSHED BRASS,84
Brand#54,31,ECONOMY ANODIZED COPPER,84
Brand#54,33,ECONOMY BURNISHED COPPER,84
Brand#13,43,STANDARD BURNISHED STEEL,83
Brand#14,13,LARGE ANODIZED NICKEL,83
Brand#15,41,STANDARD BRUSHED NICKEL,83
Brand#23,44,MEDIUM ANODIZED NICKEL,83
Brand#31,13,PROMO POLISHED BRASS,83
Brand#43,33,PROMO PLATED NICKEL,83
Brand#44,41,MEDIUM ANODIZED TIN,83
Brand#52,13,SMALL ANODIZED STEEL,83
Brand#11,33,LARGE POLISHED TIN,80
Brand#11,13,PROMO ANODIZED NICKEL,80
Brand#11,43,SMALL POLISHED COPPER,80
Brand#12,44,LARGE PLATED BRASS,80
