c_custkey,c_name,o_orderdate,o_orderkey,o_totalprice,sum
1287812,Customer#001287812,1997-11-26,42290181,558289.17,318.0
1172513,Customer#001172513,1997-06-06,36667107,550142.18,322.0
571654,Customer#000571654,1992-01-03,21213895,549380.08,327.0
667882,Customer#000667882,1996-09-30,2199712,542154.01,327.0
1471966,Customer#001471966,1997-02-02,1263015,540476.8,320.0
1101754,Customer#001101754,1992-04-28,46794464,532623.9,320.0
591466,Customer#000591466,1996-02-11,55799200,524209.45,327.0
1196317,Customer#001196317,1995-10-15,34509573,522897.01,318.0
634048,Customer#000634048,1992-04-25,36327201,519634.3,315.0
1308376,Customer#001308376,1996-10-27,28077922,518711.99,319.0
8782,Customer#000008782,1993-01-05,29294434,518140.85,322.0
1232356,Customer#001232356,1993-01-01,52340710,512292.83,320.0
287270,Customer#000287270,1997-03-20,37531878,512044.58,315.0
1247930,Customer#001247930,1993-10-31,59138305,509372.97,321.0
357649,Customer#000357649,1998-07-05,51184261,508562.74,315.0
998485,Customer#000998485,1992-10-27,51532000,506996.9,319.0
1179178,Customer#001179178,1996-06-20,2869152,505142.88,317.0
942725,Customer#000942725,1993-09-19,48881602,504197.89,327.0
212452,Customer#000212452,1994-11-22,23245603,504070.63,321.0
266747,Customer#000266747,1992-08-10,41274690,503260.49,317.0
896006,Customer#000896006,1993-10-04,24923202,503198.09,316.0
166589,Customer#000166589,1993-12-14,46685344,496075.11,327.0
324296,Customer#000324296,1996-11-04,26465922,493279.72,331.0
1081807,Customer#001081807,1996-08-23,8075589,492479.61,316.0
303352,Customer#000303352,1996-06-30,25243237,488918.55,315.0
389473,Customer#000389473,1992-11-22,21135524,487245.56,320.0
1151815,Customer#001151815,1995-08-24,55722822,485654.49,316.0
372146,Customer#000372146,1992-11-30,48300454,484962.56,318.0
225562,Customer#000225562,1995-08-12,39492870,484782.87,317.0
109402,Customer#000109402,1995-02-05,10612710,484659.7,319.0
604861,Customer#000604861,1994-05-30,45897379,481442.14,318.0
347839,Customer#000347839,1995-05-07,53623108,481251.56,316.0
1350514,Customer#001350514,1994-11-29,43245189,480988.72,320.0
456290,Customer#000456290,1996-01-17,58000519,480280.84,325.0
1076014,Customer#001076014,1995-07-21,58919845,478889.03,316.0
1379158,Customer#001379158,1992-03-06,49474597,478863.46,319.0
1115629,Customer#001115629,1992-06-29,13165024,477665.31,318.0
598354,Customer#000598354,1998-04-28,56497062,476882.56,320.0
1424164,Customer#001424164,1994-06-03,48395044,476439.88,316.0
8846,Customer#000008846,1995-11-23,39702437,475436.36,321.0
1075219,Customer#001075219,1992-02-24,44143908,472296.8,325.0
156190,Customer#000156190,1996-08-07,3767271,471132.45,318.0
87946,Customer#000087946,1997-07-29,10805828,469150.8,316.0
1073371,Customer#001073371,1998-04-29,40356833,467532.6,315.0
1209827,Customer#001209827,1994-05-16,12314084,467104.78,325.0
1146131,Customer#001146131,1992-07-22,20662370,466829.08,315.0
1268641,Customer#001268641,1994-11-07,4702759,466780.36,320.0
366184,Customer#000366184,1995-01-17,4806726,466287.9,328.0
317285,Customer#000317285,1998-01-24,44178691,459635.14,316.0
773062,Customer#000773062,1996-05-28,38914978,458849.5,324.0
1380298,Customer#001380298,1994-09-07,13837220,454998.75,316.0
952849,Customer#000952849,1993-12-15,40944001,454781.75,319.0
109817,Customer#000109817,1994-09-03,10408580,454420.76,320.0
64357,Customer#000064357,1998-03-09,7235014,454343.05,323.0
1140475,Customer#001140475,1996-05-08,29122912,453750.44,323.0
523666,Customer#000523666,1993-08-09,32393895,453417.44,316.0
1281199,Customer#001281199,1994-04-07,4722021,452129.83,323.0
353261,Customer#000353261,1996-06-17,22017989,452128.5,318.0
631198,Customer#000631198,1995-03-13,12378086,447447.22,320.0
665395,Customer#000665395,1998-01-05,7810823,447000.47,324.0
1187939,Customer#001187939,1995-01-26,34937604,446503.03,315.0
181624,Customer#000181624,1993-06-05,17457767,445836.21,316.0
1481954,Customer#001481954,1996-02-17,43609317,444565.67,325.0
1163407,Customer#001163407,1997-09-28,11141606,442694.39,325.0
981457,Customer#000981457,1997-08-12,20971013,442063.33,322.0
500566,Customer#000500566,1997-12-11,35383045,441239.0,317.0
853729,Customer#000853729,1994-10-22,15071267,440971.36,317.0
1446161,Customer#001446161,1997-02-12,3043270,440814.69,317.0
1242919,Customer#001242919,1995-09-20,49847329,440255.61,319.0
167087,Customer#000167087,1998-01-14,17366275,437804.26,316.0
1180559,Customer#001180559,1993-03-26,19217698,437603.57,316.0
644810,Customer#000644810,1994-01-29,28184576,437397.11,324.0
1207069,Customer#001207069,1997-06-18,34201984,433879.06,322.0
773104,Customer#000773104,1997-09-28,33615872,426834.17,317.0
75070,Customer#000075070,1994-08-07,43997089,424267.21,317.0
65491,Customer#000065491,1994-06-30,7549735,424178.05,315.0
144853,Customer#000144853,1998-03-22,11599171,423978.95,316.0
407243,Customer#000407243,1992-01-03,19628135,420636.78,315.0
1227100,Customer#001227100,1993-10-12,35542498,417981.24,325.0
1185599,Customer#001185599,1995-06-17,54188961,407873.05,317.0
1199881,Customer#001199881,1997-09-20,1544643,406906.07,320.0
1188142,Customer#001188142,1997-03-15,42997059,404132.92,320.0
1288183,Customer#001288183,1996-07-22,48943904,398081.59,325.0
114613,Customer#000114613,1997-05-17,59930883,394335.49,319.0
