ss_customer_sk,sumsales
202,0.0
292,0.0
297,0.0
313,0.0
342,0.0
366,0.0
388,0.0
397,0.0
400,0.0
423,0.0
482,0.0
521,0.0
577,0.0
584,0.0
601,0.0
670,0.0
680,0.0
745,0.0
800,0.0
900,0.0
923,0.0
925,0.0
1089,0.0
1109,0.0
1137,0.0
1153,0.0
1169,0.0
1271,0.0
1291,0.0
1343,0.0
1406,0.0
1411,0.0
1462,0.0
1624,0.0
1631,0.0
1677,0.0
1801,0.0
1957,0.0
2027,0.0
2081,0.0
2134,0.0
2227,0.0
2237,0.0
2374,0.0
2512,0.0
2564,0.0
2720,0.0
2854,0.0
3012,0.0
3032,0.0
3085,0.0
3095,0.0
3122,0.0
3169,0.0
3191,0.0
3231,0.0
3324,0.0
3406,0.0
3453,0.0
3553,0.0
3567,0.0
3597,0.0
3631,0.0
3804,0.0
3824,0.0
3827,0.0
3851,0.0
3954,0.0
3968,0.0
3983,0.0
4017,0.0
4028,0.0
4171,0.0
4347,0.0
4441,0.0
4472,0.0
4568,0.0
4657,0.0
4683,0.0
4773,0.0
4827,0.0
4921,0.0
4945,0.0
4972,0.0
5182,0.0
5187,0.0
5219,0.0
5243,0.0
5260,0.0
5295,0.0
5382,0.0
5653,0.0
5839,0.0
5859,0.0
6090,0.0
6340,0.0
6424,0.0
6448,0.0
6595,0.0
6768,0.0
