channel,col_name,d_qoy,d_year,i_category,sales_amt,sales_cnt
catalog,cs_ship_customer_sk,1,1998,Books,13385514.48,10274
catalog,cs_ship_customer_sk,1,1998,Children,13010669.78,10170
catalog,cs_ship_customer_sk,1,1998,Electronics,12654001.57,10130
catalog,cs_ship_customer_sk,1,1998,Home,13262850.67,10258
catalog,cs_ship_customer_sk,1,1998,Jewelry,13301236.72,10188
catalog,cs_ship_customer_sk,1,1998,Men,13148247.46,10329
catalog,cs_ship_customer_sk,1,1998,Music,12571792.02,10132
catalog,cs_ship_customer_sk,1,1998,Shoes,13169736.0,10173
catalog,cs_ship_customer_sk,1,1998,Sports,13216656.88,10325
catalog,cs_ship_customer_sk,1,1998,Women,12980774.12,10193
catalog,cs_ship_customer_sk,1,1998,,418326.87,281
catalog,cs_ship_customer_sk,2,1998,Books,12879139.74,10330
catalog,cs_ship_customer_sk,2,1998,Children,13218355.49,10428
catalog,cs_ship_customer_sk,2,1998,Electronics,13146928.62,10364
catalog,cs_ship_customer_sk,2,1998,Home,12828185.36,10317
catalog,cs_ship_customer_sk,2,1998,Jewelry,13134959.0,10539
catalog,cs_ship_customer_sk,2,1998,Men,12792245.17,10396
catalog,cs_ship_customer_sk,2,1998,Music,13261251.07,10361
catalog,cs_ship_customer_sk,2,1998,Shoes,13060897.41,10447
catalog,cs_ship_customer_sk,2,1998,Sports,13334596.05,10451
catalog,cs_ship_customer_sk,2,1998,Women,12997885.96,10310
catalog,cs_ship_customer_sk,2,1998,,298484.21,267
catalog,cs_ship_customer_sk,3,1998,Books,24627696.09,19445
catalog,cs_ship_customer_sk,3,1998,Children,25159878.72,19470
catalog,cs_ship_customer_sk,3,1998,Electronics,24127148.71,18904
catalog,cs_ship_customer_sk,3,1998,Home,24831430.93,19386
catalog,cs_ship_customer_sk,3,1998,Jewelry,24817219.88,19534
catalog,cs_ship_customer_sk,3,1998,Men,24758241.27,19361
catalog,cs_ship_customer_sk,3,1998,Music,23791180.01,19138
catalog,cs_ship_customer_sk,3,1998,Shoes,24519141.5,19412
catalog,cs_ship_customer_sk,3,1998,Sports,24778127.41,19298
catalog,cs_ship_customer_sk,3,1998,Women,24178660.62,18986
catalog,cs_ship_customer_sk,3,1998,,609477.29,492
catalog,cs_ship_customer_sk,4,1998,Books,40515387.08,31516
catalog,cs_ship_customer_sk,4,1998,Children,40048704.46,31921
catalog,cs_ship_customer_sk,4,1998,Electronics,38950511.74,31507
catalog,cs_ship_customer_sk,4,1998,Home,40395187.61,31715
catalog,cs_ship_customer_sk,4,1998,Jewelry,39984550.55,31783
catalog,cs_ship_customer_sk,4,1998,Men,40705472.01,31713
catalog,cs_ship_customer_sk,4,1998,Music,40025071.67,31122
catalog,cs_ship_customer_sk,4,1998,Shoes,40625812.33,31678
catalog,cs_ship_customer_sk,4,1998,Sports,40050407.74,31335
catalog,cs_ship_customer_sk,4,1998,Women,40183936.96,30945
catalog,cs_ship_customer_sk,4,1998,,1046516.37,850
catalog,cs_ship_customer_sk,1,1999,Books,12939634.41,10272
catalog,cs_ship_customer_sk,1,1999,Children,13092745.98,10354
catalog,cs_ship_customer_sk,1,1999,Electronics,13056870.01,10114
catalog,cs_ship_customer_sk,1,1999,Home,12840346.68,10371
catalog,cs_ship_customer_sk,1,1999,Jewelry,12908910.22,10295
catalog,cs_ship_customer_sk,1,1999,Men,12771945.6,10164
catalog,cs_ship_customer_sk,1,1999,Music,12500526.55,10238
catalog,cs_ship_customer_sk,1,1999,Shoes,12901155.68,10263
catalog,cs_ship_customer_sk,1,1999,Sports,13015898.35,10257
catalog,cs_ship_customer_sk,1,1999,Women,12810036.71,10205
catalog,cs_ship_customer_sk,1,1999,,367457.59,299
catalog,cs_ship_customer_sk,2,1999,Books,12785747.69,10332
catalog,cs_ship_customer_sk,2,1999,Children,12737281.04,10191
catalog,cs_ship_customer_sk,2,1999,Electronics,13092371.3,10299
catalog,cs_ship_customer_sk,2,1999,Home,13069007.64,10376
catalog,cs_ship_customer_sk,2,1999,Jewelry,13049547.63,10420
catalog,cs_ship_customer_sk,2,1999,Men,13363140.26,10363
catalog,cs_ship_customer_sk,2,1999,Music,12698444.4,10137
catalog,cs_ship_customer_sk,2,1999,Shoes,13197637.8,10368
catalog,cs_ship_customer_sk,2,1999,Sports,13094309.45,10335
catalog,cs_ship_customer_sk,2,1999,Women,12641276.06,10218
catalog,cs_ship_customer_sk,2,1999,,389624.74,267
catalog,cs_ship_customer_sk,3,1999,Books,25530228.61,19512
catalog,cs_ship_customer_sk,3,1999,Children,24663558.62,19188
catalog,cs_ship_customer_sk,3,1999,Electronics,24723924.63,19350
catalog,cs_ship_customer_sk,3,1999,Home,25231757.54,19182
catalog,cs_ship_customer_sk,3,1999,Jewelry,24456410.03,19121
catalog,cs_ship_customer_sk,3,1999,Men,24598069.49,19444
catalog,cs_ship_customer_sk,3,1999,Music,24023276.65,19128
catalog,cs_ship_customer_sk,3,1999,Shoes,24561760.69,19459
catalog,cs_ship_customer_sk,3,1999,Sports,24550145.59,19199
catalog,cs_ship_customer_sk,3,1999,Women,24357970.89,18961
catalog,cs_ship_customer_sk,3,1999,,600666.31,562
catalog,cs_ship_customer_sk,4,1999,Books,40600181.57,31892
catalog,cs_ship_customer_sk,4,1999,Children,39952419.36,31367
catalog,cs_ship_customer_sk,4,1999,Electronics,39037160.85,31246
catalog,cs_ship_customer_sk,4,1999,Home,40332744.14,31272
catalog,cs_ship_customer_sk,4,1999,Jewelry,40936667.09,31600
catalog,cs_ship_customer_sk,4,1999,Men,40310933.36,31646
catalog,cs_ship_customer_sk,4,1999,Music,39147195.42,31389
catalog,cs_ship_customer_sk,4,1999,Shoes,40820952.95,31761
catalog,cs_ship_customer_sk,4,1999,Sports,40099182.25,31468
catalog,cs_ship_customer_sk,4,1999,Women,40535418.57,31359
catalog,cs_ship_customer_sk,4,1999,,1033590.16,811
