brand,brand_id,ext_price
amalgscholar #2,5001002,68587295.73
importoexporti #2,3002002,67745425.97
edu packexporti #2,3004002,67068840.93
edu packedu pack #2,4004002,63056445.43
exportiamalg #2,1003002,62506787.39
exportiimporto #2,2003002,62331471.58
exportiexporti #2,3003002,59217205.73
amalgimporto #2,2001002,57863797.45
importoscholar #2,5002002,57442295.73
importoamalg #2,1002002,53229912.69
amalgamalg #2,1001002,52964534.2
edu packamalg #2,1004002,51112383.45
importoimporto #2,2002002,50359998.69
amalgexporti #2,3001002,50137553.2
amalgedu pack #2,4001002,49833002.46
exportischolar #2,5003002,47674263.52
importoedu pack #2,4002002,45121267.91
exportiedu pack #2,4003002,44604583.65
edu packimporto #2,2004002,43436252.86
edu packscholar #2,5004002,35899147.57
brandcorp #2,6007002,9475248.92
importonameless #4,8002004,8160902.51
importonameless #2,7012002,8133226.69
amalgmaxi #8,9001008,7905863.52
amalgbrand #2,6011002,7038885.02
brandnameless #2,8007002,7018794.26
namelessbrand #6,7008006,6965743.66
importobrand #4,6012004,6770945.42
amalgcorp #8,6001008,6211455.47
univmaxi #6,8010006,6112799.76
importonameless #6,8002006,6107731.73
importonameless #8,7012008,5931209.84
scholarmaxi #2,9005002,5925466.26
importonameless #2,8002002,5869270.02
edu packmaxi #2,9004002,5857876.38
corpbrand #4,7006004,5824795.54
exportibrand #2,6013002,5798200.07
namelesscorp #4,6008004,5774687.79
corpnameless #8,7016008,5751797.11
maximaxi #8,9009008,5745897.52
edu packbrand #4,6014004,5731435.16
importocorp #4,6002004,5709039.98
scholarcorp #2,6005002,5659331.52
scholarmaxi #6,9005006,5648294.74
importonameless #10,7012010,5636926.0
exportinameless #4,8003004,5615619.78
univbrand #6,6010006,5500495.54
maxibrand #6,7009006,4936986.04
scholarbrand #10,7005010,4862945.13
brandbrand #4,7007004,4846556.21
corpunivamalg #10,10006010,4821221.47
namelessnameless #4,8008004,4808681.1
amalgmaxi #8,8011008,4800374.87
scholarbrand #6,6015006,4783353.34
maxicorp #2,6009002,4750830.55
scholarbrand #4,6015004,4715639.27
corpmaxi #6,8016006,4710930.77
exporticorp #4,6003004,4681944.54
amalgunivamalg #2,9011002,4652221.4
amalgcorp #4,6001004,4640254.98
exportibrand #8,6013008,4640180.8
corpunivamalg #6,9016006,4626968.84
scholarmaxi #6,8015006,4613757.19
edu packmaxi #8,9004008,4586265.92
scholarcorp #6,6005006,4584743.47
exportibrand #8,7003008,4580416.14
univunivamalg #12,9010012,4576793.74
corpbrand #10,7006010,4575678.7
edu packnameless #2,8004002,4570464.95
scholarnameless #4,7015004,4525700.76
corpnameless #4,8006004,4525455.53
univnameless #2,7010002,4512892.36
importomaxi #2,9002002,4512623.41
amalgnameless #8,7011008,4491021.39
edu packmaxi #10,8014010,4447130.85
corpcorp #8,6006008,4438925.36
scholarcorp #8,6005008,4411798.91
univunivamalg #10,9010010,3912160.69
brandbrand #8,7007008,3674505.37
corpmaxi #4,8016004,3660592.11
corpmaxi #10,9006010,3614571.42
univunivamalg #2,9010002,3613738.23
scholarmaxi #10,8015010,3611669.47
univmaxi #10,8010010,3588824.45
importomaxi #2,8012002,3580266.85
edu packnameless #8,7014008,3578807.22
scholarbrand #8,6015008,3576277.54
edu packmaxi #2,8014002,3574055.49
corpunivamalg #7,10006007,3573952.55
amalgbrand #6,6011006,3566778.39
corpmaxi #8,8016008,3564034.03
maxinameless #4,8009004,3562534.98
amalgscholar #2,2003001,3556408.12
scholarmaxi #10,9005010,3549314.93
namelessnameless #10,8008010,3528801.82
corpbrand #6,6016006,3518330.42
exportibrand #4,6013004,3510584.79
brandunivamalg #3,10007003,3508501.78
brandcorp #4,6007004,3506719.87
exporticorp #2,6003002,3506520.01
