avg1,avg2,avg3,col1
32.25,618.142962962963,51.044642857142854,Did not fit
31.45,642.4555,52.37075,Did not get it on ti
26.666666666666668,462.48820512820515,47.52897435897436,Did not like the col
21.357142857142858,484.5233333333333,55.56738095238095,Did not like the mak
20.790697674418606,478.7618604651163,56.60697674418605,Did not like the mod
19.90909090909091,288.9478125,55.2446875,Did not like the war
21.25,554.8033333333333,46.74527777777778,Does not work with a
24.542857142857144,512.4791428571428,44.434285714285714,duplicate purchase
25.484848484848484,434.30454545454546,45.844848484848484,Found a better exten
24.941176470588236,504.1823529411765,51.48323529411765,Found a better price
25.0,481.1806896551724,46.38,Gift exchange
28.975,567.65425,41.20425,it is a girl
20.733333333333334,527.6093333333333,49.104642857142856,its is a boy
22.555555555555557,808.6966666666667,53.416666666666664,Lost my job
21.766666666666666,300.3163333333333,47.34133333333333,No service location 
22.076923076923077,333.34153846153845,52.16871794871795,Not the product that
27.72222222222222,483.44055555555553,47.2825,Not working any more
21.666666666666668,461.99454545454546,51.81030303030303,Package was damaged
26.555555555555557,288.58592592592595,52.022592592592595,Parts missing
22.1,338.51525,47.23725,reason 23
33.6875,731.7159375,41.3284375,reason 24
28.03030303030303,605.48,52.89060606060606,reason 25
26.77777777777778,434.50916666666666,52.3475,reason 26
19.9375,409.2959375,50.368125,reason 27
22.142857142857142,539.0737142857142,48.634,reason 28
27.625,555.983125,51.7715625,reason 29
32.87692307692308,745.1043076923077,48.12553846153846,reason 31
24.806451612903224,310.2335483870968,52.026774193548384,reason 32
23.76086956521739,441.8591304347826,49.361739130434785,reason 33
27.813953488372093,713.2623255813953,55.55651162790698,reason 34
21.56756756756757,368.20702702702704,54.872972972972974,reason 35
31.428571428571427,648.4448571428571,52.83371428571429,reason 36
27.2,452.5174285714286,46.64485714285714,reason 37
23.85,644.8125,49.2235,reason 38
28.02857142857143,407.8,44.598285714285716,reason 39
21.96875,257.1665625,40.9725,reason 40
22.054054054054053,363.81756756756755,50.442702702702704,reason 41
28.214285714285715,774.7271428571429,54.926785714285714,reason 42
25.137931034482758,579.1403448275862,48.90620689655172,reason 43
26.964285714285715,349.56142857142856,56.950714285714284,reason 44
22.838709677419356,315.6538709677419,54.086129032258064,reason 45
28.962962962962962,573.3051851851852,47.02444444444444,reason 46
31.03448275862069,655.5744827586207,43.13275862068966,reason 47
17.324324324324323,390.3608108108108,56.583513513513516,reason 48
28.18918918918919,595.5775675675676,49.70027027027027,reason 49
29.685714285714287,538.4051428571429,48.54542857142857,reason 50
26.555555555555557,532.162,50.89022222222222,reason 51
24.03846153846154,735.5723076923077,47.12307692307692,reason 52
24.964285714285715,633.4532142857142,55.65071428571429,reason 53
28.928571428571427,640.9773809523809,53.89666666666667,reason 54
24.8,487.502,43.894666666666666,reason 55
25.3125,446.6075,55.7896875,reason 56
29.675675675675677,602.8605405405406,58.03972972972973,reason 57
22.678571428571427,546.7717857142857,52.136428571428574,reason 58
20.166666666666668,537.7441666666666,46.299166666666665,reason 59
22.387096774193548,363.3709677419355,53.22806451612903,reason 60
26.225806451612904,550.6964516129033,56.70290322580645,reason 61
27.161290322580644,487.9648387096774,47.6841935483871,reason 62
26.47222222222222,468.07194444444445,51.937222222222225,reason 63
27.176470588235293,718.8412121212122,43.05911764705883,reason 64
29.361702127659573,596.0930434782608,54.14804347826087,reason 65
29.72222222222222,545.5866666666667,47.666666666666664,Stopped working
29.264705882352942,515.44,56.949411764705886,unauthoized purchase
24.615384615384617,440.37333333333333,45.346666666666664,Wrong size
