gross_margin,i_category,i_class,lochierarchy,rank_within_parent
-0.4335384339275155,,,2,1
-0.4344223212555599,,,1,1
-0.43404458444867067,Jewelry,,1,2
-0.43398583102345273,Shoes,,1,3
-0.43361894779757587,Books,,1,4
-0.43361856947435545,Home,,1,5
-0.43355726478574586,Women,,1,6
-0.43350065867452475,Sports,,1,7
-0.4333449461396098,Men,,1,8
-0.43330348795543044,Electronics,,1,9
-0.43324414438467274,Children,,1,10
-0.43315335433760893,Music,,1,11
-0.4409677614974941,Books,,0,1
-0.4348003096274086,Books,cooking,0,2
-0.434657512729338,Books,computers,0,3
-0.4344869419846356,Books,parenting,0,4
-0.43439664817556684,Books,business,0,5
-0.43409954949185436,Books,sports,0,6
-0.43405875439586983,Books,mystery,0,7
-0.43399701969518245,Books,reference,0,8
-0.43392924470120525,Books,travel,0,9
-0.4337459394383067,Books,self-help,0,10
-0.43366848189206003,Books,home repair,0,11
-0.43332743493985426,Books,arts,0,12
-0.4333198894000977,Books,science,0,13
-0.4326861858000914,Books,entertainments,0,14
-0.432538803165606,Books,fiction,0,15
-0.43213202540954115,Books,history,0,16
-0.43172341452085766,Books,romance,0,17
-0.437802388330563,Children,,0,1
-0.4335010690309175,Children,school-uniforms,0,2
-0.43323636328062554,Children,infants,0,3
-0.43321813686977,Children,newborn,0,4
-0.4330060595327312,Children,toddlers,0,5
-0.4347776658254627,Electronics,personal,0,1
-0.43434689037160423,Electronics,stereo,0,2
-0.43414787973078484,Electronics,memory,0,3
-0.434087106857363,Electronics,automotive,0,4
-0.4337184885257308,Electronics,audio,0,5
-0.43371323606564255,Electronics,camcorders,0,6
-0.43347848015929197,Electronics,disk drives,0,7
-0.43341508967960984,Electronics,televisions,0,8
-0.43323926828318643,Electronics,monitors,0,9
-0.433183335731671,Electronics,portable,0,10
-0.4330883947622994,Electronics,cameras,0,11
-0.433080952578185,Electronics,dvd/vcr players,0,12
-0.43264012254334083,Electronics,wireless,0,13
-0.4325472264456642,Electronics,karoke,0,14
-0.43160015450574885,Electronics,scanners,0,15
-0.4314875166773237,Electronics,musical,0,16
-0.4305708768030619,Electronics,,0,17
-0.4365760436619872,Home,accent,0,1
-0.4351009095172428,Home,curtains/drapes,0,2
-0.43404026820489966,Home,paint,0,3
-0.43390271047407936,Home,tables,0,4
-0.43376322362475395,Home,blinds/shades,0,5
-0.4336291251406499,Home,lighting,0,6
-0.433565615809326,Home,wallpaper,0,7
-0.43352190881675284,Home,bathroom,0,8
-0.43339376958883524,Home,bedding,0,9
-0.4333924157187868,Home,glassware,0,10
-0.43337062620952704,Home,mattresses,0,11
-0.43333867889266275,Home,kids,0,12
-0.43305958635696334,Home,furniture,0,13
-0.4330360471810801,Home,rugs,0,14
-0.4329048991677319,Home,decor,0,15
-0.43140265343625406,Home,flatware,0,16
-0.4309779677843023,Home,,0,17
-0.43553208252087455,Jewelry,jewelry boxes,0,1
-0.4352668448177903,Jewelry,costume,0,2
-0.4352471402889951,Jewelry,rings,0,3
-0.43510357451882986,Jewelry,earings,0,4
-0.4347162374464867,Jewelry,loose stones,0,5
-0.43445641164820664,Jewelry,bracelets,0,6
-0.4344387461717164,Jewelry,womens watch,0,7
-0.43422004154795607,Jewelry,,0,8
-0.43418063144378743,Jewelry,estate,0,9
-0.4341500317451795,Jewelry,consignment,0,10
-0.4340224938156584,Jewelry,mens watch,0,11
-0.43401493824279247,Jewelry,diamonds,0,12
-0.43373455127337224,Jewelry,gold,0,13
-0.43305756265086154,Jewelry,custom,0,14
-0.4327522643958438,Jewelry,semi-precious,0,15
-0.43227192896516003,Jewelry,pendants,0,16
-0.431638884886517,Jewelry,birdal,0,17
-0.4377015039004,Men,,0,1
-0.4341302372552363,Men,sports-apparel,0,2
-0.4333309240227188,Men,shirts,0,3
-0.4329808768497837,Men,accessories,0,4
-0.4329218591541233,Men,pants,0,5
-0.4333845183254567,Music,pop,0,1
-0.4331893298191907,Music,country,0,2
-0.4331547506971468,Music,classical,0,3
-0.43291997614400607,Music,rock,0,4
-0.42906753819362087,Music,,0,5
-0.44623673588056884,Shoes,,0,1
-0.4344423364410308,Shoes,womens,0,2
-0.43426026057418476,Shoes,mens,0,3
-0.43359095247318447,Shoes,kids,0,4
-0.43358103390233144,Shoes,athletic,0,5
