brand,brand_id,d_year,ext_price
importoedu pack #2,4002002,2000,56261009.39
importoscholar #2,5002002,2000,55338725.06
amalgamalg #2,1001002,2000,47522221.48
exportiedu pack #2,4003002,2000,46190092.83
amalgexporti #2,3001002,2000,46008486.35
exportiimporto #2,2003002,2000,45720198.25
exportiexporti #2,3003002,2000,44392963.62
edu packamalg #1,1004001,2000,40374224.24
exportischolar #2,5003002,2000,40189888.96
edu packedu pack #2,4004002,2000,39610718.32
importoexporti #2,3002002,2000,37871198.4
amalgscholar #2,5001002,2000,37787806.17
amalgimporto #2,2001002,2000,37573606.38
exportiimporto #1,2003001,2000,37416724.49
edu packexporti #2,3004002,2000,37201446.24
edu packimporto #2,2004002,2000,35692304.1
edu packscholar #2,5004002,2000,35218132.05
edu packamalg #2,1004002,2000,33902345.45
exportiamalg #2,1003002,2000,33734263.06
importoamalg #2,1002002,2000,33614385.23
amalgedu pack #1,4001001,2000,32553175.95
amalgamalg #1,1001001,2000,29715778.36
amalgscholar #1,5001001,2000,29182701.16
importoedu pack #1,4002001,2000,28704553.02
edu packimporto #1,2004001,2000,27830553.03
edu packedu pack #1,4004001,2000,27701328.87
importoimporto #2,2002002,2000,27315310.86
exportiedu pack #1,4003001,2000,26694164.03
edu packscholar #1,5004001,2000,26285597.19
amalgimporto #1,2001001,2000,25496343.43
importoscholar #1,5002001,2000,24789506.32
importoimporto #1,2002001,2000,24426809.28
exportiexporti #1,3003001,2000,23151036.53
edu packexporti #1,3004001,2000,22154571.82
amalgedu pack #2,4001002,2000,22044483.94
amalgexporti #1,3001001,2000,19237299.42
importoexporti #1,3002001,2000,17498429.43
exportiamalg #1,1003001,2000,16866143.31
importoamalg #1,1002001,2000,16665140.6
exportischolar #1,5003001,2000,15911259.71
corpunivamalg #9,9016009,2000,8037012.2
scholarcorp #8,6005008,2000,7110351.79
maximaxi #9,9009009,2000,7049608.34
importobrand #6,6012006,2000,6887045.8
edu packmaxi #4,8014004,2000,6786366.76
importounivamalg #2,9012002,2000,6711377.87
edu packbrand #2,6014002,2000,6502623.15
corpnameless #10,8006010,2000,6158791.27
corpunivamalg #3,9016003,2000,5938744.13
corpmaxi #6,8016006,2000,5937123.3
edu packmaxi #2,9004002,2000,5902257.95
corpmaxi #2,9006002,2000,5862400.53
amalgmaxi #8,9001008,2000,5797271.96
amalgunivamalg #3,9011003,2000,5788394.38
brandmaxi #8,9007008,2000,5691298.42
brandmaxi #3,9007003,2000,5653941.55
amalgunivamalg #8,9011008,2000,5031535.3
namelesscorp #6,6008006,2000,4947232.91
corpnameless #4,8006004,2000,4920135.96
exportinameless #6,8003006,2000,4901761.55
importounivamalg #8,9012008,2000,4880134.27
importomaxi #3,9002003,2000,4856481.83
univmaxi #10,8010010,2000,4749099.8
amalgmaxi #3,9001003,2000,4739975.07
univbrand #8,6010008,2000,4718291.95
scholarnameless #10,7015010,2000,4716556.35
corpbrand #4,6016004,2000,4709393.88
scholarbrand #2,6015002,2000,4698534.38
scholarnameless #8,7015008,2000,4694056.98
edu packmaxi #10,8014010,2000,4689692.93
univbrand #2,6010002,2000,4654530.92
exportimaxi #2,8013002,2000,4641298.05
maxiunivamalg #9,10009009,2000,4615564.0
amalgunivamalg #2,9011002,2000,4613192.87
corpbrand #2,7006002,2000,4608422.6
exportibrand #6,6013006,2000,4592552.77
corpmaxi #8,8016008,2000,4587196.41
corpmaxi #3,9006003,2000,4571513.2
scholarmaxi #3,9005003,2000,4568173.44
univunivamalg #9,9010009,2000,4562390.99
edu packmaxi #6,9004006,2000,4523215.64
importonameless #2,7012002,2000,4513212.66
scholarmaxi #9,9005009,2000,4500464.62
univbrand #4,6010004,2000,4474478.91
corpunivamalg #12,9016012,2000,4431469.62
corpmaxi #2,8016002,2000,4411837.39
exportibrand #8,6013008,2000,4218857.09
maxibrand #1,7009001,2000,3863614.39
edu packcorp #3,6004003,2000,3845756.37
edu packamalgamalg #1,10014001,2000,3757019.1
scholarnameless #5,7015005,2000,3738399.13
exportinameless #8,7013008,2000,3729067.34
importoamalgamalg #9,10012009,2000,3688757.78
importonameless #3,8002003,2000,3683841.34
importocorp #3,6002003,2000,3668382.58
amalgcorp #2,6001002,2000,3660553.43
edu packcorp #8,6004008,2000,3659878.42
scholarnameless #7,8005007,2000,3653942.88
amalgmaxi #10,8011010,2000,3640723.06
maxiunivamalg #11,10009011,2000,3640173.25
