avg_monthly_sales,d_moy,d_year,i_category,nsum,psum,sum_sales
5765986.845,2,2001,Children,3325912.19,3690782.53,3069911.4
5754001.766666667,2,2001,Children,3290771.46,3677287.86,3060980.75
5771631.030833334,2,2001,Children,3314211.07,3687379.73,3096838.26
5616279.0841666665,2,2001,Men,3208845.28,3592290.39,2958987.36
5684102.8325,2,2001,Children,3258825.7,3612529.87,3030137.16
5674768.64,2,2001,Shoes,3263854.08,3624899.87,3024033.56
5657754.129166666,2,2001,Women,3256829.23,3622557.99,3009811.99
5648050.149166667,2,2001,Women,3238417.75,3613819.12,3002397.5
5660679.180833333,2,2001,Shoes,3230371.54,3635440.39,3015826.15
5670631.016666667,2,2001,Shoes,3244937.3,3622151.37,3033495.84
5657796.194166667,2,2001,Women,3216237.98,3623319.86,3024426.89
5634799.859166667,2,2001,Men,3227811.33,3620320.42,3002497.26
5661588.128333333,2,2001,Music,3272849.03,3627908.26,3031863.27
5634886.451666667,2,2001,Men,3223953.09,3623230.07,3005965.07
5629869.028333333,2,2001,Men,3213134.79,3599336.51,3008837.86
5653183.369166667,2,2001,Music,3235592.55,3594893.54,3032164.53
5655668.825,2,2001,Music,3250368.3,3605125.32,3037939.84
5623603.128333333,2,2001,Men,3206647.28,3587947.15,3011682.54
5548110.134166666,2,2001,Children,3177201.38,3573403.98,2936413.38
5587516.651666666,2,2001,Children,3203829.96,3534627.27,2976987.57
5591331.265,2,2001,Children,3182592.78,3581922.19,2981516.07
5593711.871666667,2,2001,Children,3197109.35,3580012.06,2984454.83
5536465.8533333335,2,2001,Men,3162447.96,3553653.97,2930562.53
5630905.1075,2,2001,Men,3224234.61,3596583.03,3025951.82
5550334.09,2,2001,Shoes,3180483.31,3524622.29,2945781.31
5570547.376666667,2,2001,Shoes,3183710.2,3569993.8,2969993.49
5591163.995833334,2,2001,Children,3198751.9,3596565.99,2991523.69
5570499.1125,2,2001,Shoes,3180618.76,3571281.69,2972024.81
5559181.8775,2,2001,Shoes,3177622.12,3553635.71,2962603.21
5579227.675,2,2001,Women,3192346.92,3556172.43,2986084.99
5543111.76,2,2001,Children,3174794.09,3566949.22,2951239.43
5540744.4375,2,2001,Women,3205458.76,3554481.64,2949665.0
5523432.8125,2,2001,Men,3174771.01,3501375.17,2932997.92
5544694.701666667,2,2001,Children,3167050.52,3548489.38,2954429.92
5559123.454166667,2,2001,Shoes,3184085.45,3554442.89,2971792.73
5547804.073333333,2,2001,Children,3170648.18,3555746.87,2961120.67
5553468.13,2,2001,Shoes,3187259.53,3569288.01,2967270.88
5540165.35,2,2001,Men,3171763.56,3574852.84,2956702.72
5535105.9675,2,2001,Children,3167897.49,3549050.01,2951827.08
5565120.754166666,2,2001,Music,3145303.36,3560378.95,2982066.04
5534630.480833333,2,2001,Men,3166984.44,3533120.87,2956166.86
5516136.44,2,2001,Children,3151706.08,3525692.93,2937731.54
5536925.626666667,2,2001,Men,3180642.48,3512175.9,2960035.72
5546906.1525,2,2001,Children,3184083.63,3552856.19,2970051.14
5547515.105833333,2,2001,Women,3196916.68,3538801.72,2970885.84
5550201.24,2,2001,Women,3185318.63,3563468.74,2976623.34
5480175.683333334,2,2001,Music,3146341.67,3508985.82,2911234.81
5459551.955,2,2001,Music,3126630.97,3480727.74,2893188.0
5450224.9,2,2001,Women,3111712.74,3491796.65,2886373.02
5587252.779166667,2,2001,Shoes,3208645.88,3559300.12,3025850.38
5503934.596666667,2,2001,Shoes,3127949.05,3511967.9,2944589.13
5456722.6925,2,2001,Men,3136704.37,3476733.18,2900284.77
5485025.555,2,2001,Shoes,3154020.92,3524055.67,2928594.94
5461204.239166667,2,2001,Children,3140819.41,3503440.57,2905642.75
5472874.905,2,2001,Music,3153880.2,3499151.53,2918031.46
5469933.691666666,2,2001,Women,3142432.57,3498778.42,2915356.22
5487430.6275,2,2001,Men,3145506.85,3506260.82,2934357.56
5502707.2275,2,2001,Women,3157437.61,3502246.43,2950249.89
5483216.020833333,2,2001,Men,3146416.96,3504619.94,2932119.03
5488467.233333333,2,2001,Men,3149704.65,3510688.09,2937451.58
