i_category,i_class,lochierarchy,rank_within_parent,total_sum
,,2,1,326663512979.33
Men,,1,1,32857289276.64
Shoes,,1,2,32695669446.91
Books,,1,3,32659497431.35
Jewelry,,1,4,32640465411.78
Children,,1,5,32634708284.1
Sports,,1,6,32629673295.9
Home,,1,7,32578330280.85
Music,,1,8,32457511694.18
Electronics,,1,9,32336671793.86
Women,,1,10,32285828544.8
,,1,11,887867518.96
Books,business,0,1,2152520833.83
Books,computers,0,2,2127098697.61
Books,fiction,0,3,2113737421.83
Books,mystery,0,4,2064561597.95
Books,parenting,0,5,2053582176.86
Books,entertainments,0,6,2045230627.57
Books,arts,0,7,2041178901.26
Books,reference,0,8,2033460331.39
Books,science,0,9,2029919534.9
Books,cooking,0,10,2020790190.5
Books,sports,0,11,2012535286.53
Books,history,0,12,2007156178.85
Books,travel,0,13,2002804561.32
Books,romance,0,14,1973648300.7
Books,self-help,0,15,1969428157.88
Books,home repair,0,16,1965518694.4
Books,,0,17,46325937.97
Children,infants,0,1,8339143145.54
Children,toddlers,0,2,8104476635.88
Children,school-uniforms,0,3,8089050127.13
Children,newborn,0,4,8058621861.05
Children,,0,5,43416514.5
Electronics,stereo,0,1,2148168743.71
Electronics,portable,0,2,2104683721.55
Electronics,wireless,0,3,2089919215.17
Electronics,disk drives,0,4,2073896632.03
Electronics,musical,0,5,2065659144.3
Electronics,personal,0,6,2061823331.01
Electronics,monitors,0,7,2042296016.0
Electronics,memory,0,8,2037765167.44
Electronics,karoke,0,9,1988896406.02
Electronics,audio,0,10,1986053540.68
Electronics,cameras,0,11,1981986749.18
Electronics,televisions,0,12,1981125699.16
Electronics,camcorders,0,13,1977023983.97
Electronics,dvd/vcr players,0,14,1976004838.33
Electronics,scanners,0,15,1935188571.73
Electronics,automotive,0,16,1851330637.3
Electronics,,0,17,34849396.28
Home,paint,0,1,2127963021.23
Home,rugs,0,2,2109091386.29
Home,decor,0,3,2104137319.31
Home,accent,0,4,2095760559.91
Home,glassware,0,5,2082872045.69
Home,kids,0,6,2081573405.68
Home,bedding,0,7,2056859653.42
Home,mattresses,0,8,2054641681.02
Home,curtains/drapes,0,9,2046840207.15
Home,bathroom,0,10,2029962858.32
Home,tables,0,11,2026511606.42
Home,flatware,0,12,2014998075.21
Home,lighting,0,13,1972636145.21
Home,wallpaper,0,14,1968065485.6
Home,blinds/shades,0,15,1907197023.24
Home,furniture,0,16,1866514726.78
Home,,0,17,32705080.37
Jewelry,estate,0,1,2202120085.66
Jewelry,consignment,0,2,2166225882.65
Jewelry,rings,0,3,2116947798.5
Jewelry,custom,0,4,2108446259.68
Jewelry,earings,0,5,2088627453.86
Jewelry,costume,0,6,2064030693.92
Jewelry,mens watch,0,7,2059923382.44
Jewelry,jewelry boxes,0,8,2059204954.55
Jewelry,loose stones,0,9,2042692587.37
Jewelry,gold,0,10,2039955930.72
Jewelry,womens watch,0,11,2028191354.39
Jewelry,bracelets,0,12,2012967653.36
Jewelry,pendants,0,13,1925614573.04
Jewelry,birdal,0,14,1917671303.31
Jewelry,diamonds,0,15,1915180240.07
Jewelry,semi-precious,0,16,1864532178.02
Jewelry,,0,17,28133080.24
Men,shirts,0,1,8328971986.95
Men,sports-apparel,0,2,8257210019.45
Men,accessories,0,3,8186473172.3
Men,pants,0,4,8044750039.63
Men,,0,5,39884058.31
Music,rock,0,1,8354804314.22
Music,classical,0,2,8054762725.28
Music,pop,0,3,8027387407.75
Music,country,0,4,7981304115.04
Music,,0,5,39253131.89
Shoes,kids,0,1,8333776370.94
Shoes,mens,0,2,8324365630.75
Shoes,athletic,0,3,8070691480.8
Shoes,womens,0,4,7918606050.94
Shoes,,0,5,48229913.48
