lochierarchy,rank_within_parent,s_county,s_state,total_sum
2,1,,,-432612486418.88
1,1,,SD,-10429495409.05
1,2,,WV,-11290402945.07
1,3,,FL,-11298121033.92
1,4,,NE,-12141921345.43
1,5,,WA,-13897813586.57
1,6,,TX,-13917959022.42
1,7,,OH,-13926927755.94
1,8,,NY,-16502956892.48
1,9,,PA,-16537526933.1
1,10,,CO,-17360375385.15
1,11,,NM,-17370086314.32
1,12,,NC,-17370350233.83
1,13,,TN,-17371757632.31
1,14,,MO,-18265180627.65
1,15,,SC,-20840175924.76
1,16,,IN,-22587230206.54
1,17,,AL,-27798109088.41
1,18,,GA,-29541353839.59
1,19,,MN,-39034990037.1
1,20,,LA,-39984459491.87
1,21,,MI,-45145292713.37
0,1,Walker County,AL,-12162335805.61
0,2,Mobile County,AL,-15635773282.8
0,1,Mesa County,CO,-17360375385.15
0,1,Levy County,FL,-11298121033.92
0,1,Oglethorpe County,GA,-13021820668.16
0,2,Barrow County,GA,-16519533171.43
0,1,Marshall County,IN,-22587230206.54
0,1,,LA,-866379116.73
0,2,Jefferson Davis Parish,LA,-18254638454.56
0,3,Franklin Parish,LA,-20863441920.58
0,1,Gogebic County,MI,-12152221744.91
0,2,Luce County,MI,-14766067524.7
0,3,Huron County,MI,-18227003443.76
0,1,Pennington County,MN,-17344641789.55
0,2,Wadena County,MN,-21690348247.55
0,1,Daviess County,MO,-18265180627.65
0,1,Jackson County,NC,-17370350233.83
0,1,Gage County,NE,-12141921345.43
0,1,San Miguel County,NM,-17370086314.32
0,1,Bronx County,NY,-16502956892.48
0,1,Richland County,OH,-13926927755.94
0,1,Dauphin County,PA,-16537526933.1
0,1,Fairfield County,SC,-20840175924.76
0,1,Ziebach County,SD,-10429495409.05
0,1,Williamson County,TN,-17371757632.31
0,1,Maverick County,TX,-13917959022.42
0,1,Kittitas County,WA,-13897813586.57
0,1,Raleigh County,WV,-11290402945.07
