agg1,agg2,agg3,agg4,g_state,i_item_id,s_state
44.0,71.005,0.0,20.94,0,AAAAAAAAAAAABAAA,GA
94.0,112.15,0.0,17.94,0,AAAAAAAAAAAABAAA,MN
35.0,172.01,0.0,115.975,0,AAAAAAAAAAAABAAA,PA
58.0,65.86,573.84,13.363333333333333,0,AAAAAAAAAAAABAAA,TN
51.4,93.777,172.152,37.374,1,AAAAAAAAAAAABAAA,
26.666666666666668,49.443333333333335,0.0,26.823333333333334,0,AAAAAAAAAAAACAAA,AL
2.0,91.93,0.0,68.94,0,AAAAAAAAAAAACAAA,GA
53.333333333333336,91.40666666666667,172.56,18.07,0,AAAAAAAAAAAACAAA,MN
48.0,64.58,0.0,32.29,0,AAAAAAAAAAAACAAA,PA
25.0,10.99,72.46,5.27,0,AAAAAAAAAAAACAAA,TN
35.0,65.56111111111112,65.57111111111111,26.797777777777778,1,AAAAAAAAAAAACAAA,
85.0,110.84,3677.98,67.61,0,AAAAAAAAAAAAEAAA,AL
33.0,156.0,0.0,156.0,0,AAAAAAAAAAAAEAAA,GA
91.5,53.595,0.0,34.57,0,AAAAAAAAAAAAEAAA,MN
16.0,61.38,0.0,20.86,0,AAAAAAAAAAAAEAAA,PA
60.0,39.56,814.745,14.68,0,AAAAAAAAAAAAEAAA,TN
62.42857142857143,73.50428571428571,758.21,48.995714285714286,1,AAAAAAAAAAAAEAAA,
51.0,51.4275,0.0,22.22,0,AAAAAAAAAAABAAAA,AL
52.4,67.712,80.876,21.694,0,AAAAAAAAAAABAAAA,GA
61.333333333333336,61.99333333333333,633.1466666666666,38.61333333333334,0,AAAAAAAAAAABAAAA,MN
5.5,98.64,0.0,83.96,0,AAAAAAAAAAABAAAA,PA
49.705882352941174,65.50058823529412,247.25058823529412,35.11470588235294,1,AAAAAAAAAAABAAAA,
38.666666666666664,79.19333333333333,0.0,27.293333333333333,0,AAAAAAAAAAABBAAA,AL
46.75,73.1525,494.9475,26.865,0,AAAAAAAAAAABBAAA,GA
21.5,61.04,1548.365,50.005,0,AAAAAAAAAAABBAAA,MN
65.33333333333333,80.79333333333334,0.0,38.44,0,AAAAAAAAAAABBAAA,PA
44.333333333333336,42.14,435.23333333333335,17.02,0,AAAAAAAAAAABBAAA,TN
45.0,68.07133333333333,425.48133333333334,30.382,1,AAAAAAAAAAABBAAA,
71.2,70.976,64.76,15.892,0,AAAAAAAAAAABDAAA,AL
43.0,44.425,0.0,11.66,0,AAAAAAAAAAABDAAA,GA
63.142857142857146,63.39,46.25714285714286,14.682857142857143,1,AAAAAAAAAAABDAAA,
92.0,122.08333333333333,0.0,51.93666666666667,0,AAAAAAAAAAABEAAA,AL
53.25,85.1075,0.0,52.1575,0,AAAAAAAAAAABEAAA,GA
70.33333333333333,52.28666666666667,0.0,46.07666666666667,0,AAAAAAAAAAABEAAA,MN
11.0,24.25,0.0,17.46,0,AAAAAAAAAAABEAAA,PA
24.666666666666668,69.29,0.0,12.156666666666666,0,AAAAAAAAAAABEAAA,TN
