brand,brand_id,d_year,sum_agg
amalgamalg #2,1001002,1998,70130.64
exportiedu pack #1,4003001,1998,65617.65
importoamalg #1,1002001,1998,48466.07
amalgexporti #1,3001001,1998,47427.94
exportiexporti #1,3003001,1998,46315.77
importoexporti #1,3002001,1998,46282.61
edu packscholar #1,5004001,1998,45482.45
scholarmaxi #5,9005005,1998,44389.44
edu packunivamalg #5,9014005,1998,25784.88
corpmaxi #5,9006005,1998,24821.26
amalgimporto #2,2001002,1998,24536.14
scholarmaxi #11,9005011,1998,24394.94
importoimporto #1,2002001,1998,24368.76
namelessnameless #4,8008004,1998,24344.28
exportimaxi #11,9003011,1998,24244.49
univamalgamalg #2,10010002,1998,24199.1
edu packamalg #1,1004001,1998,24139.08
amalgbrand #7,7001007,1998,23963.58
namelesscorp #5,6008005,1998,23697.44
corpnameless #1,8006001,1998,23626.52
maxicorp #2,6009002,1998,23612.05
exportiimporto #2,2003002,1998,23345.59
importoscholar #1,5002001,1998,23087.25
scholarunivamalg #7,10005007,1998,23073.63
amalgedu pack #1,4001001,1998,23063.07
amalgunivamalg #9,9011009,1998,22946.21
univnameless #4,7010004,1998,22879.87
corpmaxi #6,8016006,1998,22671.84
edu packedu pack #2,4004002,1998,22417.37
amalgedu pack #2,4001002,1998,22399.14
univnameless #9,7010009,1998,22370.28
univunivamalg #11,9010011,1998,22223.58
edu packmaxi #9,8014009,1998,21910.34
importoexporti #2,3002002,1998,21868.72
exportiimporto #1,2003001,1998,21747.76
amalgexporti #2,3001002,1998,21481.09
importounivamalg #2,9012002,1998,21096.24
edu packamalg #2,1004002,1998,21040.48
amalgamalg #2,1001002,1999,71917.95
exportiedu pack #1,4003001,1999,69258.88
importoexporti #1,3002001,1999,47416.97
scholarmaxi #5,9005005,1999,46903.14
exportiexporti #1,3003001,1999,46351.19
amalgexporti #1,3001001,1999,45952.47
importoamalg #1,1002001,1999,45163.5
edu packscholar #1,5004001,1999,40873.93
edu packmaxi #9,8014009,1999,24878.43
scholarunivamalg #7,10005007,1999,24138.14
univamalgamalg #2,10010002,1999,23896.31
corpmaxi #6,8016006,1999,23894.22
amalgexporti #2,3001002,1999,23888.49
maxicorp #2,6009002,1999,23780.55
exportimaxi #11,9003011,1999,23748.21
univunivamalg #11,9010011,1999,23709.54
amalgimporto #2,2001002,1999,23681.77
edu packunivamalg #5,9014005,1999,23662.96
exportiimporto #1,2003001,1999,23648.9
amalgunivamalg #9,9011009,1999,23578.42
namelesscorp #5,6008005,1999,23558.11
corpmaxi #5,9006005,1999,23216.79
edu packamalg #1,1004001,1999,23074.54
edu packedu pack #2,4004002,1999,22959.99
namelessnameless #4,8008004,1999,22836.12
univnameless #9,7010009,1999,22523.6
amalgbrand #7,7001007,1999,22519.73
importounivamalg #2,9012002,1999,22484.76
scholarmaxi #11,9005011,1999,22317.77
univnameless #4,7010004,1999,22058.28
corpnameless #1,8006001,1999,21867.92
amalgedu pack #2,4001002,1999,21725.86
amalgedu pack #1,4001001,1999,21345.31
edu packamalg #2,1004002,1999,21269.12
importoexporti #2,3002002,1999,21153.71
importoimporto #1,2002001,1999,20970.07
importoscholar #1,5002001,1999,20654.59
exportiimporto #2,2003002,1999,20438.76
amalgamalg #2,1001002,2000,72072.2
exportiedu pack #1,4003001,2000,66759.87
edu packscholar #1,5004001,2000,46535.64
importoamalg #1,1002001,2000,45202.98
amalgunivamalg #9,9011009,2000,25070.92
importounivamalg #2,9012002,2000,24985.16
importoamalg #2,1002002,2000,24773.93
namelessnameless #4,8008004,2000,24318.12
univnameless #9,7010009,2000,23944.82
scholarmaxi #8,8015008,2000,23931.97
univnameless #4,7010004,2000,23876.68
exportiimporto #2,2003002,2000,23758.46
edu packamalg #2,1004002,2000,23672.02
edu packedu pack #2,4004002,2000,23435.96
exportiimporto #1,2003001,2000,23197.55
scholarunivamalg #11,9010011,2000,23156.55
univamalgamalg #2,10010002,2000,23130.2
corpunivamalg #12,9006005,2000,22988.76
corpmaxi #6,8016006,2000,22901.96
exportibrand #2,6013002,2000,22897.6
namelessunivamalg #11,10008011,2000,22829.4
maxicorp #8,6009008,2000,22275.04
edu packbrand #10,7004010,2000,22265.88
amalgimporto #2,2001002,2000,22215.4
