channel,currency_rank,item,return_rank,return_ratio
catalog,22,254347,1,0.0
catalog,161,241227,1,0.0
catalog,436,100077,1,0.0
catalog,616,166471,1,0.0
catalog,680,299088,1,0.0
catalog,970,237858,1,0.0
catalog,1041,103681,1,0.0
catalog,1108,3606,1,0.0
catalog,1174,279577,1,0.0
catalog,1177,16182,1,0.0
catalog,1275,236892,1,0.0
catalog,1453,176676,1,0.0
catalog,1502,227502,1,0.0
catalog,1554,281035,1,0.0
catalog,1570,111265,1,0.0
catalog,1700,564,1,0.0
catalog,1713,122071,1,0.0
catalog,1800,284575,1,0.0
catalog,1828,62641,1,0.0
catalog,1870,105163,1,0.0
catalog,2017,227250,1,0.0
catalog,2053,111313,1,0.0
catalog,2068,278019,1,0.0
catalog,2203,98655,1,0.0
catalog,2229,10932,1,0.0
catalog,2262,167545,1,0.0
catalog,2269,291451,1,0.0
catalog,2301,77382,1,0.0
catalog,2502,69513,1,0.0
catalog,2502,99276,1,0.0
catalog,2502,115273,1,0.0
catalog,2749,198240,1,0.0
catalog,2929,144451,1,0.0
catalog,2952,259023,1,0.0
catalog,3008,277491,1,0.0
catalog,3054,193734,1,0.0
catalog,3419,89755,1,0.0
catalog,3479,140727,1,0.0
catalog,3526,257785,1,0.0
catalog,3777,185436,1,0.0
catalog,3878,55140,1,0.0
catalog,3929,81882,1,0.0
catalog,4205,289305,1,0.0
catalog,4430,259671,1,0.0
catalog,4527,53280,1,0.0
catalog,4628,26652,1,0.0
catalog,4730,268873,1,0.0
catalog,4750,186762,1,0.0
catalog,4823,57817,1,0.0
catalog,4836,114735,1,0.0
catalog,4958,286077,1,0.0
catalog,5018,151686,1,0.0
catalog,5033,72181,1,0.0
catalog,5144,221719,1,0.0
catalog,5167,5413,1,0.0
catalog,5167,260929,1,0.0
catalog,5202,135963,1,0.0
catalog,5327,230292,1,0.0
catalog,5554,255961,1,0.0
catalog,5570,160149,1,0.0
catalog,5585,280242,1,0.0
catalog,5624,109011,1,0.0
catalog,5638,125437,1,0.0
catalog,5843,259779,1,0.0
catalog,6118,55225,1,0.0
catalog,6161,41485,1,0.0
catalog,6171,13183,1,0.0
catalog,6334,155244,1,0.0
catalog,6393,248701,1,0.0
catalog,6456,123372,1,0.0
catalog,6456,251562,1,0.0
catalog,6492,144660,1,0.0
catalog,6605,273489,1,0.0
catalog,6738,98676,1,0.0
catalog,6944,104088,1,0.0
catalog,7042,214267,1,0.0
catalog,7139,145038,1,0.0
catalog,7167,6258,1,0.0
catalog,7344,181155,1,0.0
catalog,7408,246787,1,0.0
catalog,7584,52255,1,0.0
catalog,7629,204882,1,0.0
catalog,7689,95557,1,0.0
catalog,7852,173647,1,0.0
catalog,7907,29959,1,0.0
catalog,8464,25899,1,0.0
catalog,8464,177525,1,0.0
catalog,8687,188502,1,0.0
catalog,8873,286332,1,0.0
catalog,8933,14178,1,0.0
catalog,8933,184675,1,0.0
catalog,8933,245706,1,0.0
catalog,9159,131685,1,0.0
catalog,9301,94800,1,0.0
catalog,9485,199143,1,0.0
catalog,9692,4225,1,0.0
catalog,10038,261288,1,0.0
catalog,10071,23067,1,0.0
catalog,10225,232341,1,0.0
catalog,10476,8157,1,0.0
