ca_state,ca_zip,sum
NH,00601,127.21
MA,00659,72.22
VT,00769,30.21
MA,00816,25.42
CT,00902,118.52
ME,00902,0.71
NH,01889,14.45
MA,01987,46.11
NH,02121,3.44
VT,02121,81.08
VT,02275,13.92
CT,02349,135.38
VT,02357,103.25
CT,02504,6.72
NJ,04195,173.99
VT,04698,48.51
NJ,05064,202.98
RI,05154,18.03
NJ,05638,62.32
NH,06467,8.21
RI,06660,2.0
NH,06698,43.12
RI,06698,6.15
NJ,07134,0.57
ME,07157,10.02
NJ,08352,13.26
NH,08648,7.22
ME,08659,74.96
NJ,08954,10.23
MA,09583,45.06
CT,09634,131.93
ME,09840,49.09
NJ,09843,115.26
PA,10059,55.69
PA,10069,79.01
PA,10141,24.21
PA,10150,1.65
NY,10399,47.68
PA,10411,5.26
PA,10587,79.88
NY,11147,14.62
NY,11675,83.99
NY,11711,116.25
NY,11749,105.63
NY,11933,122.65
PA,12477,9.74
PA,12808,214.68
PA,13003,16.31
NY,13394,13.73
PA,13394,26.73
NY,14136,10.63
NY,14289,9.37
PA,14536,21.28
PA,14843,7.19
NY,15124,30.1
PA,16098,64.08
PA,16668,5.23
NY,16787,28.93
NY,17057,8.08
PA,17683,1.79
NY,18014,42.57
PA,18054,8.97
PA,18059,57.37
PA,18354,56.48
PA,18370,78.71
NY,18482,79.45
NY,18579,70.26
PA,19101,14.2
NY,19237,219.35
,19237,99.11
PA,19303,18.63
PA,19391,75.87
NY,19532,151.12
PA,19583,38.82
,19634,60.75
NC,20116,85.89
NC,20150,89.54
NC,20162,266.0
VA,20191,67.44
VA,20309,84.16
VA,20399,1.47
VA,20411,88.84
WV,20411,85.92
NC,20499,33.48
VA,20499,79.76
NC,20534,1.53
VA,20534,4.36
NC,21087,195.34
SC,21087,8.74
VA,21087,215.24
NC,21289,133.58
MD,21387,24.68
VA,21387,98.17
MD,21675,111.6
VA,21675,43.54
NC,21711,14.54
SC,21711,64.89
NC,21732,33.96
VA,21732,85.06
NC,21757,5.25
