brand,brand_id,ext_price,i_manufact,i_manufact_id
amalgexporti #2,3001002,3366568.51,antiableought,125
exportiimporto #2,2003002,3327754.25,pribarpri,303
amalgexporti #2,3001002,2361061.9,antianti,55
importoedu pack #2,4002002,2355651.3,ableable,22
amalgimporto #2,2001002,2302943.07,eingableought,128
importoamalg #2,1002002,2279534.3,n steing,89
importoexporti #2,3002002,2277146.84,eingantiought,158
exportiexporti #2,3003002,2268583.26,callyationable,276
importoamalg #2,1002002,2243971.33,ationablepri,327
importoscholar #2,5002002,2227020.66,eseantiese,454
amalgexporti #2,3001002,2220258.29,eseoughtought,114
amalgexporti #2,3001002,2219682.73,ableeseable,242
exportiedu pack #2,4003002,2197470.01,pripriought,133
amalgamalg #2,1001002,2180016.38,esebarought,104
edu packimporto #2,2004002,2121778.71,eingcallyought,168
edu packimporto #2,2004002,2108173.13,ableeing,82
importoimporto #2,2002002,2016220.38,barablepri,320
amalgscholar #2,5001002,1994654.12,eingcallyable,268
exportischolar #2,5003002,1909181.41,eseantiought,154
corpbrand #8,10003008,1380363.45,barcallycally,660
amalgscholar #2,1001001,1338574.55,oughtcallyable,261
maximaxi #8,9009008,1337547.52,n steingcally,689
edu packscholar #2,5004002,1328630.44,oughtprianti,531
scholarunivamalg #10,9015010,1320911.6,n stbarable,370
corpunivamalg #4,9016004,1320172.09,callyoughtese,976
brandcorp #2,4002001,1316803.01,eingeinganti,588
edu packscholar #2,5004002,1316017.44,prianti,53
scholarmaxi #2,7002001,1312303.54,oughtpripri,274
exportiedu pack #2,4003002,1311174.7,barablecally,620
exportiexporti #2,7014005,1309185.36,ationeingese,487
importoedu pack #2,4002002,1308434.78,n stoughtought,119
corpunivamalg #8,9016008,1306750.39,ableanti,52
edu packedu pack #2,4004002,1305530.13,bareingpri,380
amalgunivamalg #2,1003001,1302160.26,ationoughtese,198
scholarunivamalg #4,10005004,1302028.34,cally,688
importoimporto #2,2002002,1301177.03,ationprically,637
univmaxi #8,8010008,1301025.76,callyeing,86
scholarnameless #2,8005002,1299698.27,ationcallyable,11
edu packexporti #2,3004002,1298255.86,antiablepri,325
importoimporto #2,2002002,1289414.12,pribarought,103
edu packnameless #2,8004002,1284657.65,esebaration,704
amalgunivamalg #6,9011006,1282783.39,priationought,173
edu packnameless #2,1001001,1282450.14,eingationanti,578
exportimaxi #6,2001001,1281767.35,eseantipri,354
scholarbrand #6,2003001,1281588.11,ationantianti,557
importonameless #8,2002001,1280943.46,priationable,139
importobrand #4,6009003,1279690.22,ableeingable,817
namelessnameless #4,8008004,1278108.83,eseeing,84
maximaxi #10,9009010,1277452.64,ationation,77
exportischolar #2,5003002,1277009.9,n stoughtpri,319
scholarunivamalg #10,10008001,1275059.68,eseablecally,110
brandcorp #4,6007004,1274558.95,eseoughtought,38
namelessunivamalg #6,10008006,1274542.01,barationable,183
exportiimporto #2,2003002,1274160.1,esecallyought,164
importoamalg #2,1002002,1271848.76,callyn stought,196
exporticorp #2,6003002,1271124.56,eseoughtpri,314
importoimporto #2,6012005,1270974.44,eingationought,178
amalgscholar #2,8011007,1270020.64,oughteinganti,581
exportiedu pack #2,4003002,1268723.69,n stantiought,159
importonameless #4,4003001,1268470.65,barantically,650
importounivamalg #4,9012004,1266158.85,barationought,170
corpunivamalg #7,4003001,1265151.69,barableese,510
importocorp #4,2004001,1263735.7,callyanti,304
edu packamalg #2,1001001,1262921.92,ablebarable,365
edu packexporti #2,3004002,1262457.75,n stationable,279
importoedu pack #2,4002002,1261287.45,prianti,53
exportiamalgamalg #11,10013011,1261286.8,eingantipri,358
scholarcorp #8,6005008,1260173.32,antiationeing,875
exportibrand #6,9007009,1259273.11,esen st,94
exportiimporto #2,5003001,1256148.56,priationese,473
univunivamalg #2,9010002,1254674.96,eseeingable,284
brandnameless #4,2002001,1253859.85,eingoughtcally,618
namelesscorp #4,6008004,1253736.7,ableesecally,642
importoamalg #2,1002002,1253474.99,n stcallyought,169
amalgexporti #2,3001002,1251632.33,callycally,66
univamalgamalg #10,10010010,1251079.88,callycally,18
edu packunivamalg #4,3001001,1250985.92,oughtbarable,872
amalgbrand #8,6011008,1250483.01,ablebarpri,302
exportiedu pack #2,6004001,1249590.47,barableeing,122
maxibrand #6,7009006,1249548.32,oughteingable,281
exportiedu pack #2,9004003,1249205.32,ationbareing,807
edu packexporti #2,3004002,1248804.74,baranti,50
corpnameless #6,9011011,1248693.39,antiprically,286
importoimporto #2,2002002,1248022.54,oughtantiable,251
amalgexporti #2,3001002,1247909.65,ationationought,177
edu packscholar #2,5004001,1247415.64,eingpripri,338
importoedu pack #2,4002002,1247082.03,ationantiought,157
exportiamalg #2,1003002,1247034.89,eingpriought,138
exportiunivamalg #16,9004009,1246728.11,barpripri,28
scholarnameless #4,5002001,1246624.49,eseoughtought,114
namelessmaxi #10,3001001,1245655.18,callyn st,96
brandnameless #2,8007002,1245539.87,eseeseese,444
exportinameless #8,8003008,1245280.37,ableeingought,124
exporticorp #2,6003002,1245180.01,n stoughtable,219
amalgimporto #2,8007007,1244697.8,prieinganti,583
amalgamalg #2,1001002,1244609.14,eingbarcally,608
importoamalgamalg #8,3001001,1244589.14,callycallyought,166
exportiedu pack #2,4003002,1244297.09,eingeingable,288
edu packamalg #2,1004002,1244293.89,ationantiable,257
exportischolar #2,5003002,1243966.37,prieingeing,883
