30 days,31-60,61-90,91-120,>120 days,s_city,s_company_id,s_county,s_state,s_store_name,s_street_name,s_street_number,s_street_type,s_suite_number,s_zip
1348,1000,637,674,1206,Lakeside,1,Jefferson Davis Parish,LA,able,Seventh ,110,Blvd,Suite 220,79532
1246,931,656,634,1283,Midway,1,Pennington County,MN,able,Park North,12,Street,Suite 270,51904
1285,1022,651,672,1301,Shady Grove,1,Bronx County,NY,able,Laurel North,14,Road,Suite 490,12812
1213,1046,672,661,1291,Lakeside,1,Fairfield County,SC,able,North Broadway,155,Wy,Suite 390,29532
1268,1066,645,630,1290,Fairfield,1,Williamson County,TN,able,Elm ,170,Pkwy,Suite 340,36192
1307,949,674,637,1271,Five Points,1,Gogebic County,MI,able,Fifth ,185,Ct.,Suite Q,46098
1302,1002,618,631,1220,Concord,1,Wadena County,MN,able,Locust Ridge,212,Ln,Suite K,54107
1310,1002,646,593,1277,Pine Grove,1,Walker County,AL,able,10th Hill,22,Wy,Suite J,34593
1307,1009,664,610,1218,Providence,1,Levy County,FL,able,Elm Main,22,Ln,Suite E,36614
1327,1011,659,647,1273,Stringtown,1,Gogebic County,MI,able,Lincoln Park,221,Dr.,Suite S,40162
1308,976,633,593,1298,Greenwood,1,Dauphin County,PA,able,Main ,221,Drive,Suite 460,18828
1370,985,608,618,1285,Concord,1,San Miguel County,NM,able,Lake Valley,225,Wy,Suite S,84107
1379,1027,652,672,1275,New Hope,1,Fairfield County,SC,able,Meadow ,24,Court,Suite D,29431
1287,1067,652,653,1350,Pleasant Hill,1,San Miguel County,NM,able,9th 12th,244,Blvd,Suite 490,83604
1279,1049,723,616,1294,Lakeview,1,Marshall County,IN,able,Maple Spring,251,Parkway,Suite J,48579
1359,999,638,592,1271,Oak Hill,1,Jackson County,NC,able,Jackson 5th,257,Ave,Suite 320,27838
1282,952,591,639,1315,Glendale,1,Walker County,AL,able,Pine ,269,Ave,Suite A,33951
1300,1074,669,670,1206,Glenwood,1,Mesa County,CO,able,Spring ,327,Street,Suite 80,83511
1313,988,623,649,1249,Oak Hill,1,Gogebic County,MI,able,Willow Oak,354,Drive,Suite 400,47838
1280,1009,642,617,1306,Spring Valley,1,Dauphin County,PA,able,Hill ,359,Dr.,Suite 50,16060
1352,1074,596,648,1290,Spring Valley,1,Huron County,MI,able,Elm ,369,Cir.,Suite 450,46060
1289,1034,653,631,1332,Spring Valley,1,Jackson County,NC,able,Elevnth Oak,423,Blvd,Suite N,26060
1308,1044,641,659,1308,Georgetown,1,Mobile County,AL,able,Green Madison,439,Ct.,Suite 50,37057
1287,986,644,705,1247,Cedar Grove,1,Barrow County,GA,able,Lakeview ,452,Circle,Suite Y,30411
1263,951,652,647,1329,Hillcrest,1,Ziebach County,SD,able,Broadway Elm,517,Ct.,Suite 350,53003
1327,956,631,696,1252,Union,1,Ziebach County,SD,able,Fifth 1st,518,Wy,Suite S,58721
1261,1012,662,685,1261,Midway,1,Barrow County,GA,able,East Seventh,519,Ln,Suite 390,31904
1328,979,639,656,1266,Wildwood,1,Huron County,MI,able,11th Third,520,Drive,Suite 120,46871
1266,1008,620,614,1314,Hillcrest,1,Franklin Parish,LA,able,14th ,526,Ave,Suite 260,73003
1291,1013,618,672,1220,Harmony,1,Wadena County,MN,able,Spruce ,535,Lane,Suite 50,55804
1295,932,654,628,1247,Five Points,1,Oglethorpe County,GA,able,Park Pine,540,RD,Suite 230,36098
1335,1038,601,640,1295,Glendale,1,Gage County,NE,able,Elm ,566,Road,Suite 400,63951
1351,1012,654,634,1187,Lakeside,1,Dauphin County,PA,able,West ,570,ST,Suite I,19532
1366,995,676,660,1309,Buena Vista,1,Marshall County,IN,able,Sycamore ,582,Ln,Suite 180,45752
