b_city,b_street_name,b_street_number,b_zip,c_city,c_street_name,c_street_number,c_zip,cnt,cnt2,cs1_year,cs2_year,product_name,s11,s12,s21,s22,s31,s32,store_name,store_zip
Riverview,Main ,166,59003,Five Forks,Main ,87,32293,1,1,2000,2001,antiablen steingable,12.15,36.77,22.11,37.13,0.0,0.0,able,29431
Hopewell,Willow ,815,40587,Five Forks,7th Broadway,95,62293,1,1,2000,2001,antiablen steingable,15.95,20.35,30.62,22.58,0.0,179.17,able,79532
Hopewell,Willow ,815,40587,Five Forks,7th Broadway,95,62293,1,1,2000,2001,antiablen steingable,15.95,35.45,30.62,59.55,0.0,0.0,able,79532
Hopewell,Willow ,815,40587,Five Forks,7th Broadway,95,62293,1,1,2000,2001,antiablen steingable,15.95,36.42,30.62,65.55,0.0,0.0,able,79532
Florence,Johnson 6th,441,63394,,,,63951,1,1,2000,2001,antiablen steingable,25.14,79.68,32.93,94.02,0.0,1290.05,able,27838
Centerville,Adams ,904,40059,Wilson,Third 11th,71,36971,1,1,2000,2001,antiablen steingable,30.43,1.95,59.64,2.92,0.0,0.0,able,46871
Centerville,Adams ,904,40059,Wilson,Third 11th,71,36971,1,1,2000,2001,antiablen steingable,30.43,44.9,59.64,71.39,0.0,0.0,able,46871
Mount Olive,Walnut 3rd,310,98059,Woodland,3rd ,278,34854,1,1,2000,2001,antiablen steingable,40.75,93.81,53.38,169.79,0.0,0.0,able,63951
Bridgeport,Third Railroad,642,95817,Salem,View ,805,28048,1,1,2000,2001,antiablen steingable,42.14,51.71,77.11,61.53,0.0,0.0,able,38605
Red Oak,Pine 4th,293,95018,Wilson,Valley ,798,16971,1,1,2000,2001,antiablen steingable,51.53,1.95,60.29,2.92,0.0,0.0,able,46871
Red Oak,Pine 4th,293,95018,Wilson,Valley ,798,16971,1,1,2000,2001,antiablen steingable,51.53,44.9,60.29,71.39,0.0,0.0,able,46871
,Main Jefferson,119,53003,Bath,11th ,642,60573,1,1,2000,2001,antiablen steingable,54.9,29.1,55.44,57.61,0.0,0.0,able,33951
,Main Jefferson,119,53003,Bath,11th ,642,60573,1,1,2000,2001,antiablen steingable,54.9,63.37,55.44,102.65,0.0,1702.96,able,33951
Midway,4th ,441,51904,Summit,Locust ,158,60499,1,1,2000,2001,antiablen steingable,69.62,93.48,70.31,180.41,0.0,1691.58,able,83511
Kent,Washington Cedar,445,40317,Whitesville,First 4th,115,75903,1,1,2000,2001,antiablen steingable,74.58,20.35,141.7,22.58,0.0,179.17,able,79532
Kent,Washington Cedar,445,40317,Whitesville,First 4th,115,75903,1,1,2000,2001,antiablen steingable,74.58,35.45,141.7,59.55,0.0,0.0,able,79532
Kent,Washington Cedar,445,40317,Whitesville,First 4th,115,75903,1,1,2000,2001,antiablen steingable,74.58,36.42,141.7,65.55,0.0,0.0,able,79532
Mechanicsburg,Pine Jackson,402,62219,Fairview,6th Lincoln,817,25709,1,1,2000,2001,antiablen steingable,85.47,,142.73,59.62,0.0,,able,94536
Liberty,Wilson ,761,23451,Red Hill,Fifth ,709,74338,1,1,2000,2001,antiablen steingable,92.73,,167.84,59.62,0.0,,able,94536
Mount Pleasant,Willow ,971,41933,Mount Zion,12th ,373,88054,1,1,2000,2001,antiablen steingable,77.18,62.94,100.33,112.03,0.0,0.0,anti,56534
Mount Pleasant,Willow ,971,41933,Mount Zion,12th ,373,88054,1,1,2000,2001,antiablen steingable,77.18,80.68,100.33,132.31,0.0,0.0,anti,56534
Cedar Grove,Miller 3rd,278,30411,Cordova,3rd ,343,76938,1,1,2000,2001,antiablen steingable,80.33,22.76,81.13,33.68,0.0,376.21,anti,80162
Cedar Grove,Miller 3rd,278,30411,Cordova,3rd ,343,76938,1,1,2000,2001,antiablen steingable,80.33,36.32,81.13,57.02,0.0,421.16,anti,80162
Cedar Grove,Miller 3rd,278,30411,Cordova,3rd ,343,76938,1,1,2000,2001,antiablen steingable,80.33,48.29,81.13,71.46,0.0,3935.95,anti,80162
Brownsville,Central ,434,39310,Springdale,Hickory 2nd,840,28883,1,1,2000,2001,antiablen steingable,86.67,22.76,92.73,33.68,0.0,376.21,anti,80162
Brownsville,Central ,434,39310,Springdale,Hickory 2nd,840,28883,1,1,2000,2001,antiablen steingable,86.67,36.32,92.73,57.02,0.0,421.16,anti,80162
Brownsville,Central ,434,39310,Springdale,Hickory 2nd,840,28883,1,1,2000,2001,antiablen steingable,86.67,48.29,92.73,71.46,0.0,3935.95,anti,80162
Florence,Laurel Sycamore,756,63394,Red Hill,Pine College,402,64338,1,1,2000,2001,antiablen steingable,96.62,65.47,116.91,118.5,62.03,0.0,anti,59303
Florence,Laurel Sycamore,756,63394,Red Hill,Pine College,402,64338,1,1,2000,2001,antiablen steingable,96.62,74.81,116.91,133.9,62.03,0.0,anti,59303
Florence,Laurel Sycamore,756,63394,Red Hill,Pine College,402,64338,1,1,2000,2001,antiablen steingable,96.62,93.76,116.91,126.57,62.03,0.0,anti,59303
Lakeside,Church ,930,59532,Edgewood,3rd ,16,50069,1,1,2000,2001,antiablen steingable,7.25,20.88,11.45,22.75,15.86,0.0,ation,38048
Stringtown,14th 4th,855,50162,Salem,Tenth ,177,88048,1,1,2000,2001,antiablen steingable,27.69,30.98,37.38,50.18,0.0,719.53,ation,91387
Five Points,Pine Davis,600,,Fairfield,Hillcrest ,818,26192,1,1,2000,2001,antiablen steingable,52.94,36.42,93.7,69.92,0.0,0.0,ation,49843
Mount Zion,4th ,743,48054,Summit,Adams 5th,722,90499,1,1,2000,2001,antiablen steingable,74.42,36.42,89.3,69.92,0.0,0.0,ation,49843
Forest Hills,Franklin ,118,89237,Griffin,,,11204,1,1,2000,2001,antiablen steingable,96.29,33.41,162.73,60.13,0.0,1276.86,ation,43604
Macon,Central ,828,40369,Highland Park,1st ,903,56534,1,1,2000,2001,antiablen steingable,97.63,33.41,111.29,60.13,0.0,1276.86,ation,43604
Red Hill,Davis ,404,74338,Jackson,Mill ,651,29583,1,1,2000,2001,antiablen steingable,26.88,69.8,52.14,110.98,0.0,0.0,bar,58579
Friendship,14th Elevnth,569,44536,Fairfield,9th Central,702,96192,1,1,2000,2001,antiablen steingable,27.37,56.79,36.4,76.66,0.0,216.35,bar,29431
Friendship,14th Elevnth,569,44536,Fairfield,9th Central,702,96192,1,1,2000,2001,antiablen steingable,27.37,99.63,36.4,104.61,0.0,0.0,bar,29431
Lakeview,Second Willow,384,88579,Woodville,Woodland ,90,74289,1,1,2000,2001,antiablen steingable,37.43,34.4,55.02,48.16,0.0,0.0,bar,44536
Greenfield,10th ,864,55038,Sunnyside,Ash ,118,51952,1,1,2000,2001,antiablen steingable,37.45,54.8,67.41,88.77,0.0,0.0,bar,28579
Greenfield,10th ,864,55038,Sunnyside,Ash ,118,51952,1,1,2000,2001,antiablen steingable,37.45,61.1,67.41,86.15,0.0,0.0,bar,28579
Payne,College ,567,56134,Shady Grove,Park ,717,42812,1,1,2000,2001,antiablen steingable,37.67,32.23,70.44,38.35,0.0,0.0,bar,43451
Payne,College ,567,56134,Shady Grove,Park ,717,42812,1,1,2000,2001,antiablen steingable,37.67,40.83,70.44,81.25,0.0,253.34,bar,43451
Payne,College ,567,56134,Shady Grove,Park ,717,42812,1,1,2000,2001,antiablen steingable,37.67,77.93,70.44,77.93,0.0,0.0,bar,43451
Hopewell,Washington ,53,20587,Concord,Cedar ,625,74107,1,1,2000,2001,antiablen steingable,44.93,51.27,88.51,96.9,2076.44,0.0,bar,33511
Hopewell,Washington ,53,20587,Concord,Cedar ,625,74107,1,1,2000,2001,antiablen steingable,44.93,72.88,88.51,94.01,2076.44,0.0,bar,33511
Five Points,Forest Second,870,36098,Newtown,11th Maple,696,61749,1,1,2000,2001,antiablen steingable,53.2,90.24,74.48,159.72,0.0,0.0,bar,88054
Wildwood,Washington 9th,672,36871,Franklin,Smith Third,562,59101,1,1,2000,2001,antiablen steingable,55.18,52.12,58.49,57.85,0.0,0.0,bar,76098
Highland Park,Sunset ,681,66534,Riverdale,Railroad Smith,652,69391,1,1,2000,2001,antiablen steingable,77.48,42.61,92.2,63.06,0.0,0.0,bar,73451
Concord,7th View,479,64107,Plainview,2nd ,593,73683,1,1,2000,2001,antiablen steingable,80.16,42.61,91.38,63.06,0.0,0.0,bar,73451
Stringtown,Main Mill,779,40162,Spring Valley,5th ,953,66060,1,1,2000,2001,antiablen steingable,81.09,81.91,85.14,132.69,33.09,1680.9,bar,56060
Concord,Poplar Adams,801,64107,,Willow ,,68014,1,1,2000,2001,antiablen steingable,82.83,89.46,130.04,165.5,0.0,0.0,bar,58828
Mount Olive,Ninth Fourth,555,78059,Crossroads,Cedar Hillcrest,293,80534,1,1,2000,2001,antiablen steingable,90.89,89.46,127.24,165.5,54.15,0.0,bar,58828
Georgetown,4th ,280,67057,Providence,Cherry ,192,76614,1,1,2000,2001,antiablen steingable,94.51,19.43,127.58,20.2,482.22,0.0,bar,64536
Greenville,8th ,561,61387,Greenfield,Seventh First,621,95038,1,1,2000,2001,antiablen steingable,14.06,74.46,23.9,96.05,0.0,0.0,cally,65752
Vista,Maple First,238,74694,New Hope,Dogwood 5th,187,59431,1,1,2000,2001,antiablen steingable,29.22,6.92,35.06,11.48,0.0,0.0,cally,38721
Vista,Maple First,238,74694,New Hope,Dogwood 5th,187,59431,1,1,2000,2001,antiablen steingable,29.22,87.34,35.06,150.22,0.0,0.0,cally,38721
Brownsville,10th Jackson,619,39310,Waterloo,Hill ,430,81675,1,1,2000,2001,antiablen steingable,40.59,79.3,67.37,95.95,438.11,0.0,cally,36787
Jackson,Walnut First,871,79583,Whitney,View Woodland,517,68339,1,1,2000,2001,antiablen steingable,53.96,94.42,60.97,167.12,744.68,0.0,cally,46871
Springdale,7th ,841,58883,Pleasant Grove,Ash ,390,34136,1,1,2000,2001,antiablen steingable,57.48,65.34,59.2,98.66,0.0,0.0,cally,44136
Springdale,7th ,841,58883,Pleasant Grove,Ash ,390,34136,1,1,2000,2001,antiablen steingable,57.48,99.25,59.2,106.19,0.0,2382.6,cally,44136
Lebanon,First ,525,82898,Georgetown,Mill Jackson,901,77057,1,1,2000,2001,antiablen steingable,72.11,74.33,96.62,120.41,0.0,179.12,cally,77838
Lebanon,First ,525,82898,Georgetown,Mill Jackson,901,77057,1,1,2000,2001,antiablen steingable,72.11,91.18,96.62,106.68,0.0,0.0,cally,77838
Nottingham,Spring 9th,551,34074,Parkwood,Wilson ,475,31669,1,1,2000,2001,antiablen steingable,73.82,6.97,77.51,9.96,0.0,12.17,cally,47752
Nottingham,Spring 9th,551,34074,Parkwood,Wilson ,475,31669,1,1,2000,2001,antiablen steingable,73.82,30.37,77.51,43.12,0.0,0.0,cally,47752
Deerfield,Church Mill,924,59840,Glendale,Church ,65,63951,1,1,2000,2001,antiablen steingable,79.0,39.1,117.71,61.38,0.0,0.0,cally,94098
,,,,Mount Zion,Railroad ,705,28054,1,1,2000,2001,antiablen steingable,86.0,94.42,134.16,167.12,0.0,0.0,cally,46871
Sunnyside,6th Tenth,239,41952,Pierce,Walnut ,358,63360,1,1,2000,2001,antiablen steingable,96.79,30.14,109.37,54.55,0.0,0.0,cally,97057
Sunnyside,6th Tenth,239,41952,Pierce,Walnut ,358,63360,1,1,2000,2001,antiablen steingable,96.79,83.48,109.37,108.52,0.0,786.11,cally,97057
Oakwood,Mill ,275,60169,Liberty,Woodland ,687,13451,1,1,2000,2001,antiablen steingable,98.48,60.41,140.82,85.17,0.0,0.0,cally,27057
White Oak,Highland ,178,26668,Riverside,Walnut Lee,207,89231,1,1,2000,2001,antiablen steingable,9.34,27.31,9.99,29.49,0.0,0.0,eing,11933
Lakeview,Highland Woodland,495,48579,Salem,Franklin 4th,118,28048,1,1,2000,2001,antiablen steingable,9.44,84.62,17.18,134.54,0.0,0.0,eing,49843
