avg_quarterly_sales,i_manufact_id,sum_sales
31513.605,783,16836.23
31513.605,783,17663.14
31513.605,783,36150.18
31513.605,783,55404.87
31784.8725,837,18486.76
31784.8725,837,18708.94
31784.8725,837,56614.18
31934.9625,969,19685.37
31934.9625,969,19736.98
31934.9625,969,53984.51
32175.955,750,17862.18
32175.955,750,19313.44
32175.955,750,56759.02
32265.175,840,18855.39
32265.175,840,18978.76
32265.175,840,56689.27
32265.475,686,17094.57
32265.475,686,19657.59
32265.475,686,36010.97
32265.475,686,56298.77
32326.1825,832,17594.03
32326.1825,832,18616.99
32326.1825,832,36234.16
32326.1825,832,56859.55
32329.915,746,18551.78
32329.915,746,18694.16
32329.915,746,35930.75
32329.915,746,56142.97
32454.7625,684,17865.58
32454.7625,684,18590.07
32454.7625,684,35902.81
32454.7625,684,57460.59
32470.31,811,19834.77
32470.31,811,21165.28
32470.31,811,53312.46
32473.5775,715,19501.14
32473.5775,715,19844.43
32473.5775,715,56095.15
32477.775,972,18345.24
32477.775,972,18663.46
32477.775,972,35980.06
32477.775,972,56922.34
32547.3225,917,19610.01
32547.3225,917,19974.3
32547.3225,917,57214.38
32571.6075,836,18164.71
32571.6075,836,19576.0
32571.6075,836,58696.97
32606.9675,725,18242.69
32606.9675,725,19701.27
32606.9675,725,56712.86
32674.735,942,16588.29
32674.735,942,19773.56
32674.735,942,59113.06
32699.14,988,18390.66
32699.14,988,18519.95
32699.14,988,37455.1
32699.14,988,56430.85
32714.675,742,19208.11
32714.675,742,19427.42
32714.675,742,57779.03
32781.78,699,20258.87
32781.78,699,20820.67
32781.78,699,56067.81
32862.6175,694,16745.38
32862.6175,694,18917.99
32862.6175,694,37399.14
32862.6175,694,58387.96
32871.6975,734,20370.22
32871.6975,734,20782.02
32871.6975,734,55532.49
32874.8475,781,19239.01
32874.8475,781,19266.32
32874.8475,781,57844.16
32933.3075,940,18656.68
32933.3075,940,19299.54
32933.3075,940,59754.92
32941.6875,821,18719.28
32941.6875,821,18986.73
32941.6875,821,58654.66
33007.7125,886,17443.03
33007.7125,886,21409.78
33007.7125,886,59394.89
33069.685,943,17933.61
33069.685,943,19632.85
33069.685,943,36526.41
33069.685,943,58185.87
33070.6075,871,18239.94
33070.6075,871,18533.63
33070.6075,871,61702.54
33087.4275,679,18107.78
33087.4275,679,20930.59
33087.4275,679,58706.85
33098.995,856,18306.21
33098.995,856,21814.86
33098.995,856,55905.94
33104.3475,998,18725.09
33104.3475,998,18999.08
33104.3475,998,40262.51
33104.3475,998,54430.71
