avg_monthly_sales,i_manager_id,sum_sales
1893856.7091666667,1,1024138.72
1893856.7091666667,1,1082161.02
1893856.7091666667,1,1082288.87
1893856.7091666667,1,1095524.2
1893856.7091666667,1,1104635.13
1893856.7091666667,1,1121173.1
1893856.7091666667,1,1129118.87
1893856.7091666667,1,2473371.93
1893856.7091666667,1,2486921.07
1893856.7091666667,1,2578823.08
1893856.7091666667,1,3671185.76
1893856.7091666667,1,3876938.76
2132817.5708333333,2,1142836.33
2132817.5708333333,2,1223115.25
2132817.5708333333,2,1223931.35
2132817.5708333333,2,1231026.96
2132817.5708333333,2,1231427.16
2132817.5708333333,2,1275704.31
2132817.5708333333,2,1277482.14
2132817.5708333333,2,2776425.95
2132817.5708333333,2,2797266.51
2132817.5708333333,2,2855033.5
2132817.5708333333,2,4180610.23
2132817.5708333333,2,4378951.16
1768622.015,3,943138.55
1768622.015,3,1001140.52
1768622.015,3,1014817.36
1768622.015,3,1024156.67
1768622.015,3,1030281.7
1768622.015,3,1053800.4
1768622.015,3,1068795.29
1768622.015,3,2299791.01
1768622.015,3,2308751.13
1768622.015,3,2385786.49
1768622.015,3,3448319.38
1768622.015,3,3644685.68
1868284.1008333333,4,1013618.82
1868284.1008333333,4,1062453.85
1868284.1008333333,4,1067971.65
1868284.1008333333,4,1079302.46
1868284.1008333333,4,1083538.91
1868284.1008333333,4,1112046.96
1868284.1008333333,4,1122691.47
1868284.1008333333,4,2439826.46
1868284.1008333333,4,2457475.08
1868284.1008333333,4,2532181.21
1868284.1008333333,4,3601790.29
1868284.1008333333,4,3846512.05
2061745.6133333333,5,1117573.67
2061745.6133333333,5,1174786.49
2061745.6133333333,5,1186543.61
2061745.6133333333,5,1186917.58
2061745.6133333333,5,1200423.98
2061745.6133333333,5,1219726.58
2061745.6133333333,5,1234016.96
2061745.6133333333,5,2696784.24
2061745.6133333333,5,2702000.04
2061745.6133333333,5,2785438.31
2061745.6133333333,5,3992353.16
2061745.6133333333,5,4244382.74
1855748.9033333333,6,992884.3
1855748.9033333333,6,1055756.0
1855748.9033333333,6,1058042.93
1855748.9033333333,6,1069246.74
1855748.9033333333,6,1078819.61
1855748.9033333333,6,1085706.65
1855748.9033333333,6,1114514.41
1855748.9033333333,6,2435411.77
1855748.9033333333,6,2436013.58
1855748.9033333333,6,2514213.12
1855748.9033333333,6,3614483.26
1855748.9033333333,6,3813894.47
2138745.1241666665,7,1143164.32
2138745.1241666665,7,1213420.6
2138745.1241666665,7,1227927.8
2138745.1241666665,7,1232606.91
2138745.1241666665,7,1241991.5
2138745.1241666665,7,1280793.49
2138745.1241666665,7,1280938.61
2138745.1241666665,7,2791943.91
2138745.1241666665,7,2806173.84
2138745.1241666665,7,2917943.71
2138745.1241666665,7,4141501.29
2138745.1241666665,7,4386535.51
2011853.3783333334,8,1080413.99
2011853.3783333334,8,1151055.61
2011853.3783333334,8,1164414.32
2011853.3783333334,8,1165518.97
2011853.3783333334,8,1169075.47
2011853.3783333334,8,1196034.89
2011853.3783333334,8,1198971.83
2011853.3783333334,8,2631786.58
2011853.3783333334,8,2637261.14
2011853.3783333334,8,2718570.97
2011853.3783333334,8,3902750.08
2011853.3783333334,8,4126386.69
2267197.2983333333,9,1214196.38
2267197.2983333333,9,1292546.93
2267197.2983333333,9,1295923.69
2267197.2983333333,9,1305357.95
