d_week_seq,i_item_desc,no_promo,promo,total_cnt,w_warehouse_name
5315,,0,77,77,Other cases
5319,,0,67,67,Only soluti
5316,,0,65,65,"Good, comprehens"
5319,,0,62,62,More other mem
5316,,0,61,61,Normal facili
5319,,0,61,61,Records represent 
5315,,0,60,60,Often christian f
5318,,0,60,60,Other cases
5322,,0,59,59,Normal facili
5316,,0,58,58,Records represent 
5317,,0,58,58,Young members
5315,,0,57,57,More other mem
5317,,0,56,56,Normal facili
5318,,0,55,55,Famous skills enact.
5316,,0,55,55,"Important, careful"
5317,,0,55,55,"Important, careful"
5316,,0,55,55,Only soluti
5320,,0,54,54,Modestly diff
5317,,0,53,53,Full cards mi
5315,,0,53,53,Long areas expect 
5318,,0,53,53,Records represent 
5317,,0,52,52,Both obvious tic
5312,,0,52,52,Records represent 
5315,,0,51,51,Modestly diff
5322,,0,51,51,Odd arts will wonde
5317,,0,51,51,Together current liv
5319,,0,50,50,About slight way
5316,,0,50,50,Especially oversea
5311,,0,50,50,Long areas expect 
5317,,0,50,50,"Male, recent towns"
5317,,0,49,49,About slight way
5322,,0,49,49,Especially oversea
5317,,0,49,49,Famous skills enact.
5314,,0,49,49,Full cards mi
5319,,0,49,49,Long areas expect 
5318,,0,48,48,Modestly diff
5318,,0,48,48,Together current liv
5320,,0,47,47,Both obvious tic
5321,,0,47,47,"Male, recent towns"
5321,,0,47,47,Normal facili
5318,,0,47,47,Only soluti
5314,,0,47,47,Other cases
5322,,0,47,47,Records represent 
5315,,0,47,47,Together current liv
5314,,0,46,46,Modestly diff
5317,,0,46,46,Often christian f
5321,,0,46,46,Other cases
5315,,0,46,46,Records represent 
5317,,0,46,46,Records represent 
5321,,0,45,45,Both obvious tic
5319,,0,45,45,Full cards mi
5317,,0,45,45,Only soluti
5319,,0,44,44,"Good, comprehens"
5303,,0,44,44,"Important, careful"
5316,,0,44,44,Long areas expect 
5318,,0,44,44,"Male, recent towns"
5314,,0,44,44,Only soluti
5316,,0,44,44,Other cases
5305,,0,43,43,Especially oversea
5317,,0,43,43,Especially oversea
5318,,0,43,43,Especially oversea
5320,,0,43,43,Especially oversea
5314,,0,43,43,"Good, comprehens"
5318,,0,43,43,"Important, careful"
5314,,0,43,43,Long areas expect 
5316,,0,43,43,More other mem
5303,,0,43,43,Odd arts will wonde
5317,,0,43,43,Odd arts will wonde
5315,,0,43,43,Today safe co
5320,,0,42,42,About slight way
5321,,0,42,42,About slight way
5321,,0,42,42,Especially oversea
5315,,0,42,42,Famous skills enact.
5320,,0,42,42,Famous skills enact.
5318,,0,42,42,"Good, comprehens"
5315,,0,42,42,"Important, careful"
5316,,0,42,42,Odd arts will wonde
5321,,0,42,42,Often christian f
5317,,0,42,42,Other cases
5319,,0,42,42,Other cases
5318,,0,41,41,Full cards mi
5320,,0,41,41,"Good, comprehens"
5319,,0,41,41,"Important, careful"
5322,,0,41,41,Modestly diff
5304,,0,41,41,Normal facili
5319,,0,41,41,Normal facili
5303,,0,41,41,Young members
5312,,0,40,40,Both obvious tic
5302,,0,40,40,"Good, comprehens"
5313,,0,40,40,"Male, recent towns"
5320,,0,40,40,Odd arts will wonde
5322,,0,40,40,Only soluti
5321,,0,40,40,Together current liv
5318,,0,40,40,Young members
5316,,0,39,39,About slight way
5306,,0,39,39,Especially oversea
5312,,0,39,39,Famous skills enact.
5316,,0,39,39,Famous skills enact.
5304,,0,39,39,"Good, comprehens"
5307,,0,39,39,"Good, comprehens"
