channel,id,profit,returns,sales
catalog channel,catalog_pageAAAAAAAAAAACAAAA,-23301.29,47226.81,0.0
catalog channel,catalog_pageAAAAAAAAAAADAAAA,-1085197.57,0.0,11953143.73
catalog channel,catalog_pageAAAAAAAAAAFBAAAA,-59774.71,110242.28,0.0
catalog channel,catalog_pageAAAAAAAAAAHBAAAA,-34133.78,54278.22,0.0
catalog channel,catalog_pageAAAAAAAAAAHCAAAA,-975451.47,1764255.42,0.0
catalog channel,catalog_pageAAAAAAAAAAICAAAA,-1002464.83,1776413.1,0.0
catalog channel,catalog_pageAAAAAAAAAAJCAAAA,-7940829.85,693301.24,71101190.35
catalog channel,catalog_pageAAAAAAAAAAKCAAAA,-3070860.79,282423.73,35113146.94
catalog channel,catalog_pageAAAAAAAAAALCAAAA,-78608.92,135851.23,0.0
catalog channel,catalog_pageAAAAAAAAAAMCAAAA,-67394.72,103741.59,0.0
catalog channel,catalog_pageAAAAAAAAAANCAAAA,-78134.96,134800.93,0.0
catalog channel,catalog_pageAAAAAAAAAAOCAAAA,-43765.86,72834.37,0.0
catalog channel,catalog_pageAAAAAAAAAAPCAAAA,-2594477.69,17404.37,23706960.21
catalog channel,catalog_pageAAAAAAAAABACAAAA,-32316.32,43939.98,0.0
catalog channel,catalog_pageAAAAAAAAABADAAAA,-1505735.67,0.0,11821825.54
catalog channel,catalog_pageAAAAAAAAABFBAAAA,-64981.93,122612.58,0.0
catalog channel,catalog_pageAAAAAAAAABHBAAAA,-34262.45,46034.29,0.0
catalog channel,catalog_pageAAAAAAAAABHCAAAA,-991712.45,1710799.58,0.0
catalog channel,catalog_pageAAAAAAAAABIBAAAA,-85.82,314.73,0.0
catalog channel,catalog_pageAAAAAAAAABICAAAA,-8585927.48,778641.89,70261686.31
catalog channel,catalog_pageAAAAAAAAABJCAAAA,-7761691.0,700367.25,70569431.45
catalog channel,catalog_pageAAAAAAAAABKCAAAA,-3744101.8,225741.57,34810966.68
catalog channel,catalog_pageAAAAAAAAABLCAAAA,-82154.52,144812.87,0.0
catalog channel,catalog_pageAAAAAAAAABMCAAAA,-70349.32,104753.31,0.0
catalog channel,catalog_pageAAAAAAAAABNCAAAA,-77060.34,127818.71,0.0
catalog channel,catalog_pageAAAAAAAAABOCAAAA,-32574.42,57008.82,0.0
catalog channel,catalog_pageAAAAAAAAABPBAAAA,-59.56,38.91,0.0
catalog channel,catalog_pageAAAAAAAAABPCAAAA,-2523441.23,20946.32,23229469.37
catalog channel,catalog_pageAAAAAAAAACACAAAA,-22138.24,55588.07,0.0
catalog channel,catalog_pageAAAAAAAAACADAAAA,-1076094.46,0.0,11832451.03
catalog channel,catalog_pageAAAAAAAAACFBAAAA,-82141.06,147570.37,0.0
catalog channel,catalog_pageAAAAAAAAACHBAAAA,-28061.5,48446.01,0.0
catalog channel,catalog_pageAAAAAAAAACHCAAAA,-1009784.59,1640467.97,0.0
catalog channel,catalog_pageAAAAAAAAACIBAAAA,-2167.39,2512.29,0.0
catalog channel,catalog_pageAAAAAAAAACICAAAA,-7506637.1,777588.75,69816921.12
catalog channel,catalog_pageAAAAAAAAACJCAAAA,-3512830.35,328381.36,36129440.64
catalog channel,catalog_pageAAAAAAAAACKCAAAA,-3326135.02,232567.81,35066396.05
catalog channel,catalog_pageAAAAAAAAACLCAAAA,-97716.21,134845.97,0.0
catalog channel,catalog_pageAAAAAAAAACMCAAAA,-81144.58,141573.18,0.0
catalog channel,catalog_pageAAAAAAAAACNCAAAA,-55748.06,83887.76,0.0
catalog channel,catalog_pageAAAAAAAAACOCAAAA,-47834.35,64400.68,0.0
catalog channel,catalog_pageAAAAAAAAACPBAAAA,-4365.3,9028.65,0.0
catalog channel,catalog_pageAAAAAAAAACPCAAAA,-2053373.83,79555.24,24083090.64
catalog channel,catalog_pageAAAAAAAAADACAAAA,-27590.04,53765.43,0.0
catalog channel,catalog_pageAAAAAAAAADADAAAA,-1326223.41,0.0,11932637.72
catalog channel,catalog_pageAAAAAAAAADFBAAAA,-70485.43,122000.8,0.0
catalog channel,catalog_pageAAAAAAAAADHBAAAA,-26943.55,35369.62,0.0
catalog channel,catalog_pageAAAAAAAAADHCAAAA,-1062435.18,1824392.67,0.0
catalog channel,catalog_pageAAAAAAAAADIBAAAA,-218.45,117.99,0.0
catalog channel,catalog_pageAAAAAAAAADICAAAA,-7863288.62,762741.85,71616475.41
catalog channel,catalog_pageAAAAAAAAADJCAAAA,-3390003.63,202906.87,35501338.8
catalog channel,catalog_pageAAAAAAAAADKCAAAA,-3668436.32,233238.25,35398983.38
catalog channel,catalog_pageAAAAAAAAADLCAAAA,-70650.03,128058.88,0.0
catalog channel,catalog_pageAAAAAAAAADMCAAAA,-72523.37,138589.85,0.0
catalog channel,catalog_pageAAAAAAAAADNCAAAA,-73255.26,148056.42,0.0
catalog channel,catalog_pageAAAAAAAAADOCAAAA,-43892.4,90386.03,0.0
catalog channel,catalog_pageAAAAAAAAADPBAAAA,-127.88,25.46,0.0
catalog channel,catalog_pageAAAAAAAAADPCAAAA,-2363043.82,24425.23,23061910.84
catalog channel,catalog_pageAAAAAAAAAEACAAAA,-46132.96,74660.18,0.0
catalog channel,catalog_pageAAAAAAAAAEADAAAA,-1422233.51,0.0,11082831.53
catalog channel,catalog_pageAAAAAAAAAEFBAAAA,-59981.97,106920.1,0.0
catalog channel,catalog_pageAAAAAAAAAEHBAAAA,-35159.93,56558.05,0.0
catalog channel,catalog_pageAAAAAAAAAEHCAAAA,-967150.55,1637534.61,0.0
catalog channel,catalog_pageAAAAAAAAAEIBAAAA,-15.18,46.12,0.0
catalog channel,catalog_pageAAAAAAAAAEICAAAA,-6862450.52,522242.36,71367943.91
catalog channel,catalog_pageAAAAAAAAAEJCAAAA,-4020943.0,294526.51,35185216.09
catalog channel,catalog_pageAAAAAAAAAEKCAAAA,-76932.36,135372.15,0.0
catalog channel,catalog_pageAAAAAAAAAELCAAAA,-74650.71,131618.55,0.0
catalog channel,catalog_pageAAAAAAAAAEMCAAAA,-77953.52,140745.17,0.0
catalog channel,catalog_pageAAAAAAAAAENCAAAA,-71734.08,111747.63,0.0
catalog channel,catalog_pageAAAAAAAAAEOCAAAA,-36382.63,57763.92,0.0
catalog channel,catalog_pageAAAAAAAAAEPBAAAA,-1462.43,3568.95,0.0
catalog channel,catalog_pageAAAAAAAAAEPCAAAA,-2081401.4,23385.74,23411389.93
catalog channel,catalog_pageAAAAAAAAAFACAAAA,-41713.52,56400.64,0.0
catalog channel,catalog_pageAAAAAAAAAFADAAAA,-1163717.79,0.0,11993474.53
catalog channel,catalog_pageAAAAAAAAAFFBAAAA,-64425.42,118832.54,0.0
catalog channel,catalog_pageAAAAAAAAAFHBAAAA,-37999.83,69880.37,0.0
catalog channel,catalog_pageAAAAAAAAAFHCAAAA,-910275.27,1591134.42,0.0
catalog channel,catalog_pageAAAAAAAAAFIBAAAA,-269.45,317.59,0.0
catalog channel,catalog_pageAAAAAAAAAFICAAAA,-7566251.36,749849.94,70652812.12
catalog channel,catalog_pageAAAAAAAAAFJCAAAA,-3967530.67,288553.93,35229081.79
catalog channel,catalog_pageAAAAAAAAAFKCAAAA,-67503.36,132371.16,0.0
catalog channel,catalog_pageAAAAAAAAAFLCAAAA,-79935.07,144705.53,0.0
catalog channel,catalog_pageAAAAAAAAAFMCAAAA,-109890.68,166602.43,0.0
catalog channel,catalog_pageAAAAAAAAAFNCAAAA,-49963.02,102972.56,0.0
catalog channel,catalog_pageAAAAAAAAAFOCAAAA,-34913.16,64640.88,0.0
catalog channel,catalog_pageAAAAAAAAAFPBAAAA,-656.6,1425.59,0.0
catalog channel,catalog_pageAAAAAAAAAFPCAAAA,-2186831.2,36832.69,23607494.47
catalog channel,catalog_pageAAAAAAAAAGACAAAA,-21259.22,38845.13,0.0
catalog channel,catalog_pageAAAAAAAAAGADAAAA,-1410955.82,0.0,11979747.99
catalog channel,catalog_pageAAAAAAAAAGFBAAAA,-58919.58,96972.61,0.0
catalog channel,catalog_pageAAAAAAAAAGHBAAAA,-36162.5,63157.73,0.0
catalog channel,catalog_pageAAAAAAAAAGHCAAAA,-1029889.24,1790936.34,0.0
catalog channel,catalog_pageAAAAAAAAAGIBAAAA,-266.1,140.28,0.0
catalog channel,catalog_pageAAAAAAAAAGICAAAA,-7339053.03,758044.45,71277019.41
catalog channel,catalog_pageAAAAAAAAAGJCAAAA,-3763944.86,274500.0,35506127.24
catalog channel,catalog_pageAAAAAAAAAGKCAAAA,-75009.54,125016.29,0.0
catalog channel,catalog_pageAAAAAAAAAGLCAAAA,-85794.25,129664.82,0.0
catalog channel,catalog_pageAAAAAAAAAGMCAAAA,-65806.34,97450.6,0.0
catalog channel,catalog_pageAAAAAAAAAGNCAAAA,-72630.59,115216.76,0.0
